patient_id,status,method,mask_source,n_keypoints_crop,n_keypoints_raw,n_good_matches,n_inliers,area_ratio,crop_w,crop_h,raw_w,raw_h
India_001,ok,SIFT,alpha,957.0,63669.0,605.0,598.0,13.939658604744087,800.0,1067.0,2988.0,3984.0
India_002,ok,SIFT,alpha,194.0,68046.0,69.0,66.0,13.93233008598083,800.0,1067.0,2988.0,3984.0
India_003,ok,SIFT,alpha,392.0,76424.0,209.0,202.0,13.959331222633793,800.0,1067.0,2988.0,3984.0
India_004,ok,SIFT,alpha,1246.0,59742.0,810.0,795.0,13.94172415224525,800.0,1067.0,2988.0,3984.0
India_005,ok,SIFT,alpha,867.0,66578.0,539.0,534.0,13.94424167054552,800.0,1067.0,2988.0,3984.0
India_006,ok,SIFT,alpha,1848.0,77704.0,1226.0,1219.0,13.945141248428492,800.0,1067.0,2988.0,3984.0
India_007,ok,SIFT,alpha,969.0,68580.0,602.0,597.0,13.969782075715518,800.0,1067.0,2988.0,3984.0
India_008,ok,SIFT,alpha,2184.0,67590.0,1404.0,1390.0,13.962496484419656,800.0,1067.0,2988.0,3984.0
India_009,ok,SIFT,alpha,1783.0,70552.0,919.0,905.0,13.95983677043789,800.0,1067.0,2988.0,3984.0
India_010,ok,SIFT,alpha,1243.0,68713.0,738.0,732.0,13.920551671614293,800.0,1067.0,2988.0,3984.0
India_011,ok,SIFT,alpha,1028.0,67903.0,701.0,693.0,13.948745381642066,800.0,1067.0,2988.0,3984.0
India_012,ok,SIFT,alpha,1182.0,66957.0,744.0,728.0,13.954163399245719,800.0,1067.0,2988.0,3984.0
India_013,ok,SIFT,alpha,969.0,67428.0,591.0,580.0,13.923570638292224,800.0,1067.0,2988.0,3984.0
India_014,ok,SIFT,alpha,1166.0,71157.0,699.0,685.0,14.00177403842212,800.0,1067.0,2988.0,3984.0
India_015,ok,SIFT,alpha,391.0,67716.0,215.0,206.0,13.952709723610894,800.0,1067.0,2988.0,3984.0
India_016,ok,SIFT,alpha,1141.0,75952.0,701.0,695.0,13.948133874502929,800.0,1067.0,2988.0,3984.0
India_017,ok,SIFT,alpha,2184.0,69681.0,1388.0,1375.0,13.946403577597367,800.0,1067.0,2988.0,3984.0
