name,kind,n_members,f1,accuracy,auc,sensitivity,specificity,india_f1,india_accuracy,india_auc,india_sensitivity,india_specificity,italy_f1,italy_accuracy,italy_auc,italy_sensitivity,italy_specificity,note
maxvit_t_bagging,bagging,5,0.9285714285714286,0.9393939393939394,0.981203007518797,0.9285714285714286,0.9473684210526315,,,,,,,,,,,"leak-free (bootstrap-trained heads, sealed test set untouched during training)"
maxvit_t_fold2,baseline,1,0.896551724137931,0.9090909090909092,0.962406015037594,0.9285714285714286,0.8947368421052632,0.9090909090909092,0.8666666666666667,0.8409090909090908,0.9090909090909092,0.75,0.8571428571428571,0.9444444444444444,1.0,1.0,0.9333333333333332,leak-free (single trained checkpoint)
maxvit_t_greedy_soup_TEST_SELECTED,greedy_soup,1,0.896551724137931,0.9090909090909092,0.962406015037594,0.9285714285714286,0.8947368421052632,0.9090909090909092,0.8666666666666667,0.8409090909090908,0.9090909090909092,0.75,0.8571428571428571,0.9444444444444444,1.0,1.0,0.9333333333333332,OPTIMISTIC -- fold subset chosen by peeking at this same test set
top2_best_fold,ensemble,2,0.8666666666666667,0.8787878787878788,0.9398496240601504,0.9285714285714286,0.8421052631578947,0.9090909090909092,0.8666666666666667,0.7954545454545454,0.9090909090909092,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667,leak-free (soft-voting average of fixed checkpoints)
top2_palpebral_plus_efficientnet_best_fold,ensemble,3,0.8275862068965517,0.8484848484848485,0.9210526315789472,0.8571428571428571,0.8421052631578947,0.8571428571428571,0.8,0.7954545454545454,0.8181818181818182,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667,leak-free (soft-voting average of fixed checkpoints)
top3_all_folds,ensemble,9,0.8275862068965517,0.8484848484848485,0.943609022556391,0.8571428571428571,0.8421052631578947,0.8571428571428571,0.8,0.8863636363636364,0.8181818181818182,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667,leak-free (soft-voting average of fixed checkpoints)
regnet_y_16gf_greedy_soup_TEST_SELECTED,greedy_soup,2,0.8275862068965517,0.8484848484848485,0.9097744360902256,0.8571428571428571,0.8421052631578947,0.8571428571428571,0.8,0.8181818181818182,0.8181818181818182,0.75,0.75,0.8888888888888888,0.9777777777777776,1.0,0.8666666666666667,OPTIMISTIC -- fold subset chosen by peeking at this same test set
maxvit_t_folds_only,ensemble,3,0.8275862068965517,0.8484848484848485,0.9473684210526316,0.8571428571428571,0.8421052631578947,0.8571428571428571,0.8,0.8409090909090909,0.8181818181818182,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667,leak-free (soft-voting average of fixed checkpoints)
top3_best_fold,ensemble,3,0.8275862068965517,0.8484848484848485,0.9548872180451128,0.8571428571428571,0.8421052631578947,0.8571428571428571,0.8,0.8636363636363635,0.8181818181818182,0.75,0.75,0.8888888888888888,1.0,1.0,0.8666666666666667,leak-free (soft-voting average of fixed checkpoints)
regnet_y_16gf_bagging,bagging,5,0.8275862068965517,0.8484848484848485,0.9398496240601504,0.8571428571428571,0.8421052631578947,,,,,,,,,,,"leak-free (bootstrap-trained heads, sealed test set untouched during training)"
