number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_weight_decay,user_attrs_best_val_metrics,user_attrs_model_name,user_attrs_train_loss_history,user_attrs_val_loss_history,state
0,0.8235294117647058,2026-07-19 13:10:32.706515,2026-07-19 13:10:45.915960,0 days 00:00:13.209445,0.0013292918943162175,0.0007114476009343421,"{'overall': {'n': 33, 'accuracy': 0.8181818181818182, 'precision': 0.7, 'recall': 1.0, 'f1': 0.8235294117647058, 'confusion_matrix': [[13, 6], [0, 14]], 'auc': 0.849624060150376, 'roc_curve': {'fpr': [0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.07142857142857142, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.42857142857142855, 0.6428571428571429, 0.6428571428571429, 0.7857142857142857, 0.7857142857142857, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7857142857142857, 'precision': 0.7692307692307693, 'recall': 1.0, 'f1': 0.8695652173913043, 'confusion_matrix': [[1, 3], [0, 10]], 'auc': 0.525, 'roc_curve': {'fpr': [0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.1, 0.1, 0.4, 0.4, 0.6, 0.6, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.8421052631578947, 'precision': 0.5714285714285714, 'recall': 1.0, 'f1': 0.7272727272727273, 'confusion_matrix': [[12, 3], [0, 4]], 'auc': 0.9333333333333333, 'roc_curve': {'fpr': [0.0, 0.06666666666666667, 0.06666666666666667, 1.0], 'tpr': [0.0, 0.0, 1.0, 1.0]}}}",efficientnet_b0_palpebral,"[0.8117621027870684, 0.715958704222117, 0.6471403351682701, 0.6043297233960486, 0.5617034802373672, 0.5322714568368646, 0.5525289702889146, 0.5608494281768799, 0.5254185584601977, 0.484097314394073, 0.5052281294437434, 0.5669926618108686, 0.47909610989867457, 0.5303328972778573, 0.4962716217072594, 0.523371562263034, 0.4940946753451366, 0.4708114465735606, 0.5126636273024098]","[0.8036767424959125, 0.7684854594143954, 0.7171910748337255, 0.6629045659845526, 0.5832548502719763, 0.5735105239983761, 0.5378408215262673, 0.5502904111688788, 0.5127071539560953, 0.5073546857544871, 0.5305534348343358, 0.48588135025717993, 0.4929440635623354, 0.46860485365896515, 0.5119151129867091, 0.4936191096450343, 0.5042934526096691, 0.470836032520641, 0.541876034303145]",COMPLETE
1,0.8125,2026-07-19 13:10:45.916394,2026-07-19 13:10:54.153034,0 days 00:00:08.236640,0.015702970884055395,6.251373574521755e-05,"{'overall': {'n': 33, 'accuracy': 0.8181818181818182, 'precision': 0.7222222222222222, 'recall': 0.9285714285714286, 'f1': 0.8125, 'confusion_matrix': [[14, 5], [1, 13]], 'auc': 0.8759398496240601, 'roc_curve': {'fpr': [0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.3684210526315789, 0.3684210526315789, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.07142857142857142, 0.7857142857142857, 0.7857142857142857, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7142857142857143, 'precision': 0.75, 'recall': 0.9, 'f1': 0.8181818181818182, 'confusion_matrix': [[1, 3], [1, 9]], 'auc': 0.5, 'roc_curve': {'fpr': [0.0, 0.0, 0.5, 0.5, 1.0, 1.0], 'tpr': [0.0, 0.1, 0.1, 0.9, 0.9, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.8947368421052632, 'precision': 0.6666666666666666, 'recall': 1.0, 'f1': 0.8, 'confusion_matrix': [[13, 2], [0, 4]], 'auc': 0.9833333333333334, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 1.0], 'tpr': [0.0, 0.25, 0.75, 0.75, 1.0, 1.0]}}}",efficientnet_b0_palpebral,"[0.6241040142956159, 0.5660001986863598, 0.624636926398372, 0.47153980803016005, 0.534645607929356, 0.5756023908095644, 0.5852790834098462, 0.46818026742398344, 0.554122766516856, 0.6643672174965309, 0.4649871236441151, 0.534160382848307, 0.7406220668001681]","[0.7756726922410907, 1.1407152811686199, 1.7831903515440044, 1.414231777191162, 0.6791882659449722, 0.5968970963449189, 0.637899687795928, 0.4997720718383789, 0.5971811178958777, 0.5433150565985477, 0.6098581082893141, 0.777482498775829, 0.5053479888222434]",COMPLETE
2,0.8235294117647058,2026-07-19 13:10:54.153420,2026-07-19 13:11:13.001080,0 days 00:00:18.847660,0.00029380279387035364,2.9375384576328313e-06,"{'overall': {'n': 33, 'accuracy': 0.8181818181818182, 'precision': 0.7, 'recall': 1.0, 'f1': 0.8235294117647058, 'confusion_matrix': [[13, 6], [0, 14]], 'auc': 0.9097744360902256, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.21428571428571427, 0.21428571428571427, 0.6428571428571429, 0.6428571428571429, 0.7857142857142857, 0.7857142857142857, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7857142857142857, 'precision': 0.7692307692307693, 'recall': 1.0, 'f1': 0.8695652173913043, 'confusion_matrix': [[1, 3], [0, 10]], 'auc': 0.675, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.1, 0.2, 0.2, 0.7, 0.7, 0.8, 0.8, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.8421052631578947, 'precision': 0.5714285714285714, 'recall': 1.0, 'f1': 0.7272727272727273, 'confusion_matrix': [[12, 3], [0, 4]], 'auc': 1.0, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 1.0], 'tpr': [0.0, 0.25, 1.0, 1.0]}}}",efficientnet_b0_palpebral,"[0.8219099482953154, 0.7970849034802013, 0.7737714012727043, 0.7410853418293378, 0.7373046965788532, 0.6939862820486359, 0.6817134977965955, 0.6782365149220094, 0.670585323248478, 0.653275037443401, 0.6461595336333016, 0.6514633696600302, 0.6263200913044001, 0.6191878516152994, 0.6426670776297715, 0.6262926325103305, 0.61152946356906, 0.5994407025394061, 0.5862707010168113, 0.5858627281441594, 0.5520379099230103, 0.5564028068094065, 0.5588656097453162, 0.5884388626016528, 0.5375975836191745, 0.5537763155059309, 0.5683804983334826, 0.5341406075764965, 0.5521493084383327, 0.5346515111575852]","[0.7922052235314341, 0.8035320946664521, 0.7898694945104194, 0.7706390005169492, 0.7433583158435244, 0.7202430620337977, 0.7110415245547439, 0.7078292875578909, 0.6836833700989232, 0.659433075875947, 0.6642213987581658, 0.6195234024163448, 0.6451747146519747, 0.6257939465118177, 0.636333861134269, 0.6187829104336825, 0.5893437627590064, 0.6005290295138503, 0.5838902538472955, 0.5586616667834196, 0.5565590316599066, 0.558368773171396, 0.5666496392452356, 0.5927074027783943, 0.5548004417708425, 0.5681668592221809, 0.5599259354851462, 0.5491887547753074, 0.5483847892645634, 0.5414036837491122]",COMPLETE
3,0.8235294117647058,2026-07-19 13:11:13.001444,2026-07-19 13:11:31.845537,0 days 00:00:18.844093,0.00014936568554617635,0.0003967605077052988,"{'overall': {'n': 33, 'accuracy': 0.8181818181818182, 'precision': 0.7, 'recall': 1.0, 'f1': 0.8235294117647058, 'confusion_matrix': [[13, 6], [0, 14]], 'auc': 0.7706766917293233, 'roc_curve': {'fpr': [0.0, 0.05263157894736842, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 1.0], 'tpr': [0.0, 0.0, 0.0, 0.35714285714285715, 0.35714285714285715, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7857142857142857, 'precision': 0.7692307692307693, 'recall': 1.0, 'f1': 0.8695652173913043, 'confusion_matrix': [[1, 3], [0, 10]], 'auc': 0.525, 'roc_curve': {'fpr': [0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.0, 0.5, 0.5, 0.6, 0.6, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.8421052631578947, 'precision': 0.5714285714285714, 'recall': 1.0, 'f1': 0.7272727272727273, 'confusion_matrix': [[12, 3], [0, 4]], 'auc': 0.8166666666666668, 'roc_curve': {'fpr': [0.0, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.2, 0.2, 1.0], 'tpr': [0.0, 0.0, 0.0, 0.25, 0.25, 1.0, 1.0]}}}",efficientnet_b0_palpebral,"[0.796939813538103, 0.7857381109370302, 0.775372416767853, 0.7705956732989937, 0.7426241123123675, 0.7421808503321464, 0.7139833916891489, 0.7287904300437068, 0.7169455735888702, 0.6887235625690182, 0.6756761563534768, 0.6653424323789331, 0.6801288139741153, 0.6662506555879353, 0.6586674357092144, 0.6391972721807214, 0.6479364487509064, 0.6917160536279742, 0.6304978207247147, 0.6320217433354712, 0.6068420702258482, 0.6310579678080729, 0.615534280309614, 0.6002732866647228, 0.6231959687163499, 0.619489786245965, 0.6137196445307195, 0.6007232669962953, 0.6027628526782358, 0.5800487430679877]","[0.8098368500218247, 0.8056837934436221, 0.8180471550334584, 0.809594862388842, 0.7809594797365593, 0.7569943847078265, 0.739368017875787, 0.7377271887027856, 0.7273787594202793, 0.7139764346859672, 0.7102676250717856, 0.7144119856935559, 0.7130976391561104, 0.6909292719580911, 0.6647932619759531, 0.6628776355223223, 0.6668252330837827, 0.6681044336521265, 0.6599347410780011, 0.6477102637290955, 0.6500656243526575, 0.6432129054358511, 0.6412538290023804, 0.6308011828046857, 0.6404305479743264, 0.6547517162380796, 0.6213307525172378, 0.6271535934823932, 0.6253092559901151, 0.6128640608354048]",COMPLETE
4,0.8484848484848485,2026-07-19 13:11:31.845868,2026-07-19 13:11:44.505520,0 days 00:00:12.659652,0.006358358856676255,0.000133112160807369,"{'overall': {'n': 33, 'accuracy': 0.8484848484848485, 'precision': 0.7368421052631579, 'recall': 1.0, 'f1': 0.8484848484848485, 'confusion_matrix': [[14, 5], [0, 14]], 'auc': 0.849624060150376, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.21428571428571427, 0.21428571428571427, 0.35714285714285715, 0.35714285714285715, 0.6428571428571429, 0.6428571428571429, 0.7142857142857143, 0.7142857142857143, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.8571428571428571, 'precision': 0.8333333333333334, 'recall': 1.0, 'f1': 0.9090909090909091, 'confusion_matrix': [[2, 2], [0, 10]], 'auc': 0.7, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 1.0], 'tpr': [0.0, 0.1, 0.2, 0.2, 0.6, 0.6, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.8421052631578947, 'precision': 0.5714285714285714, 'recall': 1.0, 'f1': 0.7272727272727273, 'confusion_matrix': [[12, 3], [0, 4]], 'auc': 0.9166666666666667, 'roc_curve': {'fpr': [0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 1.0], 'tpr': [0.0, 0.25, 0.25, 0.5, 0.5, 1.0, 1.0]}}}",efficientnet_b0_palpebral,"[0.6989083341415355, 0.5896198808752149, 0.5141513191706297, 0.4820442734569903, 0.5602304363092839, 0.5114162169544902, 0.526239870005096, 0.5648538971578838, 0.46975706428881514, 0.583010165501904, 0.5787631368005512, 0.6658904540617734, 0.4537209201332749, 0.4408857198740473, 0.5529635777536607, 0.49548868904050614, 0.46643629393830205, 0.5422171893104023, 0.460628648862144, 0.46805303420452093]","[0.7462000305002386, 0.7229492989453402, 0.6618969115343961, 0.5977782625140566, 0.4988329193808816, 0.48320289814110956, 0.49352325815143006, 0.48964856971393933, 0.4905077327381481, 0.47906217430577136, 0.4809132850531376, 0.5648343346335671, 0.5136281793767755, 0.47971857677806506, 0.42373878305608575, 0.5157784693168871, 0.49187041773940576, 0.43536884134466, 0.45955036625717627, 0.4611869291825728]",COMPLETE
5,0.8,2026-07-19 13:11:44.505844,2026-07-19 13:12:03.364310,0 days 00:00:18.858466,0.00011527987128232407,0.0008123245085588687,"{'overall': {'n': 33, 'accuracy': 0.7878787878787878, 'precision': 0.6666666666666666, 'recall': 1.0, 'f1': 0.8, 'confusion_matrix': [[12, 7], [0, 14]], 'auc': 0.8796992481203008, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.15789473684210525, 0.15789473684210525, 0.2631578947368421, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 0.3684210526315789, 0.3684210526315789, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.2857142857142857, 0.2857142857142857, 0.6428571428571429, 0.6428571428571429, 0.7142857142857143, 0.7142857142857143, 0.7857142857142857, 0.7857142857142857, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7142857142857143, 'precision': 0.7142857142857143, 'recall': 1.0, 'f1': 0.8333333333333334, 'confusion_matrix': [[0, 4], [0, 10]], 'auc': 0.6749999999999999, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0], 'tpr': [0.0, 0.1, 0.5, 0.5, 0.6, 0.6, 0.7, 0.7, 0.9, 0.9, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.8421052631578947, 'precision': 0.5714285714285714, 'recall': 1.0, 'f1': 0.7272727272727273, 'confusion_matrix': [[12, 3], [0, 4]], 'auc': 0.9666666666666667, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 1.0], 'tpr': [0.0, 0.25, 0.5, 0.5, 1.0, 1.0]}}}",efficientnet_b0_palpebral,"[0.8044043791215152, 0.8068460549739812, 0.8082612330550389, 0.7971332187684167, 0.780878075700722, 0.772056856692232, 0.766990634779267, 0.7649418928765304, 0.7520928860500159, 0.7388952031040823, 0.7280095219612122, 0.7155098713786396, 0.7160651821963835, 0.7088327277575107, 0.7141050834529448, 0.7020412170334368, 0.6890627078662644, 0.6804105098673839, 0.6708181859641675, 0.6661860066533878, 0.696464881202243, 0.663306939286112, 0.6280136333396104, 0.6371021156279456, 0.6336960389914102, 0.6366983411327892, 0.6406642024880214, 0.660469185042855, 0.607721240709949, 0.638705525177204]","[0.8276561877944253, 0.8428781899538907, 0.816711122339422, 0.7854388428456855, 0.7821807716832017, 0.779832681020101, 0.7561943025299998, 0.7420210224209409, 0.7444511688116825, 0.7440141403313839, 0.7201280079104684, 0.7102138219457684, 0.7100653287136194, 0.7014636830850081, 0.6943039731545881, 0.6940027457295042, 0.6785298405271588, 0.6743957544818069, 0.6682647322163437, 0.6698175650654417, 0.6822447307182081, 0.6594962387373953, 0.653865969542301, 0.6506937435179045, 0.6497242866140424, 0.6489534378051758, 0.6467760729067253, 0.6412712209152452, 0.6261813459974347, 0.6276989994627057]",COMPLETE
6,0.7567567567567568,2026-07-19 13:12:03.364668,2026-07-19 13:12:09.707572,0 days 00:00:06.342904,0.03142880890840111,4.335281794951567e-06,"{'overall': {'n': 33, 'accuracy': 0.7272727272727273, 'precision': 0.6086956521739131, 'recall': 1.0, 'f1': 0.7567567567567568, 'confusion_matrix': [[10, 9], [0, 14]], 'auc': 0.8195488721804511, 'roc_curve': {'fpr': [0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.21052631578947367, 0.21052631578947367, 0.3157894736842105, 0.3157894736842105, 0.3684210526315789, 0.3684210526315789, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.07142857142857142, 0.2857142857142857, 0.2857142857142857, 0.5, 0.5, 0.6428571428571429, 0.6428571428571429, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7142857142857143, 'precision': 0.7142857142857143, 'recall': 1.0, 'f1': 0.8333333333333334, 'confusion_matrix': [[0, 4], [0, 10]], 'auc': 0.55, 'roc_curve': {'fpr': [0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.1, 0.1, 0.4, 0.4, 0.7, 0.7, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.7368421052631579, 'precision': 0.4444444444444444, 'recall': 1.0, 'f1': 0.6153846153846154, 'confusion_matrix': [[10, 5], [0, 4]], 'auc': 0.8666666666666667, 'roc_curve': {'fpr': [0.0, 0.0, 0.13333333333333333, 0.13333333333333333, 0.2, 0.2, 1.0], 'tpr': [0.0, 0.25, 0.25, 0.5, 0.5, 1.0, 1.0]}}}",efficientnet_b0_palpebral,"[0.8539354149868946, 0.6441472713520985, 0.7281756219484948, 0.5974753455610464, 0.6424813302147467, 0.8227247921441565, 1.5345656532325491, 1.0308363579756377, 0.8919888347979413, 0.9698850072901819]","[0.6155738469326135, 1.588955257878159, 1.5483649210496382, 0.6588943365848425, 0.6059518293900923, 0.7832816441853842, 1.031028566938458, 1.6770060423648718, 1.3736205967989834, 1.3462721271948381]",COMPLETE
7,0.8235294117647058,2026-07-19 13:12:09.707861,2026-07-19 13:12:28.213791,0 days 00:00:18.505930,0.0003511356313970409,3.549878832196506e-06,"{'overall': {'n': 33, 'accuracy': 0.8181818181818182, 'precision': 0.7, 'recall': 1.0, 'f1': 0.8235294117647058, 'confusion_matrix': [[13, 6], [0, 14]], 'auc': 0.849624060150376, 'roc_curve': {'fpr': [0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.3157894736842105, 0.3157894736842105, 1.0], 'tpr': [0.0, 0.0, 0.21428571428571427, 0.21428571428571427, 0.5714285714285714, 0.5714285714285714, 0.7857142857142857, 0.7857142857142857, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7857142857142857, 'precision': 0.7692307692307693, 'recall': 1.0, 'f1': 0.8695652173913043, 'confusion_matrix': [[1, 3], [0, 10]], 'auc': 0.575, 'roc_curve': {'fpr': [0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.1, 0.1, 0.5, 0.5, 0.7, 0.7, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.8421052631578947, 'precision': 0.5714285714285714, 'recall': 1.0, 'f1': 0.7272727272727273, 'confusion_matrix': [[12, 3], [0, 4]], 'auc': 0.9333333333333333, 'roc_curve': {'fpr': [0.0, 0.06666666666666667, 0.06666666666666667, 1.0], 'tpr': [0.0, 0.0, 1.0, 1.0]}}}",efficientnet_b0_palpebral,"[0.8335612897841346, 0.7793061235882589, 0.7456569801892666, 0.713148677980663, 0.7121846028511097, 0.6843537356679803, 0.6914599454955549, 0.6773144697511433, 0.6386431202983225, 0.6309074463433777, 0.5863146288505453, 0.6145355346187061, 0.6100561524069072, 0.599261303611149, 0.5706950122157469, 0.5726850285435354, 0.5676925024449431, 0.5832570372827796, 0.5593561869583382, 0.5548219408420537, 0.5565959856604898, 0.5391763859237266, 0.5454898306865565, 0.5486838276812572, 0.5592743620177768, 0.5354704750294716, 0.4820930610429372, 0.47541836969899814, 0.5932276939714192, 0.5397093106579307]","[0.8195494016011556, 0.807214845310558, 0.7903853257497152, 0.7517079963828578, 0.7064803585861669, 0.6747896707419193, 0.6583824193838871, 0.6446000626592925, 0.6414239984570127, 0.6179330493464614, 0.6113663839571404, 0.5943138780015887, 0.5907924175262451, 0.5874571800231934, 0.5939277482755256, 0.5751029325254036, 0.5749725464618567, 0.5845126961216782, 0.5649524132410685, 0.5734636928095962, 0.5447692004117098, 0.5434444781505701, 0.5389577114220822, 0.5397092681942564, 0.5638707478841146, 0.5454775781342478, 0.532605463808233, 0.5230467969721014, 0.5437961600043557, 0.5701737042629358]",COMPLETE
8,0.8235294117647058,2026-07-19 13:12:28.214104,2026-07-19 13:12:43.273756,0 days 00:00:15.059652,0.0008179499475211679,3.752055855124284e-05,"{'overall': {'n': 33, 'accuracy': 0.8181818181818182, 'precision': 0.7, 'recall': 1.0, 'f1': 0.8235294117647058, 'confusion_matrix': [[13, 6], [0, 14]], 'auc': 0.8947368421052632, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.2631578947368421, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.42857142857142855, 0.42857142857142855, 0.5, 0.5, 0.6428571428571429, 0.6428571428571429, 0.7857142857142857, 0.7857142857142857, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7857142857142857, 'precision': 0.7692307692307693, 'recall': 1.0, 'f1': 0.8695652173913043, 'confusion_matrix': [[1, 3], [0, 10]], 'auc': 0.7, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.1, 0.5, 0.5, 0.6, 0.6, 0.7, 0.7, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.8421052631578947, 'precision': 0.5714285714285714, 'recall': 1.0, 'f1': 0.7272727272727273, 'confusion_matrix': [[12, 3], [0, 4]], 'auc': 1.0, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 1.0], 'tpr': [0.0, 0.25, 1.0, 1.0]}}}",efficientnet_b0_palpebral,"[0.8146118616426228, 0.7478482091663688, 0.6737833046755254, 0.6415098956878612, 0.6079676360483991, 0.5956343400557309, 0.5635881846314235, 0.5793126987305698, 0.5856967519055929, 0.5457478876145471, 0.5335751424562063, 0.5464649370174535, 0.5247554601422998, 0.531425056078576, 0.49760679061839125, 0.5159523437749471, 0.5310480215691573, 0.5064605091581281, 0.5093641478494303, 0.4925439934067379, 0.5229644881968467, 0.4855569455007844, 0.5219583521220857, 0.5164058836090644]","[0.7788149407415679, 0.7647014711842393, 0.7262636206366799, 0.6971102519468828, 0.645759333263744, 0.6150084300474687, 0.590216748642199, 0.6059663982102366, 0.6012236421758478, 0.5784278602311106, 0.534728259751291, 0.5388082627094153, 0.5178317951433586, 0.5257204084685354, 0.529304280425563, 0.5607588146672104, 0.5266859531402588, 0.5132071321660822, 0.49566490722425055, 0.5090126196543375, 0.5093853256919167, 0.5142463770779696, 0.5005284511681759, 0.5348579161094896]",COMPLETE
9,0.8484848484848485,2026-07-19 13:12:43.274105,2026-07-19 13:12:57.281517,0 days 00:00:14.007412,0.0019762189340280074,7.4763120622522945e-06,"{'overall': {'n': 33, 'accuracy': 0.8484848484848485, 'precision': 0.7368421052631579, 'recall': 1.0, 'f1': 0.8484848484848485, 'confusion_matrix': [[14, 5], [0, 14]], 'auc': 0.8609022556390977, 'roc_curve': {'fpr': [0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.2631578947368421, 0.2631578947368421, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.07142857142857142, 0.6428571428571429, 0.6428571428571429, 0.7857142857142857, 0.7857142857142857, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7142857142857143, 'precision': 0.7142857142857143, 'recall': 1.0, 'f1': 0.8333333333333334, 'confusion_matrix': [[0, 4], [0, 10]], 'auc': 0.475, 'roc_curve': {'fpr': [0.0, 0.0, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0], 'tpr': [0.0, 0.1, 0.1, 0.8, 0.8, 0.9, 0.9, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.9473684210526315, 'precision': 0.8, 'recall': 1.0, 'f1': 0.8888888888888888, 'confusion_matrix': [[14, 1], [0, 4]], 'auc': 0.9666666666666667, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 1.0], 'tpr': [0.0, 0.25, 0.5, 0.5, 1.0, 1.0]}}}",efficientnet_b0_palpebral,"[0.7319086197985719, 0.6273331776360013, 0.6381499869933981, 0.5753887891769409, 0.5016074626651031, 0.5443297182487337, 0.5160292862661627, 0.5635223009728438, 0.5125932663876489, 0.5120450704303009, 0.5272668848764028, 0.4756416635008048, 0.48290708917655695, 0.4683134269635409, 0.5063662773726002, 0.43277510507217304, 0.5233472206734664, 0.5099579561625095, 0.5223310526633105, 0.51353159171856, 0.496252595095445, 0.5065738925870681]","[0.7614056738940153, 0.7114180759950117, 0.6763950089613596, 0.6346154646439985, 0.5543283982710405, 0.5246118848974054, 0.5012850508545384, 0.5171984723120024, 0.5080759380802964, 0.5227950052781538, 0.5039151112238566, 0.48957660703948047, 0.4987484939170606, 0.49640213359485974, 0.5199455347928134, 0.489245436408303, 0.4800493861689712, 0.5181711695410989, 0.48933407032128534, 0.5300454226407137, 0.49241235761931446, 0.5181919227946888]",COMPLETE
