number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_weight_decay,user_attrs_best_val_metrics,user_attrs_model_name,user_attrs_train_loss_history,user_attrs_val_loss_history,state
0,0.7647058823529411,2026-07-19 13:15:14.605328,2026-07-19 13:15:26.647470,0 days 00:00:12.042142,0.0013292918943162175,0.0007114476009343421,"{'overall': {'n': 31, 'accuracy': 0.7419354838709677, 'precision': 0.65, 'recall': 0.9285714285714286, 'f1': 0.7647058823529411, 'confusion_matrix': [[10, 7], [1, 13]], 'auc': 0.7815126050420168, 'roc_curve': {'fpr': [0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.23529411764705882, 0.23529411764705882, 0.35294117647058826, 0.35294117647058826, 0.4117647058823529, 0.4117647058823529, 0.5294117647058824, 0.5294117647058824, 1.0], 'tpr': [0.0, 0.0, 0.14285714285714285, 0.14285714285714285, 0.5, 0.5, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7142857142857143, 'precision': 0.75, 'recall': 0.9, 'f1': 0.8181818181818182, 'confusion_matrix': [[1, 3], [1, 9]], 'auc': 0.7250000000000001, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0], 'tpr': [0.0, 0.1, 0.6, 0.6, 0.8, 0.8, 0.9, 0.9, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.7647058823529411, 'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'confusion_matrix': [[9, 4], [0, 4]], 'auc': 0.8846153846153846, 'roc_curve': {'fpr': [0.0, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 1.0], 'tpr': [0.0, 0.0, 0.5, 0.5, 1.0, 1.0]}}}",mobilenet_v3_small_forniceal_palpebral,"[0.7825100859817193, 0.7028014177367801, 0.6513910378728595, 0.6248286743553317, 0.6072475573643535, 0.5546371989509686, 0.5863623542039573, 0.5167322961651549, 0.5240326560273463, 0.5171395207748932, 0.5012416061089964, 0.482714155498816, 0.5099782189544366, 0.4647256472483784, 0.48848675262360347, 0.4578360201550179, 0.485996312024642, 0.4397823711236318, 0.4594406286875407, 0.4530392467570143, 0.4214051138787043, 0.4188020590211258, 0.4373416710062092, 0.4478782528922671]","[0.7784099251993241, 0.7601958551714497, 0.7426722568850364, 0.7374829649925232, 0.7386571745718679, 0.7379515478687901, 0.7323423181810687, 0.7261376207874667, 0.7194192198015028, 0.715407177325218, 0.7154464452497421, 0.7217717439897599, 0.7213217250762447, 0.7146696294507673, 0.706168161284539, 0.7185336966668406, 0.709351449243484, 0.7107916397433127, 0.6937001155268762, 0.6946498972754325, 0.7002674619997701, 0.7096749697962115, 0.7270958885069816, 0.7316666630006605]",COMPLETE
1,0.6842105263157895,2026-07-19 13:15:26.647843,2026-07-19 13:15:29.779331,0 days 00:00:03.131488,0.015702970884055395,6.251373574521755e-05,"{'overall': {'n': 31, 'accuracy': 0.6129032258064516, 'precision': 0.5416666666666666, 'recall': 0.9285714285714286, 'f1': 0.6842105263157895, 'confusion_matrix': [[6, 11], [1, 13]], 'auc': 0.773109243697479, 'roc_curve': {'fpr': [0.0, 0.058823529411764705, 0.058823529411764705, 0.29411764705882354, 0.29411764705882354, 0.35294117647058826, 0.35294117647058826, 0.5294117647058824, 0.5294117647058824, 0.8823529411764706, 0.8823529411764706, 1.0], 'tpr': [0.0, 0.0, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7142857142857143, 'precision': 0.75, 'recall': 0.9, 'f1': 0.8181818181818182, 'confusion_matrix': [[1, 3], [1, 9]], 'auc': 0.8500000000000001, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.5, 0.5, 1.0, 1.0], 'tpr': [0.0, 0.1, 0.8, 0.8, 0.9, 0.9, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.5294117647058824, 'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'confusion_matrix': [[5, 8], [0, 4]], 'auc': 0.8461538461538463, 'roc_curve': {'fpr': [0.0, 0.07692307692307693, 0.07692307692307693, 0.38461538461538464, 0.38461538461538464, 1.0], 'tpr': [0.0, 0.0, 0.75, 0.75, 1.0, 1.0]}}}",mobilenet_v3_small_forniceal_palpebral,"[0.7777138713265763, 0.5019242941927747, 0.505562238141793, 0.5313635504975611, 0.5592884802493919, 0.41968858647508683, 0.4530635958626157]","[0.7761080707273176, 0.7276997412404707, 1.1096495928302887, 1.2866594406866259, 1.096965451394358, 1.0302697573938677, 1.0081830370810725]",COMPLETE
2,0.7368421052631579,2026-07-19 13:15:29.779738,2026-07-19 13:15:42.915268,0 days 00:00:13.135530,0.00029380279387035364,2.9375384576328313e-06,"{'overall': {'n': 31, 'accuracy': 0.6774193548387096, 'precision': 0.5833333333333334, 'recall': 1.0, 'f1': 0.7368421052631579, 'confusion_matrix': [[7, 10], [0, 14]], 'auc': 0.7478991596638656, 'roc_curve': {'fpr': [0.0, 0.058823529411764705, 0.058823529411764705, 0.17647058823529413, 0.17647058823529413, 0.23529411764705882, 0.23529411764705882, 0.4117647058823529, 0.4117647058823529, 0.47058823529411764, 0.47058823529411764, 0.5882352941176471, 0.5882352941176471, 1.0], 'tpr': [0.0, 0.0, 0.21428571428571427, 0.21428571428571427, 0.6428571428571429, 0.6428571428571429, 0.7142857142857143, 0.7142857142857143, 0.7857142857142857, 0.7857142857142857, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7142857142857143, 'precision': 0.7142857142857143, 'recall': 1.0, 'f1': 0.8333333333333334, 'confusion_matrix': [[0, 4], [0, 10]], 'auc': 0.575, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 1.0, 1.0], 'tpr': [0.0, 0.1, 0.5, 0.5, 0.6, 0.6, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.6470588235294118, 'precision': 0.4, 'recall': 1.0, 'f1': 0.5714285714285714, 'confusion_matrix': [[7, 6], [0, 4]], 'auc': 0.8846153846153846, 'roc_curve': {'fpr': [0.0, 0.07692307692307693, 0.07692307692307693, 0.23076923076923078, 0.23076923076923078, 1.0], 'tpr': [0.0, 0.0, 0.75, 0.75, 1.0, 1.0]}}}",mobilenet_v3_small_forniceal_palpebral,"[0.8046460800430402, 0.7825493926093692, 0.741929673013233, 0.741414821066824, 0.7300994915216148, 0.7184105333016844, 0.6876683137854751, 0.6910927538969078, 0.6743032790365673, 0.6466056120638944, 0.6490415213059406, 0.6376169449618073, 0.6490467438081495, 0.6174580061516795, 0.6074201006467651, 0.6280233239640995, 0.6131843733949726, 0.5936015706484009, 0.6279210217145025, 0.5951579063117098, 0.5667814859727613, 0.5902581571721707, 0.5960962849409401, 0.5814716621321074, 0.5608969630838252, 0.5612450189330951, 0.5563270007671953, 0.5580029771441505, 0.5462079964527468, 0.5556289010307416]","[0.8237486250938908, 0.8207344681985916, 0.8119913685706354, 0.8097974023511333, 0.8061191862629306, 0.8027189854652651, 0.7987457552263814, 0.796397082267269, 0.794933061445913, 0.7910555197346595, 0.7881244017231849, 0.7838813470255944, 0.7755842497271876, 0.7659699782248466, 0.7535745443836335, 0.7451662767317987, 0.7360492406352874, 0.728419997999745, 0.7225589213832733, 0.7146945095831349, 0.708074688911438, 0.6975102674576544, 0.6879689453109619, 0.6778551618899068, 0.6674721481338624, 0.6609754302809315, 0.657892701125914, 0.6513985433886128, 0.6483245645799944, 0.6471351904253806]",COMPLETE
3,0.6206896551724138,2026-07-19 13:15:42.915673,2026-07-19 13:15:49.530787,0 days 00:00:06.615114,0.00014936568554617635,0.0003967605077052988,"{'overall': {'n': 31, 'accuracy': 0.6451612903225806, 'precision': 0.6, 'recall': 0.6428571428571429, 'f1': 0.6206896551724138, 'confusion_matrix': [[11, 6], [5, 9]], 'auc': 0.634453781512605, 'roc_curve': {'fpr': [0.0, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.17647058823529413, 0.17647058823529413, 0.29411764705882354, 0.29411764705882354, 0.35294117647058826, 0.35294117647058826, 0.4117647058823529, 0.4117647058823529, 0.6470588235294118, 0.6470588235294118, 0.7647058823529411, 0.7647058823529411, 1.0], 'tpr': [0.0, 0.0, 0.0, 0.35714285714285715, 0.35714285714285715, 0.42857142857142855, 0.42857142857142855, 0.5, 0.5, 0.6428571428571429, 0.6428571428571429, 0.7142857142857143, 0.7142857142857143, 0.7857142857142857, 0.7857142857142857, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.5714285714285714, 'precision': 0.8333333333333334, 'recall': 0.5, 'f1': 0.625, 'confusion_matrix': [[3, 1], [5, 5]], 'auc': 0.5249999999999999, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 1.0, 1.0], 'tpr': [0.0, 0.1, 0.3, 0.3, 0.6, 0.6, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.7058823529411765, 'precision': 0.4444444444444444, 'recall': 1.0, 'f1': 0.6153846153846154, 'confusion_matrix': [[8, 5], [0, 4]], 'auc': 0.8461538461538461, 'roc_curve': {'fpr': [0.0, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 1.0], 'tpr': [0.0, 0.0, 0.0, 1.0, 1.0]}}}",mobilenet_v3_small_forniceal_palpebral,"[0.7873343496906514, 0.7915466196682989, 0.764682370789197, 0.7599703020789996, 0.754341430810033, 0.7418240402020565, 0.7377295011565799, 0.7315822239635753, 0.7256283228900157, 0.7193270451357575, 0.704633756965196, 0.6900928677344809, 0.7041416087118136, 0.6743187069081936, 0.7084842689183294]","[0.835110270207928, 0.835975670045422, 0.8263619369076144, 0.8176583724637185, 0.8106695355907563, 0.8065889862275892, 0.8012419362221995, 0.7954214522915501, 0.7928814695727441, 0.7908702588850453, 0.7938211810204291, 0.7965666920908036, 0.7979103999753152, 0.7979797470954156, 0.7957689704433564]",COMPLETE
4,0.7,2026-07-19 13:15:49.531110,2026-07-19 13:15:52.219763,0 days 00:00:02.688653,0.006358358856676255,0.000133112160807369,"{'overall': {'n': 31, 'accuracy': 0.6129032258064516, 'precision': 0.5384615384615384, 'recall': 1.0, 'f1': 0.7, 'confusion_matrix': [[5, 12], [0, 14]], 'auc': 0.7016806722689075, 'roc_curve': {'fpr': [0.0, 0.058823529411764705, 0.17647058823529413, 0.17647058823529413, 0.23529411764705882, 0.23529411764705882, 0.29411764705882354, 0.29411764705882354, 0.35294117647058826, 0.35294117647058826, 0.4117647058823529, 0.4117647058823529, 0.47058823529411764, 0.47058823529411764, 1.0], 'tpr': [0.0, 0.0, 0.0, 0.35714285714285715, 0.35714285714285715, 0.42857142857142855, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 0.6428571428571429, 0.6428571428571429, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7142857142857143, 'precision': 0.7142857142857143, 'recall': 1.0, 'f1': 0.8333333333333334, 'confusion_matrix': [[0, 4], [0, 10]], 'auc': 0.5249999999999999, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.1, 0.2, 0.2, 0.3, 0.3, 0.6, 0.6, 1.0, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.5294117647058824, 'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'confusion_matrix': [[5, 8], [0, 4]], 'auc': 0.75, 'roc_curve': {'fpr': [0.0, 0.07692307692307693, 0.23076923076923078, 0.23076923076923078, 0.3076923076923077, 0.3076923076923077, 1.0], 'tpr': [0.0, 0.0, 0.0, 0.75, 0.75, 1.0, 1.0]}}}",mobilenet_v3_small_forniceal_palpebral,"[0.7148778653469215, 0.528133132830769, 0.4501724458065163, 0.5318241139658454, 0.4594285390814956, 0.4649012380716752]","[0.7548297066842357, 0.8937051911507884, 0.9715124484031431, 0.977105817487163, 0.9173311610375682, 0.8581118006860057]",COMPLETE
5,0.7567567567567568,2026-07-19 13:15:52.220117,2026-07-19 13:16:05.402382,0 days 00:00:13.182265,0.00011527987128232407,0.0008123245085588687,"{'overall': {'n': 31, 'accuracy': 0.7096774193548387, 'precision': 0.6086956521739131, 'recall': 1.0, 'f1': 0.7567567567567568, 'confusion_matrix': [[8, 9], [0, 14]], 'auc': 0.7226890756302521, 'roc_curve': {'fpr': [0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.17647058823529413, 0.17647058823529413, 0.23529411764705882, 0.23529411764705882, 0.29411764705882354, 0.29411764705882354, 0.35294117647058826, 0.35294117647058826, 0.47058823529411764, 0.47058823529411764, 0.5294117647058824, 0.5294117647058824, 1.0], 'tpr': [0.0, 0.0, 0.07142857142857142, 0.07142857142857142, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.7857142857142857, 0.7857142857142857, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7142857142857143, 'precision': 0.7142857142857143, 'recall': 1.0, 'f1': 0.8333333333333334, 'confusion_matrix': [[0, 4], [0, 10]], 'auc': 0.42499999999999993, 'roc_curve': {'fpr': [0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0], 'tpr': [0.0, 0.0, 0.4, 0.4, 0.6, 0.6, 0.7, 0.7, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.7058823529411765, 'precision': 0.4444444444444444, 'recall': 1.0, 'f1': 0.6153846153846154, 'confusion_matrix': [[8, 5], [0, 4]], 'auc': 0.8269230769230769, 'roc_curve': {'fpr': [0.0, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 0.23076923076923078, 0.23076923076923078, 1.0], 'tpr': [0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 1.0, 1.0]}}}",mobilenet_v3_small_forniceal_palpebral,"[0.8047482768694559, 0.8034885440553937, 0.7875331883527794, 0.7766313698827004, 0.7617369111703367, 0.7660506298752869, 0.7574247892211083, 0.7493973792004748, 0.7430388521985943, 0.7474450290608569, 0.7326483077743426, 0.7204418125606719, 0.7121195509320214, 0.7149319218940475, 0.7179997770153747, 0.709877115123126, 0.7008097609695123, 0.6766965802834959, 0.6854576521179303, 0.6921691189006883, 0.6781794347730624, 0.6779905375169248, 0.66406596598982, 0.6517047046804104, 0.6635787134267845, 0.6396695192979307, 0.6604631303929959, 0.6672318119581054, 0.6603468826838902, 0.6468354118924563]","[0.8499831326546208, 0.8485794855702308, 0.8352245188528492, 0.8222947062984589, 0.8082339513686395, 0.7944624000980008, 0.7856500783274251, 0.7803618158063581, 0.7764642776981476, 0.7728252353206757, 0.7709714520362115, 0.7691022388396724, 0.768115476254494, 0.7668759688254325, 0.7652663626978474, 0.7651958138711991, 0.7647879085233135, 0.7651419927996974, 0.7634286380583241, 0.7599051537052277, 0.757663651820152, 0.7545750794872161, 0.751202771740575, 0.7478228768994731, 0.7439580502048615, 0.7411954191423231, 0.7380287301155829, 0.738723627982601, 0.7366535144467508, 0.7344035102475074]",COMPLETE
6,0.717948717948718,2026-07-19 13:16:05.402738,2026-07-19 13:16:08.098774,0 days 00:00:02.696036,0.03142880890840111,4.335281794951567e-06,"{'overall': {'n': 31, 'accuracy': 0.6451612903225806, 'precision': 0.56, 'recall': 1.0, 'f1': 0.717948717948718, 'confusion_matrix': [[6, 11], [0, 14]], 'auc': 0.8067226890756303, 'roc_curve': {'fpr': [0.0, 0.0, 0.11764705882352941, 0.11764705882352941, 0.17647058823529413, 0.17647058823529413, 0.6470588235294118, 0.6470588235294118, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.07142857142857142, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7142857142857143, 'precision': 0.7142857142857143, 'recall': 1.0, 'f1': 0.8333333333333334, 'confusion_matrix': [[0, 4], [0, 10]], 'auc': 0.9, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 1.0, 1.0], 'tpr': [0.0, 0.1, 0.9, 0.9, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.5882352941176471, 'precision': 0.36363636363636365, 'recall': 1.0, 'f1': 0.5333333333333333, 'confusion_matrix': [[6, 7], [0, 4]], 'auc': 0.75, 'roc_curve': {'fpr': [0.0, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 0.5384615384615384, 0.5384615384615384, 1.0], 'tpr': [0.0, 0.0, 0.0, 0.75, 0.75, 1.0, 1.0]}}}",mobilenet_v3_small_forniceal_palpebral,"[0.7810569152134617, 0.5891035178891656, 0.8218051503304722, 0.633371005252916, 0.7320196459982165, 0.5764207730487901]","[0.6497052946398335, 1.0695138208327755, 1.135103210326164, 1.0333611349905691, 0.6839555559619781, 1.0772684601045424]",COMPLETE
7,0.6222222222222222,2026-07-19 13:16:08.099050,2026-07-19 13:16:11.228243,0 days 00:00:03.129193,0.0003511356313970409,3.549878832196506e-06,"{'overall': {'n': 31, 'accuracy': 0.45161290322580644, 'precision': 0.45161290322580644, 'recall': 1.0, 'f1': 0.6222222222222222, 'confusion_matrix': [[0, 17], [0, 14]], 'auc': 0.5756302521008403, 'roc_curve': {'fpr': [0.0, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.23529411764705882, 0.23529411764705882, 0.47058823529411764, 0.47058823529411764, 0.6470588235294118, 0.6470588235294118, 0.7058823529411765, 0.7058823529411765, 0.8823529411764706, 0.8823529411764706, 1.0], 'tpr': [0.0, 0.0, 0.0, 0.35714285714285715, 0.35714285714285715, 0.5, 0.5, 0.5714285714285714, 0.5714285714285714, 0.7857142857142857, 0.7857142857142857, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7142857142857143, 'precision': 0.7142857142857143, 'recall': 1.0, 'f1': 0.8333333333333334, 'confusion_matrix': [[0, 4], [0, 10]], 'auc': 0.65, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.1, 0.4, 0.4, 0.5, 0.5, 0.7, 0.7, 1.0, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.23529411764705882, 'precision': 0.23529411764705882, 'recall': 1.0, 'f1': 0.38095238095238093, 'confusion_matrix': [[0, 13], [0, 4]], 'auc': 0.6730769230769231, 'roc_curve': {'fpr': [0.0, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 0.3076923076923077, 0.3076923076923077, 0.6923076923076923, 0.6923076923076923, 1.0], 'tpr': [0.0, 0.0, 0.0, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]}}}",mobilenet_v3_small_forniceal_palpebral,"[0.7838139704295567, 0.7664264067500627, 0.762581451409528, 0.7389618251599422, 0.7235478130327601, 0.6843226738527518, 0.6905205509289593]","[0.8107028122871153, 0.8069414919422518, 0.8079135975530071, 0.810739392234433, 0.8121851932617926, 0.8138260591414667, 0.8125471626558611]",COMPLETE
8,0.6363636363636364,2026-07-19 13:16:11.228522,2026-07-19 13:16:14.326100,0 days 00:00:03.097578,0.0008179499475211679,3.752055855124284e-05,"{'overall': {'n': 31, 'accuracy': 0.4838709677419355, 'precision': 0.4666666666666667, 'recall': 1.0, 'f1': 0.6363636363636364, 'confusion_matrix': [[1, 16], [0, 14]], 'auc': 0.7605042016806722, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.17647058823529413, 0.17647058823529413, 0.29411764705882354, 0.29411764705882354, 0.35294117647058826, 0.35294117647058826, 0.4117647058823529, 0.4117647058823529, 0.47058823529411764, 0.47058823529411764, 0.5882352941176471, 0.5882352941176471, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.5, 0.5, 0.5714285714285714, 0.5714285714285714, 0.6428571428571429, 0.6428571428571429, 0.7142857142857143, 0.7142857142857143, 0.7857142857142857, 0.7857142857142857, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7142857142857143, 'precision': 0.7142857142857143, 'recall': 1.0, 'f1': 0.8333333333333334, 'confusion_matrix': [[0, 4], [0, 10]], 'auc': 0.775, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 1.0], 'tpr': [0.0, 0.1, 0.4, 0.4, 0.7, 0.7, 1.0, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.29411764705882354, 'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'confusion_matrix': [[1, 12], [0, 4]], 'auc': 0.5961538461538461, 'roc_curve': {'fpr': [0.0, 0.07692307692307693, 0.3076923076923077, 0.3076923076923077, 0.38461538461538464, 0.38461538461538464, 0.46153846153846156, 0.46153846153846156, 1.0], 'tpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 1.0, 1.0]}}}",mobilenet_v3_small_forniceal_palpebral,"[0.7807077574892108, 0.7113667702188298, 0.6755196285896561, 0.6678003097067073, 0.6320810642372183, 0.6181862119103776, 0.6127604955718631]","[0.7814214460311397, 0.7740521238696191, 0.7894453963925762, 0.8025884301431717, 0.8185185117106284, 0.8298490508910148, 0.8264514784659108]",COMPLETE
9,0.6842105263157895,2026-07-19 13:16:14.326499,2026-07-19 13:16:17.451928,0 days 00:00:03.125429,0.0019762189340280074,7.4763120622522945e-06,"{'overall': {'n': 31, 'accuracy': 0.6129032258064516, 'precision': 0.5416666666666666, 'recall': 0.9285714285714286, 'f1': 0.6842105263157895, 'confusion_matrix': [[6, 11], [1, 13]], 'auc': 0.6764705882352942, 'roc_curve': {'fpr': [0.0, 0.058823529411764705, 0.058823529411764705, 0.29411764705882354, 0.29411764705882354, 0.35294117647058826, 0.35294117647058826, 0.47058823529411764, 0.47058823529411764, 0.6470588235294118, 0.6470588235294118, 0.7058823529411765, 0.7058823529411765, 1.0], 'tpr': [0.0, 0.0, 0.2857142857142857, 0.2857142857142857, 0.5714285714285714, 0.5714285714285714, 0.6428571428571429, 0.6428571428571429, 0.8571428571428571, 0.8571428571428571, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.6428571428571429, 'precision': 0.6923076923076923, 'recall': 0.9, 'f1': 0.782608695652174, 'confusion_matrix': [[0, 4], [1, 9]], 'auc': 0.65, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.5, 0.5, 1.0, 1.0], 'tpr': [0.0, 0.1, 0.5, 0.5, 0.8, 0.8, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.5882352941176471, 'precision': 0.36363636363636365, 'recall': 1.0, 'f1': 0.5333333333333333, 'confusion_matrix': [[6, 7], [0, 4]], 'auc': 0.9230769230769231, 'roc_curve': {'fpr': [0.0, 0.07692307692307693, 0.07692307692307693, 1.0], 'tpr': [0.0, 0.0, 1.0, 1.0]}}}",mobilenet_v3_small_forniceal_palpebral,"[0.767630260006911, 0.6789304642450242, 0.6056062088531702, 0.5758941053938703, 0.5592007170729085, 0.49763990421684423, 0.5141524834697749]","[0.7805753311803264, 0.7641287023021329, 0.7733552225174443, 0.7768210922518084, 0.7912879740038226, 0.8264880526450372, 0.8178763408814708]",COMPLETE
