number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_weight_decay,user_attrs_best_val_metrics,user_attrs_model_name,user_attrs_train_loss_history,user_attrs_val_loss_history,state
0,0.7878787878787878,2026-07-19 13:08:33.045503,2026-07-19 13:08:49.647189,0 days 00:00:16.601686,0.0013292918943162175,0.0007114476009343421,"{'overall': {'n': 33, 'accuracy': 0.7878787878787878, 'precision': 0.6842105263157895, 'recall': 0.9285714285714286, 'f1': 0.7878787878787878, 'confusion_matrix': [[13, 6], [1, 13]], 'auc': 0.8533834586466165, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.3157894736842105, 0.3157894736842105, 0.3684210526315789, 0.3684210526315789, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.21428571428571427, 0.21428571428571427, 0.35714285714285715, 0.35714285714285715, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.8571428571428571, 'precision': 0.9, 'recall': 0.9, 'f1': 0.9, 'confusion_matrix': [[3, 1], [1, 9]], 'auc': 0.875, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 1.0], 'tpr': [0.0, 0.1, 0.6, 0.6, 0.9, 0.9, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.7368421052631579, 'precision': 0.4444444444444444, 'recall': 1.0, 'f1': 0.6153846153846154, 'confusion_matrix': [[10, 5], [0, 4]], 'auc': 0.9500000000000001, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 1.0], 'tpr': [0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]}}}",mobilenet_v3_small_palpebral,"[0.7961092401813987, 0.7101235954177301, 0.6791594308733151, 0.6538919743323168, 0.653999235456353, 0.6327677100699469, 0.5686820658626935, 0.585809781851358, 0.5679404553988122, 0.5997040500704026, 0.5734146553159549, 0.5634312728382894, 0.503933043077292, 0.5530141663077651, 0.5416185538105617, 0.5248481410228654, 0.5478531445888494, 0.5119283167731683, 0.5086374969671894, 0.5449103926191267, 0.5177413106754126, 0.4853085997878321, 0.506606239356742, 0.6135752232658942, 0.581987379797247, 0.4752931358008985, 0.49231531209503576, 0.4779601468155716, 0.47693853662503477, 0.5302355153276431]","[0.8220101865855131, 0.7978673468936573, 0.7852347547357733, 0.7775504011096377, 0.7700320410005974, 0.7596491214000818, 0.7492229541142782, 0.73499934239821, 0.7185014919801191, 0.7000315767346006, 0.6815236048264937, 0.674955017638929, 0.6617656530755939, 0.6562364968386564, 0.660303822069457, 0.6573285966208486, 0.6483617786205176, 0.6464326742923621, 0.6407580610477563, 0.640707462122946, 0.6216826890454148, 0.6098618037772902, 0.602059725559119, 0.6070891853534814, 0.5994485345753756, 0.5892044829599785, 0.5863549239707716, 0.5916007215326483, 0.600626345836755, 0.614123958529848]",COMPLETE
1,0.8235294117647058,2026-07-19 13:08:49.647711,2026-07-19 13:08:52.565972,0 days 00:00:02.918261,0.015702970884055395,6.251373574521755e-05,"{'overall': {'n': 33, 'accuracy': 0.8181818181818182, 'precision': 0.7, 'recall': 1.0, 'f1': 0.8235294117647058, 'confusion_matrix': [[13, 6], [0, 14]], 'auc': 0.887218045112782, 'roc_curve': {'fpr': [0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.2631578947368421, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 1.0], 'tpr': [0.0, 0.0, 0.5, 0.5, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.8571428571428571, 'precision': 0.8333333333333334, 'recall': 1.0, 'f1': 0.9090909090909091, 'confusion_matrix': [[2, 2], [0, 10]], 'auc': 0.725, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 1.0], 'tpr': [0.0, 0.1, 0.3, 0.3, 0.6, 0.6, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.7894736842105263, 'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'confusion_matrix': [[11, 4], [0, 4]], 'auc': 0.9333333333333333, 'roc_curve': {'fpr': [0.0, 0.06666666666666667, 0.06666666666666667, 1.0], 'tpr': [0.0, 0.0, 1.0, 1.0]}}}",mobilenet_v3_small_palpebral,"[0.7859664231736139, 0.6957063939397699, 0.6463900666363191, 0.5181200235884711, 0.6569965327812346, 0.5601356791344699]","[0.6698246544057672, 0.6784508354736097, 0.8008276386694475, 1.186541857141437, 1.2878338568138354, 1.2694752541455356]",COMPLETE
2,0.7586206896551724,2026-07-19 13:08:52.566330,2026-07-19 13:09:06.576074,0 days 00:00:14.009744,0.00029380279387035364,2.9375384576328313e-06,"{'overall': {'n': 33, 'accuracy': 0.7878787878787878, 'precision': 0.7333333333333333, 'recall': 0.7857142857142857, 'f1': 0.7586206896551724, 'confusion_matrix': [[15, 4], [3, 11]], 'auc': 0.8120300751879699, 'roc_curve': {'fpr': [0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.21052631578947367, 0.3157894736842105, 0.3157894736842105, 0.42105263157894735, 0.42105263157894735, 0.47368421052631576, 0.47368421052631576, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.07142857142857142, 0.21428571428571427, 0.21428571428571427, 0.42857142857142855, 0.42857142857142855, 0.5, 0.5, 0.7857142857142857, 0.7857142857142857, 0.8571428571428571, 0.8571428571428571, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7857142857142857, 'precision': 1.0, 'recall': 0.7, 'f1': 0.8235294117647058, 'confusion_matrix': [[4, 0], [3, 7]], 'auc': 0.875, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 1.0], 'tpr': [0.0, 0.1, 0.7, 0.7, 0.8, 0.8, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.7894736842105263, 'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'confusion_matrix': [[11, 4], [0, 4]], 'auc': 0.9333333333333333, 'roc_curve': {'fpr': [0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 1.0], 'tpr': [0.0, 0.25, 0.25, 0.75, 0.75, 1.0, 1.0]}}}",mobilenet_v3_small_palpebral,"[0.8220265922167443, 0.7752860117432298, 0.7679556347676461, 0.7592404358434361, 0.7333170471601929, 0.7291736835675524, 0.7027893326929863, 0.7003029738830415, 0.6914845164248485, 0.6836707110436547, 0.6856337864667374, 0.6880727331369918, 0.6534863655140858, 0.678696502912913, 0.6684649231418079, 0.6441385232849627, 0.6409546784217784, 0.65892616447234, 0.6246074063098983, 0.6060422402344002, 0.6202833313026176, 0.6246607832561265, 0.6081606769403874, 0.6214779781189975, 0.6167752790135264, 0.624248456086544, 0.6395784849362658, 0.6400284368470804, 0.6317923692677985, 0.6118674692728662]","[0.8027831171498154, 0.8027934504277778, 0.7891107725374626, 0.7815330823262533, 0.772452099756761, 0.7647493246829871, 0.7627084399714614, 0.7631933941985621, 0.7634243332978451, 0.7572368943330013, 0.7480019656094637, 0.7367234302289558, 0.7249394004995172, 0.7227000359332922, 0.7251886436433503, 0.7268764503074415, 0.7226189483295787, 0.7166878328178868, 0.7121869560443994, 0.7055453730351997, 0.7020550875952749, 0.6988147370743029, 0.6945706967151526, 0.6921315102866201, 0.6895408747774182, 0.6883960474621166, 0.6815525889396667, 0.6767484988227035, 0.6714184591264436, 0.6671285990512732]",COMPLETE
3,0.6511627906976745,2026-07-19 13:09:06.576398,2026-07-19 13:09:14.514747,0 days 00:00:07.938349,0.00014936568554617635,0.0003967605077052988,"{'overall': {'n': 33, 'accuracy': 0.5454545454545454, 'precision': 0.4827586206896552, 'recall': 1.0, 'f1': 0.6511627906976745, 'confusion_matrix': [[4, 15], [0, 14]], 'auc': 0.8233082706766918, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.15789473684210525, 0.15789473684210525, 0.5789473684210527, 0.5789473684210527, 0.631578947368421, 0.631578947368421, 0.7894736842105263, 0.7894736842105263, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.2857142857142857, 0.2857142857142857, 0.7142857142857143, 0.7142857142857143, 0.7857142857142857, 0.7857142857142857, 0.8571428571428571, 0.8571428571428571, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7857142857142857, 'precision': 0.7692307692307693, 'recall': 1.0, 'f1': 0.8695652173913043, 'confusion_matrix': [[1, 3], [0, 10]], 'auc': 0.975, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 1.0], 'tpr': [0.0, 0.1, 0.9, 0.9, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.3684210526315789, 'precision': 0.25, 'recall': 1.0, 'f1': 0.4, 'confusion_matrix': [[3, 12], [0, 4]], 'auc': 0.5, 'roc_curve': {'fpr': [0.0, 0.06666666666666667, 0.06666666666666667, 0.5333333333333333, 0.5333333333333333, 0.6, 0.6, 0.8, 0.8, 1.0], 'tpr': [0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]}}}",mobilenet_v3_small_palpebral,"[0.8414795047400013, 0.8239662426196976, 0.809301049504059, 0.7964662941086371, 0.7818375482464468, 0.7654677803153234, 0.7703053852580241, 0.7574396689996025, 0.7567752832608508, 0.7426462935296115, 0.73529565610633, 0.7389144127732081, 0.7323128541573783, 0.7102265397444466, 0.7119085812410771, 0.7193647117804218, 0.6914936260671805]","[0.821610355015957, 0.8159420490264893, 0.8105519341700005, 0.8047894564541903, 0.7939221226807797, 0.784266856583682, 0.777970734870795, 0.7714179356892904, 0.7670082160920808, 0.7637692978887847, 0.7622624978874669, 0.7620109536431052, 0.7658154819950913, 0.7701807672327216, 0.7762533408222776, 0.7791827935161013, 0.7775990692051974]",COMPLETE
4,0.7,2026-07-19 13:09:14.515089,2026-07-19 13:09:21.619873,0 days 00:00:07.104784,0.006358358856676255,0.000133112160807369,"{'overall': {'n': 33, 'accuracy': 0.6363636363636364, 'precision': 0.5384615384615384, 'recall': 1.0, 'f1': 0.7, 'confusion_matrix': [[7, 12], [0, 14]], 'auc': 0.8421052631578947, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.21052631578947367, 0.21052631578947367, 0.631578947368421, 0.631578947368421, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.21428571428571427, 0.21428571428571427, 0.5714285714285714, 0.5714285714285714, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7857142857142857, 'precision': 0.7692307692307693, 'recall': 1.0, 'f1': 0.8695652173913043, 'confusion_matrix': [[1, 3], [0, 10]], 'auc': 0.825, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.1, 0.5, 0.5, 0.9, 0.9, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.5263157894736842, 'precision': 0.3076923076923077, 'recall': 1.0, 'f1': 0.47058823529411764, 'confusion_matrix': [[6, 9], [0, 4]], 'auc': 0.9166666666666667, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.13333333333333333, 0.13333333333333333, 0.2, 0.2, 1.0], 'tpr': [0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]}}}",mobilenet_v3_small_palpebral,"[0.7444383577005753, 0.6085370084307841, 0.6166474523133789, 0.5697298689393808, 0.5762581122632058, 0.43978144588652035, 0.5755168854795545, 0.5106845044142363, 0.5278040739084711, 0.5460658174082144, 0.5225756160470824, 0.4952404832603126, 0.5438204711636171, 0.46519304999452554, 0.5161216239266048]","[0.8483948129596133, 0.8387577985272263, 0.9054272102587151, 0.8685334740263043, 0.852769111142014, 0.8172372019652164, 0.7892678795438824, 0.76661289099491, 0.6972345059568231, 0.6804318843465863, 0.6891962073066018, 0.704321644522927, 0.7274366797822894, 0.774877970868891, 0.8562061389287313]",COMPLETE
5,0.7368421052631579,2026-07-19 13:09:21.620238,2026-07-19 13:09:35.216382,0 days 00:00:13.596144,0.00011527987128232407,0.0008123245085588687,"{'overall': {'n': 33, 'accuracy': 0.696969696969697, 'precision': 0.5833333333333334, 'recall': 1.0, 'f1': 0.7368421052631579, 'confusion_matrix': [[9, 10], [0, 14]], 'auc': 0.7067669172932332, 'roc_curve': {'fpr': [0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.21052631578947367, 0.3157894736842105, 0.3157894736842105, 0.42105263157894735, 0.42105263157894735, 0.47368421052631576, 0.47368421052631576, 0.5263157894736842, 0.5263157894736842, 1.0], 'tpr': [0.0, 0.0, 0.07142857142857142, 0.07142857142857142, 0.21428571428571427, 0.21428571428571427, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.42857142857142855, 0.6428571428571429, 0.6428571428571429, 0.7857142857142857, 0.7857142857142857, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7857142857142857, 'precision': 0.7692307692307693, 'recall': 1.0, 'f1': 0.8695652173913043, 'confusion_matrix': [[1, 3], [0, 10]], 'auc': 0.6, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.1, 0.2, 0.2, 0.5, 0.5, 0.7, 0.7, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.631578947368421, 'precision': 0.36363636363636365, 'recall': 1.0, 'f1': 0.5333333333333333, 'confusion_matrix': [[8, 7], [0, 4]], 'auc': 0.8666666666666667, 'roc_curve': {'fpr': [0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.2, 0.2, 1.0], 'tpr': [0.0, 0.0, 0.25, 0.25, 0.75, 0.75, 1.0, 1.0]}}}",mobilenet_v3_small_palpebral,"[0.80960362439124, 0.8005343794033227, 0.7846870761833443, 0.7631740755592751, 0.764372659834805, 0.7525088459450677, 0.7638369163140556, 0.749290874462254, 0.7434982606117299, 0.7327230987169885, 0.7231161886493102, 0.7214388669721338, 0.7109556336276579, 0.7156570845881834, 0.7110123650127689, 0.7106314996220419, 0.7016552430114998, 0.699434276842913, 0.717912428031694, 0.6890827843685023, 0.7092400114267867, 0.6831485108034501, 0.675506680611743, 0.680402870604534, 0.6766032059461076, 0.6694490506949015, 0.6788862217341037, 0.7249729968854134, 0.6860721865237154, 0.6428496640249594]","[0.8362657355539727, 0.8266434272130331, 0.8213084267847466, 0.8180012522321759, 0.8124271053256411, 0.8081170212138783, 0.8032827341195309, 0.7992983297868208, 0.7970373287345424, 0.7964630795247627, 0.793241352745981, 0.789623908924334, 0.7874482490799644, 0.783979847575679, 0.7769194714950792, 0.7708986672488126, 0.7657466079249526, 0.7594950560367468, 0.7550206328883315, 0.7519846721128984, 0.7471393509344622, 0.7435847656293348, 0.7397714582356539, 0.7345162422368021, 0.7302212064916437, 0.7249846214597876, 0.7178518591505109, 0.7125569419427351, 0.7072207656773654, 0.7049263607371937]",COMPLETE
6,0.6222222222222222,2026-07-19 13:09:35.216699,2026-07-19 13:09:38.004604,0 days 00:00:02.787905,0.03142880890840111,4.335281794951567e-06,"{'overall': {'n': 33, 'accuracy': 0.48484848484848486, 'precision': 0.45161290322580644, 'recall': 1.0, 'f1': 0.6222222222222222, 'confusion_matrix': [[2, 17], [0, 14]], 'auc': 0.6917293233082707, 'roc_curve': {'fpr': [0.0, 0.05263157894736842, 0.05263157894736842, 0.15789473684210525, 0.15789473684210525, 0.2631578947368421, 0.2631578947368421, 0.47368421052631576, 0.47368421052631576, 0.6842105263157895, 0.6842105263157895, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 1.0], 'tpr': [0.0, 0.0, 0.42857142857142855, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 0.6428571428571429, 0.6428571428571429, 0.7142857142857143, 0.7142857142857143, 0.7857142857142857, 0.7857142857142857, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7857142857142857, 'precision': 0.7692307692307693, 'recall': 1.0, 'f1': 0.8695652173913043, 'confusion_matrix': [[1, 3], [0, 10]], 'auc': 0.6, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.1, 0.2, 0.2, 0.5, 0.5, 0.7, 0.7, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.2631578947368421, 'precision': 0.2222222222222222, 'recall': 1.0, 'f1': 0.36363636363636365, 'confusion_matrix': [[1, 14], [0, 4]], 'auc': 0.9333333333333333, 'roc_curve': {'fpr': [0.0, 0.06666666666666667, 0.06666666666666667, 1.0], 'tpr': [0.0, 0.0, 1.0, 1.0]}}}",mobilenet_v3_small_palpebral,"[0.8621780051300857, 0.7049567995481933, 0.6160994689196151, 0.7541584431730359, 0.7593082138244679, 0.6142256690176907]","[0.8972329334779219, 0.949786820194938, 1.3390830791357793, 1.3238441149393718, 1.0466109694856587, 1.2582199754136982]",COMPLETE
7,0.7142857142857143,2026-07-19 13:09:38.004960,2026-07-19 13:09:51.622896,0 days 00:00:13.617936,0.0003511356313970409,3.549878832196506e-06,"{'overall': {'n': 33, 'accuracy': 0.7575757575757576, 'precision': 0.7142857142857143, 'recall': 0.7142857142857143, 'f1': 0.7142857142857143, 'confusion_matrix': [[15, 4], [4, 10]], 'auc': 0.7669172932330827, 'roc_curve': {'fpr': [0.0, 0.05263157894736842, 0.05263157894736842, 0.15789473684210525, 0.15789473684210525, 0.3684210526315789, 0.3684210526315789, 0.5789473684210527, 0.5789473684210527, 0.6842105263157895, 0.6842105263157895, 1.0], 'tpr': [0.0, 0.0, 0.21428571428571427, 0.21428571428571427, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.6428571428571429, 'precision': 0.8571428571428571, 'recall': 0.6, 'f1': 0.7058823529411765, 'confusion_matrix': [[3, 1], [4, 6]], 'auc': 0.7, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.5, 0.5, 1.0, 1.0], 'tpr': [0.0, 0.1, 0.6, 0.6, 0.8, 0.8, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.8421052631578947, 'precision': 0.5714285714285714, 'recall': 1.0, 'f1': 0.7272727272727273, 'confusion_matrix': [[12, 3], [0, 4]], 'auc': 0.9, 'roc_curve': {'fpr': [0.0, 0.06666666666666667, 0.06666666666666667, 0.2, 0.2, 1.0], 'tpr': [0.0, 0.0, 0.75, 0.75, 1.0, 1.0]}}}",mobilenet_v3_small_palpebral,"[0.7908689636268363, 0.7917749664641374, 0.7777653537838665, 0.736300584101519, 0.7321441734073967, 0.7215275369732586, 0.693553802588128, 0.7060412681655378, 0.6699738936708463, 0.6629335655281875, 0.6785804585905264, 0.6571556503409581, 0.6705159998887422, 0.6393613590309951, 0.6062847056136226, 0.6246065765816644, 0.6026762471293772, 0.6245119275636231, 0.6310397552338657, 0.6067971626654366, 0.6147317657407546, 0.6125500034417538, 0.6176903551777467, 0.6417343261226124, 0.621667812991616, 0.5914880187306183, 0.5901326793708549, 0.6041838803038692, 0.57594424446687, 0.5858793503401295]","[0.8480093352722399, 0.8506079695441506, 0.8456750205068877, 0.8311320814219388, 0.8170794772379326, 0.8023316408648635, 0.7890744949832107, 0.7847738139557116, 0.7828516580841758, 0.7763843933741251, 0.768439890760364, 0.756700008204489, 0.7481755451722578, 0.742142216725783, 0.7344880320809104, 0.7304268967021595, 0.7285840673880144, 0.7289158819299756, 0.7238120111552152, 0.7123046824426362, 0.7030637733864061, 0.6928202238949862, 0.6853960373184897, 0.6797000567118326, 0.6771768602457914, 0.6752342599810977, 0.6737861850044944, 0.675236337112658, 0.6758616620844061, 0.6755172194856586]",COMPLETE
8,0.7777777777777778,2026-07-19 13:09:51.623237,2026-07-19 13:10:00.170510,0 days 00:00:08.547273,0.0008179499475211679,3.752055855124284e-05,"{'overall': {'n': 33, 'accuracy': 0.7575757575757576, 'precision': 0.6363636363636364, 'recall': 1.0, 'f1': 0.7777777777777778, 'confusion_matrix': [[11, 8], [0, 14]], 'auc': 0.7819548872180451, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 0.3684210526315789, 0.3684210526315789, 0.42105263157894735, 0.42105263157894735, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.21428571428571427, 0.21428571428571427, 0.35714285714285715, 0.35714285714285715, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.8571428571428571, 'precision': 0.8333333333333334, 'recall': 1.0, 'f1': 0.9090909090909091, 'confusion_matrix': [[2, 2], [0, 10]], 'auc': 0.725, 'roc_curve': {'fpr': [0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 1.0], 'tpr': [0.0, 0.1, 0.1, 0.8, 0.8, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.6842105263157895, 'precision': 0.4, 'recall': 1.0, 'f1': 0.5714285714285714, 'confusion_matrix': [[9, 6], [0, 4]], 'auc': 0.9333333333333333, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.13333333333333333, 0.13333333333333333, 1.0], 'tpr': [0.0, 0.25, 0.5, 0.5, 1.0, 1.0]}}}",mobilenet_v3_small_palpebral,"[0.7842202676053078, 0.734010926935057, 0.6778941643948586, 0.6877027236862688, 0.6705589941795299, 0.6399732453144149, 0.626858494139665, 0.6042017597236381, 0.6001088828440534, 0.6292882320896679, 0.5747709953232317, 0.608159222744948, 0.5912687525843943, 0.5659875005286261, 0.5909370590519432, 0.560301572676526, 0.58809738621017, 0.5646826988024427]","[0.8058229684829712, 0.8051411906878153, 0.8048292579072894, 0.7890178290280428, 0.7861404491193367, 0.7770021178505637, 0.7673904119115887, 0.7545439041022098, 0.745733683759516, 0.7318514296502778, 0.7166799704233805, 0.6968983393726926, 0.6874669447089686, 0.6893675833037405, 0.7031461650674994, 0.707953666195725, 0.7007176731572007, 0.6980596238916571]",COMPLETE
9,0.7741935483870968,2026-07-19 13:10:00.170775,2026-07-19 13:10:13.790055,0 days 00:00:13.619280,0.0019762189340280074,7.4763120622522945e-06,"{'overall': {'n': 33, 'accuracy': 0.7878787878787878, 'precision': 0.7058823529411765, 'recall': 0.8571428571428571, 'f1': 0.7741935483870968, 'confusion_matrix': [[14, 5], [2, 12]], 'auc': 0.8345864661654135, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 0.5263157894736842, 0.5263157894736842, 0.7368421052631579, 0.7368421052631579, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.5, 0.5, 0.5714285714285714, 0.5714285714285714, 0.6428571428571429, 0.6428571428571429, 0.8571428571428571, 0.8571428571428571, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.8571428571428571, 'precision': 1.0, 'recall': 0.8, 'f1': 0.8888888888888888, 'confusion_matrix': [[4, 0], [2, 8]], 'auc': 0.8250000000000001, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.75, 0.75, 1.0, 1.0], 'tpr': [0.0, 0.1, 0.8, 0.8, 0.9, 0.9, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.7368421052631579, 'precision': 0.4444444444444444, 'recall': 1.0, 'f1': 0.6153846153846154, 'confusion_matrix': [[10, 5], [0, 4]], 'auc': 1.0, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 1.0], 'tpr': [0.0, 0.25, 1.0, 1.0]}}}",mobilenet_v3_small_palpebral,"[0.7579125173833986, 0.6819013893999011, 0.6631292254719513, 0.5870512719975401, 0.60731035826222, 0.5883276798077767, 0.599127769075482, 0.5375581044234977, 0.5587557394378233, 0.5295043587684631, 0.5595167038456493, 0.527838635720954, 0.5040495808156121, 0.474631481612755, 0.4942984830662115, 0.568406036950105, 0.5516999111270273, 0.5296473892911381, 0.5228006042392048, 0.5075944093678961, 0.5238242990133778, 0.515642079296491, 0.4888658657768704, 0.5323097474922408, 0.47489057668786966, 0.5240666704462064, 0.5180795958500035, 0.46738936451097196, 0.4707222505910507, 0.517734578508415]","[0.7750181700244094, 0.7360112089099307, 0.7243128617604574, 0.7223839236028267, 0.7204878655346957, 0.7161069458181207, 0.7065031347852765, 0.7060406135790276, 0.7071584878545819, 0.7013192483873079, 0.6901129628672744, 0.6809518662366, 0.6510224450718273, 0.6445308237364797, 0.6438856413870147, 0.6521907033342303, 0.6511648712736188, 0.6553269480213975, 0.651981942581408, 0.636379088416244, 0.6343967607527068, 0.6252793886444785, 0.6186440442547654, 0.6056898416894855, 0.6121729214986166, 0.6172287933754198, 0.6078152150818796, 0.5891365932695793, 0.6200853188832601, 0.6468124931508844]",COMPLETE
