number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_weight_decay,user_attrs_best_val_metrics,user_attrs_model_name,user_attrs_train_loss_history,user_attrs_val_loss_history,state
0,0.7368421052631579,2026-07-19 13:13:23.453087,2026-07-19 13:13:38.289121,0 days 00:00:14.836034,0.0013292918943162175,0.0007114476009343421,"{'overall': {'n': 31, 'accuracy': 0.6774193548387096, 'precision': 0.5833333333333334, 'recall': 1.0, 'f1': 0.7368421052631579, 'confusion_matrix': [[7, 10], [0, 14]], 'auc': 0.7436974789915967, 'roc_curve': {'fpr': [0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.23529411764705882, 0.23529411764705882, 0.29411764705882354, 0.29411764705882354, 0.35294117647058826, 0.35294117647058826, 0.4117647058823529, 0.4117647058823529, 0.47058823529411764, 0.47058823529411764, 0.5882352941176471, 0.5882352941176471, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.07142857142857142, 0.2857142857142857, 0.2857142857142857, 0.35714285714285715, 0.35714285714285715, 0.5, 0.5, 0.5714285714285714, 0.5714285714285714, 0.7857142857142857, 0.7857142857142857, 0.8571428571428571, 0.8571428571428571, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7857142857142857, 'precision': 0.7692307692307693, 'recall': 1.0, 'f1': 0.8695652173913043, 'confusion_matrix': [[1, 3], [0, 10]], 'auc': 0.44999999999999996, 'roc_curve': {'fpr': [0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.1, 0.1, 0.3, 0.3, 0.4, 0.4, 1.0, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.5882352941176471, 'precision': 0.36363636363636365, 'recall': 1.0, 'f1': 0.5333333333333333, 'confusion_matrix': [[6, 7], [0, 4]], 'auc': 0.9230769230769231, 'roc_curve': {'fpr': [0.0, 0.0, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 1.0], 'tpr': [0.0, 0.25, 0.25, 0.75, 0.75, 1.0, 1.0]}}}",resnet18_forniceal_palpebral,"[0.8895172861968579, 0.8141378046703988, 0.7793036970962472, 0.7384610070663244, 0.7277077436447144, 0.6914976105398062, 0.6840570702844736, 0.6701120843692702, 0.6493222016055568, 0.6336773127114692, 0.5926589568456014, 0.6410231274001452, 0.6022140841905762, 0.5702174127507372, 0.5729780039008783, 0.5793791222734516, 0.5663019138939527, 0.602958463487171, 0.5571381356440434, 0.529415256717578, 0.5716920726153315, 0.5652483563844849, 0.5751100300120658, 0.5423093458422187, 0.54986337617952]","[0.9165521956259205, 0.8265706454553912, 0.8022707027773703, 0.7802270708545562, 0.774693041078506, 0.7583461769165531, 0.7490956475657802, 0.7467814683914185, 0.7417156984729152, 0.7328410360120958, 0.7267880497440216, 0.7338575067058686, 0.7096907727179989, 0.7446813179600623, 0.7085858237358832, 0.6972320272076514, 0.7237613105004833, 0.6927038315803774, 0.7317294343825309, 0.6892040362281184, 0.7292799353599548, 0.7226950430100963, 0.6929618139420787, 0.6904626719413265, 0.7048728062260535]",COMPLETE
1,0.7027027027027027,2026-07-19 13:13:38.289577,2026-07-19 13:13:45.000287,0 days 00:00:06.710710,0.015702970884055395,6.251373574521755e-05,"{'overall': {'n': 31, 'accuracy': 0.6451612903225806, 'precision': 0.5652173913043478, 'recall': 0.9285714285714286, 'f1': 0.7027027027027027, 'confusion_matrix': [[7, 10], [1, 13]], 'auc': 0.7016806722689075, 'roc_curve': {'fpr': [0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.23529411764705882, 0.23529411764705882, 0.4117647058823529, 0.4117647058823529, 0.47058823529411764, 0.47058823529411764, 0.5294117647058824, 0.5294117647058824, 0.7058823529411765, 0.7058823529411765, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.07142857142857142, 0.21428571428571427, 0.21428571428571427, 0.42857142857142855, 0.42857142857142855, 0.5, 0.5, 0.6428571428571429, 0.6428571428571429, 0.8571428571428571, 0.8571428571428571, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7142857142857143, 'precision': 0.75, 'recall': 0.9, 'f1': 0.8181818181818182, 'confusion_matrix': [[1, 3], [1, 9]], 'auc': 0.525, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.75, 0.75, 1.0, 1.0], 'tpr': [0.0, 0.1, 0.4, 0.4, 0.9, 0.9, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.5882352941176471, 'precision': 0.36363636363636365, 'recall': 1.0, 'f1': 0.5333333333333333, 'confusion_matrix': [[6, 7], [0, 4]], 'auc': 0.7884615384615385, 'roc_curve': {'fpr': [0.0, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 0.23076923076923078, 0.23076923076923078, 0.38461538461538464, 0.38461538461538464, 1.0], 'tpr': [0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]}}}",resnet18_forniceal_palpebral,"[2.145953278963258, 1.808305132551258, 0.9542243588132923, 0.7567481411760356, 0.7332537921310283, 0.812123931184107, 0.6777708329716507, 0.5366862318953689, 0.46916113114681374, 0.7441157256664873, 0.4926379919052124, 0.4838784697915421]","[2.4544615476362166, 0.9394637048244476, 1.460751833454255, 0.8837281955826667, 1.1691827812502462, 0.8090961940826908, 0.7227746661632292, 0.739428699016571, 1.0586423931583282, 0.7914569262535341, 0.7331223295580956, 0.8906915149381084]",COMPLETE
2,0.6875,2026-07-19 13:13:45.000634,2026-07-19 13:13:56.871968,0 days 00:00:11.871334,0.00029380279387035364,2.9375384576328313e-06,"{'overall': {'n': 31, 'accuracy': 0.6774193548387096, 'precision': 0.6111111111111112, 'recall': 0.7857142857142857, 'f1': 0.6875, 'confusion_matrix': [[10, 7], [3, 11]], 'auc': 0.6554621848739495, 'roc_curve': {'fpr': [0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.17647058823529413, 0.17647058823529413, 0.23529411764705882, 0.23529411764705882, 0.29411764705882354, 0.29411764705882354, 0.35294117647058826, 0.35294117647058826, 0.4117647058823529, 0.4117647058823529, 0.5294117647058824, 0.5294117647058824, 1.0, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.07142857142857142, 0.2857142857142857, 0.2857142857142857, 0.35714285714285715, 0.35714285714285715, 0.5, 0.5, 0.5714285714285714, 0.5714285714285714, 0.6428571428571429, 0.6428571428571429, 0.7857142857142857, 0.7857142857142857, 0.8571428571428571, 0.8571428571428571, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7857142857142857, 'precision': 1.0, 'recall': 0.7, 'f1': 0.8235294117647058, 'confusion_matrix': [[4, 0], [3, 7]], 'auc': 0.75, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.5, 0.5, 1.0, 1.0], 'tpr': [0.0, 0.1, 0.7, 0.7, 0.8, 0.8, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.5882352941176471, 'precision': 0.36363636363636365, 'recall': 1.0, 'f1': 0.5333333333333333, 'confusion_matrix': [[6, 7], [0, 4]], 'auc': 0.9423076923076924, 'roc_curve': {'fpr': [0.0, 0.0, 0.07692307692307693, 0.07692307692307693, 1.0], 'tpr': [0.0, 0.25, 0.25, 1.0, 1.0]}}}",resnet18_forniceal_palpebral,"[0.8835308876167349, 0.8204913658349693, 0.803041199437615, 0.7967641828011494, 0.7824712939002887, 0.7697156501465103, 0.7547041745412917, 0.7500409816398101, 0.7655018361247315, 0.749630290634778, 0.7427363695741511, 0.7380276557539596, 0.7520350647621414, 0.7437969308321167, 0.734438993492905, 0.7408562168783072, 0.726200033207329, 0.7143839686906257, 0.7329518859889231, 0.7225785206775276, 0.7001526866640363]","[0.7967112468134973, 0.8227548157015154, 0.7959564443557493, 0.7810448369672222, 0.7890091346156213, 0.7742245870251809, 0.7785366773605347, 0.7845442775757082, 0.7858950245764947, 0.7730068660551502, 0.7694812705439906, 0.7935786708708732, 0.7802448484205431, 0.7922066680846676, 0.7643438981425378, 0.7552106745781437, 0.772132896607922, 0.7715518916806867, 0.7701920732375114, 0.7946858175339238, 0.7619627195019876]",COMPLETE
3,0.5925925925925926,2026-07-19 13:13:56.872329,2026-07-19 13:14:00.494569,0 days 00:00:03.622240,0.00014936568554617635,0.0003967605077052988,"{'overall': {'n': 31, 'accuracy': 0.6451612903225806, 'precision': 0.6153846153846154, 'recall': 0.5714285714285714, 'f1': 0.5925925925925926, 'confusion_matrix': [[12, 5], [6, 8]], 'auc': 0.588235294117647, 'roc_curve': {'fpr': [0.0, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.17647058823529413, 0.17647058823529413, 0.23529411764705882, 0.23529411764705882, 0.29411764705882354, 0.29411764705882354, 0.47058823529411764, 0.47058823529411764, 0.5294117647058824, 0.5294117647058824, 0.6470588235294118, 0.6470588235294118, 0.7058823529411765, 0.7058823529411765, 0.8235294117647058, 0.8235294117647058, 1.0], 'tpr': [0.0, 0.0, 0.0, 0.07142857142857142, 0.07142857142857142, 0.14285714285714285, 0.14285714285714285, 0.5, 0.5, 0.5714285714285714, 0.5714285714285714, 0.6428571428571429, 0.6428571428571429, 0.7142857142857143, 0.7142857142857143, 0.7857142857142857, 0.7857142857142857, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.5, 'precision': 0.7142857142857143, 'recall': 0.5, 'f1': 0.5882352941176471, 'confusion_matrix': [[2, 2], [5, 5]], 'auc': 0.475, 'roc_curve': {'fpr': [0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.0, 0.4, 0.4, 0.5, 0.5, 1.0, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.7647058823529411, 'precision': 0.5, 'recall': 0.75, 'f1': 0.6, 'confusion_matrix': [[10, 3], [1, 3]], 'auc': 0.7115384615384616, 'roc_curve': {'fpr': [0.0, 0.07692307692307693, 0.07692307692307693, 0.23076923076923078, 0.23076923076923078, 0.6153846153846154, 0.6153846153846154, 1.0], 'tpr': [0.0, 0.0, 0.25, 0.25, 0.75, 0.75, 1.0, 1.0]}}}",resnet18_forniceal_palpebral,"[0.8382548774991717, 0.8007283745979776, 0.809666552916676, 0.8083309113573866, 0.7856891098476592, 0.7988633983800201]","[0.8066221225646234, 0.8331742248227519, 0.8471216232545914, 0.8333013769119016, 0.8150140258573717, 0.8118800290169255]",COMPLETE
4,0.7222222222222222,2026-07-19 13:14:00.494887,2026-07-19 13:14:07.859528,0 days 00:00:07.364641,0.006358358856676255,0.000133112160807369,"{'overall': {'n': 31, 'accuracy': 0.6774193548387096, 'precision': 0.5909090909090909, 'recall': 0.9285714285714286, 'f1': 0.7222222222222222, 'confusion_matrix': [[8, 9], [1, 13]], 'auc': 0.6974789915966386, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.17647058823529413, 0.17647058823529413, 0.35294117647058826, 0.35294117647058826, 0.4117647058823529, 0.4117647058823529, 0.47058823529411764, 0.47058823529411764, 0.5294117647058824, 0.5294117647058824, 0.7647058823529411, 0.7647058823529411, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.14285714285714285, 0.14285714285714285, 0.21428571428571427, 0.21428571428571427, 0.5, 0.5, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.7857142857142857, 0.7857142857142857, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7142857142857143, 'precision': 0.75, 'recall': 0.9, 'f1': 0.8181818181818182, 'confusion_matrix': [[1, 3], [1, 9]], 'auc': 0.525, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0], 'tpr': [0.0, 0.1, 0.3, 0.3, 0.6, 0.6, 0.9, 0.9, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.6470588235294118, 'precision': 0.4, 'recall': 1.0, 'f1': 0.5714285714285714, 'confusion_matrix': [[7, 6], [0, 4]], 'auc': 0.8653846153846153, 'roc_curve': {'fpr': [0.0, 0.0, 0.07692307692307693, 0.07692307692307693, 0.23076923076923078, 0.23076923076923078, 1.0], 'tpr': [0.0, 0.25, 0.25, 0.5, 0.5, 1.0, 1.0]}}}",resnet18_forniceal_palpebral,"[0.9708117489912071, 0.7288083373283853, 0.6694107671984199, 0.6681853321944775, 0.574126504919156, 0.5531875880397096, 0.5069499960561998, 0.5123431398755028, 0.5229508686227863, 0.5464050112938394, 0.4927424062676981, 0.584990592229934, 0.5267410704067775]","[0.8970101494942943, 0.8005230619061378, 0.7641654629861155, 0.7392299732854289, 0.8706393607201115, 0.7294111347967579, 0.8196266062798039, 0.7133867067675437, 0.7516612506681873, 0.7702627412734493, 0.8332494593435719, 0.718018913461316, 0.7500660890533078]",COMPLETE
5,0.6666666666666666,2026-07-19 13:14:07.859827,2026-07-19 13:14:17.534366,0 days 00:00:09.674539,0.00011527987128232407,0.0008123245085588687,"{'overall': {'n': 31, 'accuracy': 0.6451612903225806, 'precision': 0.5789473684210527, 'recall': 0.7857142857142857, 'f1': 0.6666666666666666, 'confusion_matrix': [[9, 8], [3, 11]], 'auc': 0.680672268907563, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.23529411764705882, 0.23529411764705882, 0.29411764705882354, 0.29411764705882354, 0.35294117647058826, 0.35294117647058826, 0.4117647058823529, 0.4117647058823529, 0.5882352941176471, 0.5882352941176471, 0.8823529411764706, 0.8823529411764706, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.42857142857142855, 0.6428571428571429, 0.6428571428571429, 0.7142857142857143, 0.7142857142857143, 0.7857142857142857, 0.7857142857142857, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.6428571428571429, 'precision': 0.7777777777777778, 'recall': 0.7, 'f1': 0.7368421052631579, 'confusion_matrix': [[2, 2], [3, 7]], 'auc': 0.575, 'roc_curve': {'fpr': [0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.1, 0.1, 0.5, 0.5, 0.7, 0.7, 1.0, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.6470588235294118, 'precision': 0.4, 'recall': 1.0, 'f1': 0.5714285714285714, 'confusion_matrix': [[7, 6], [0, 4]], 'auc': 0.9423076923076923, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.23076923076923078, 0.23076923076923078, 1.0], 'tpr': [0.0, 0.25, 0.75, 0.75, 1.0, 1.0]}}}",resnet18_forniceal_palpebral,"[0.8233785848228299, 0.8290311840115762, 0.8187916416700195, 0.8052689396605199, 0.8167126040880371, 0.7829118788647814, 0.7892364778486239, 0.781902949826247, 0.7764435321295342, 0.7888004414889277, 0.7798764369114727, 0.7688460548718771, 0.78596561984951, 0.7800900133288636, 0.7886629307351145, 0.7705761291542832, 0.7638953693059026]","[0.8346073800517667, 0.8163901605913716, 0.7851959428479595, 0.7799494593374191, 0.768800018295165, 0.7705158937361932, 0.7710177783043154, 0.7711455379762957, 0.7651263494645396, 0.7601857800637523, 0.7608199888660062, 0.7579935173834523, 0.7595059237172527, 0.761456464567492, 0.759253696087868, 0.7601914848050764, 0.7585615438799704]",COMPLETE
6,0.6842105263157895,2026-07-19 13:14:17.534658,2026-07-19 13:14:21.586109,0 days 00:00:04.051451,0.03142880890840111,4.335281794951567e-06,"{'overall': {'n': 31, 'accuracy': 0.6129032258064516, 'precision': 0.5416666666666666, 'recall': 0.9285714285714286, 'f1': 0.6842105263157895, 'confusion_matrix': [[6, 11], [1, 13]], 'auc': 0.7142857142857142, 'roc_curve': {'fpr': [0.0, 0.0, 0.11764705882352941, 0.11764705882352941, 0.17647058823529413, 0.17647058823529413, 0.23529411764705882, 0.23529411764705882, 0.29411764705882354, 0.29411764705882354, 0.35294117647058826, 0.35294117647058826, 0.5294117647058824, 0.5294117647058824, 0.7647058823529411, 0.7647058823529411, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.07142857142857142, 0.21428571428571427, 0.21428571428571427, 0.42857142857142855, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.7857142857142857, 0.7857142857142857, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.6428571428571429, 'precision': 0.6923076923076923, 'recall': 0.9, 'f1': 0.782608695652174, 'confusion_matrix': [[0, 4], [1, 9]], 'auc': 0.5249999999999999, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 1.0, 1.0], 'tpr': [0.0, 0.1, 0.3, 0.3, 0.4, 0.4, 0.7, 0.7, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.5882352941176471, 'precision': 0.36363636363636365, 'recall': 1.0, 'f1': 0.5333333333333333, 'confusion_matrix': [[6, 7], [0, 4]], 'auc': 0.8076923076923076, 'roc_curve': {'fpr': [0.0, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 0.23076923076923078, 0.23076923076923078, 1.0], 'tpr': [0.0, 0.0, 0.0, 0.5, 0.5, 1.0, 1.0]}}}",resnet18_forniceal_palpebral,"[1.6575113348409432, 0.9104484206154233, 0.6736086878646799, 0.6326171492232757, 0.7962870700221484, 0.7634713455122344, 0.5862469912386264]","[0.748843741032385, 0.7406748975476911, 1.0038448572158813, 2.0218139925310687, 1.2074329276238718, 1.0050049770262934, 1.911245176869054]",COMPLETE
7,0.6666666666666666,2026-07-19 13:14:21.586383,2026-07-19 13:14:37.630098,0 days 00:00:16.043715,0.0003511356313970409,3.549878832196506e-06,"{'overall': {'n': 31, 'accuracy': 0.6129032258064516, 'precision': 0.5454545454545454, 'recall': 0.8571428571428571, 'f1': 0.6666666666666666, 'confusion_matrix': [[7, 10], [2, 12]], 'auc': 0.6428571428571429, 'roc_curve': {'fpr': [0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.17647058823529413, 0.17647058823529413, 0.29411764705882354, 0.29411764705882354, 0.4117647058823529, 0.4117647058823529, 0.47058823529411764, 0.47058823529411764, 0.5882352941176471, 0.5882352941176471, 0.9411764705882353, 0.9411764705882353, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.07142857142857142, 0.14285714285714285, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 0.5, 0.5, 0.5714285714285714, 0.5714285714285714, 0.7857142857142857, 0.7857142857142857, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.6428571428571429, 'precision': 0.7272727272727273, 'recall': 0.8, 'f1': 0.7619047619047619, 'confusion_matrix': [[1, 3], [2, 8]], 'auc': 0.55, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0], 'tpr': [0.0, 0.1, 0.3, 0.3, 0.7, 0.7, 0.9, 0.9, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.5882352941176471, 'precision': 0.36363636363636365, 'recall': 1.0, 'f1': 0.5333333333333333, 'confusion_matrix': [[6, 7], [0, 4]], 'auc': 0.8653846153846153, 'roc_curve': {'fpr': [0.0, 0.0, 0.07692307692307693, 0.07692307692307693, 0.23076923076923078, 0.23076923076923078, 1.0], 'tpr': [0.0, 0.25, 0.25, 0.5, 0.5, 1.0, 1.0]}}}",resnet18_forniceal_palpebral,"[0.8431000502742066, 0.8465059995651245, 0.8320194142205375, 0.786656282791475, 0.7851376768683089, 0.7647803660963668, 0.7712659114072112, 0.7607342438632939, 0.7453556004024687, 0.7579102037715263, 0.7272157952899024, 0.7343759212364145, 0.7254186941652881, 0.7283393679832926, 0.7133330816314334, 0.7173682508014497, 0.7175599437992589, 0.7062955072947911, 0.6829360346404874, 0.6795848016025258, 0.6983151808887923, 0.6961094424838111, 0.6648751099904379, 0.6497002430513602, 0.6553311437165656, 0.6638975224527371, 0.6584838284116213, 0.6629258580759269, 0.6374829666955131, 0.6450161447330397]","[0.8305025254526446, 0.7982085539448646, 0.7808923913586524, 0.7948423643266002, 0.7778143805842246, 0.7770210889077955, 0.771819656895053, 0.7794647697479494, 0.7743453075808864, 0.7754521889071311, 0.7705692398932672, 0.7700957732815896, 0.767222325648031, 0.7739204649002321, 0.7688478827476501, 0.7757722331631568, 0.7700705643623106, 0.764603111051744, 0.7602422602715031, 0.7584845923608349, 0.7574919942886599, 0.7595876089988216, 0.7518098661976476, 0.7431546757298131, 0.7466836014101582, 0.7351984150948063, 0.7508435537738185, 0.7468832058291281, 0.7423363462571175, 0.7325646415833504]",COMPLETE
8,0.6666666666666666,2026-07-19 13:14:37.630471,2026-07-19 13:14:43.303956,0 days 00:00:05.673485,0.0008179499475211679,3.752055855124284e-05,"{'overall': {'n': 31, 'accuracy': 0.5806451612903226, 'precision': 0.52, 'recall': 0.9285714285714286, 'f1': 0.6666666666666666, 'confusion_matrix': [[5, 12], [1, 13]], 'auc': 0.5840336134453781, 'roc_curve': {'fpr': [0.0, 0.058823529411764705, 0.058823529411764705, 0.29411764705882354, 0.29411764705882354, 0.35294117647058826, 0.35294117647058826, 0.4117647058823529, 0.4117647058823529, 0.47058823529411764, 0.47058823529411764, 0.5294117647058824, 0.5294117647058824, 0.7058823529411765, 0.7058823529411765, 1.0], 'tpr': [0.0, 0.0, 0.07142857142857142, 0.07142857142857142, 0.14285714285714285, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.6428571428571429, 'precision': 0.6923076923076923, 'recall': 0.9, 'f1': 0.782608695652174, 'confusion_matrix': [[0, 4], [1, 9]], 'auc': 0.3, 'roc_curve': {'fpr': [0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0], 'tpr': [0.0, 0.0, 0.0, 0.3, 0.3, 0.9, 0.9, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.5294117647058824, 'precision': 0.3333333333333333, 'recall': 1.0, 'f1': 0.5, 'confusion_matrix': [[5, 8], [0, 4]], 'auc': 0.75, 'roc_curve': {'fpr': [0.0, 0.07692307692307693, 0.07692307692307693, 0.3076923076923077, 0.3076923076923077, 1.0], 'tpr': [0.0, 0.0, 0.25, 0.25, 1.0, 1.0]}}}",resnet18_forniceal_palpebral,"[0.7751504097666059, 0.775233006801735, 0.7242712715045124, 0.7283375555155228, 0.7512379085936514, 0.7002550055380581, 0.6899264442677401, 0.6956098598687828, 0.7090490529326354, 0.6735412295983763]","[0.7868188485022514, 0.811534252858931, 0.7989652003011396, 0.8053464197343395, 0.78481311375095, 0.7907160059098275, 0.7948239003458331, 0.8017219708811852, 0.7937116084560272, 0.7879569242077489]",COMPLETE
9,0.7272727272727273,2026-07-19 13:14:43.304337,2026-07-19 13:14:56.065589,0 days 00:00:12.761252,0.0019762189340280074,7.4763120622522945e-06,"{'overall': {'n': 31, 'accuracy': 0.7096774193548387, 'precision': 0.631578947368421, 'recall': 0.8571428571428571, 'f1': 0.7272727272727273, 'confusion_matrix': [[10, 7], [2, 12]], 'auc': 0.7184873949579832, 'roc_curve': {'fpr': [0.0, 0.0, 0.058823529411764705, 0.058823529411764705, 0.11764705882352941, 0.11764705882352941, 0.17647058823529413, 0.17647058823529413, 0.23529411764705882, 0.23529411764705882, 0.35294117647058826, 0.35294117647058826, 0.4117647058823529, 0.4117647058823529, 0.5294117647058824, 0.5294117647058824, 0.6470588235294118, 0.6470588235294118, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.07142857142857142, 0.14285714285714285, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.42857142857142855, 0.5, 0.5, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.6428571428571429, 'precision': 0.7272727272727273, 'recall': 0.8, 'f1': 0.7619047619047619, 'confusion_matrix': [[1, 3], [2, 8]], 'auc': 0.425, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.75, 0.75, 1.0, 1.0], 'tpr': [0.0, 0.1, 0.2, 0.2, 0.3, 0.3, 0.9, 0.9, 1.0]}}, 'Italy': {'n': 17, 'accuracy': 0.7647058823529411, 'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'confusion_matrix': [[9, 4], [0, 4]], 'auc': 0.846153846153846, 'roc_curve': {'fpr': [0.0, 0.07692307692307693, 0.07692307692307693, 0.15384615384615385, 0.15384615384615385, 0.23076923076923078, 0.23076923076923078, 1.0], 'tpr': [0.0, 0.0, 0.25, 0.25, 0.75, 0.75, 1.0, 1.0]}}}",resnet18_forniceal_palpebral,"[0.8473849831795206, 0.7395976035773348, 0.7492176825497426, 0.7728016116992146, 0.6845353606606828, 0.7446839712104019, 0.6465948163246622, 0.6144282809731101, 0.6153564570712394, 0.5883464967312456, 0.6265373704384785, 0.5785401017487455, 0.6339431396957969, 0.5835820598667171, 0.5605350067826356, 0.5822748781061496, 0.6029072152514036, 0.5260642616927218, 0.5265144411803914, 0.5234636554912645, 0.5187841661933328, 0.48689027384024897, 0.5528579374559882]","[0.772700886572561, 0.765498536248361, 0.7846616122030443, 0.7521727585023449, 0.7653190109037584, 0.7475925030246857, 0.7592861210146258, 0.7562207098930113, 0.729032035796873, 0.726622998714447, 0.738978507057313, 0.727298621208437, 0.7232342919995708, 0.7252258312317633, 0.7550685194230848, 0.7423328988013729, 0.7294319483541674, 0.7138003226249449, 0.7379615768309562, 0.7142237021077064, 0.728212543072239, 0.7279086593658693, 0.7234659310310118]",COMPLETE
