number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_weight_decay,user_attrs_best_val_metrics,user_attrs_model_name,user_attrs_train_loss_history,user_attrs_val_loss_history,state
0,0.8484848484848485,2026-07-19 13:06:05.138897,2026-07-19 13:06:22.920256,0 days 00:00:17.781359,0.0013292918943162175,0.0007114476009343421,"{'overall': {'n': 33, 'accuracy': 0.8484848484848485, 'precision': 0.7368421052631579, 'recall': 1.0, 'f1': 0.8484848484848485, 'confusion_matrix': [[14, 5], [0, 14]], 'auc': 0.8345864661654137, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.21428571428571427, 0.21428571428571427, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.42857142857142855, 0.5, 0.5, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.8571428571428571, 'precision': 0.8333333333333334, 'recall': 1.0, 'f1': 0.9090909090909091, 'confusion_matrix': [[2, 2], [0, 10]], 'auc': 0.6, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.5, 0.5, 1.0], 'tpr': [0.0, 0.1, 0.2, 0.2, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.8421052631578947, 'precision': 0.5714285714285714, 'recall': 1.0, 'f1': 0.7272727272727273, 'confusion_matrix': [[12, 3], [0, 4]], 'auc': 0.9666666666666667, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.13333333333333333, 0.13333333333333333, 1.0], 'tpr': [0.0, 0.25, 0.75, 0.75, 1.0, 1.0]}}}",resnet18_palpebral,"[0.8118915048656085, 0.7446846377770633, 0.7093576477063412, 0.6718121242049514, 0.6543531070481863, 0.6500237520956835, 0.6277923785298076, 0.6525353828802803, 0.640617686786399, 0.6065974653951379, 0.6241571056527018, 0.5516768188666035, 0.5488782904005998, 0.5728226398790119, 0.5694584964916406, 0.5020007720056748, 0.5252367672541284, 0.5191965193937946, 0.5460943550068811, 0.5135493882444521, 0.605043322045282, 0.5814809392619606, 0.47637601621103604, 0.5427553689242989, 0.5145328794883577, 0.524836149140699, 0.4972839430467972]","[0.8530458681511156, 0.7632022789030364, 0.7113648508534287, 0.7040408506537928, 0.649520684372295, 0.6612621310985449, 0.624578878735051, 0.5971101992058031, 0.6188518874572985, 0.606255621621103, 0.5967953205108643, 0.5806451512105537, 0.6044790383541223, 0.5710465293942075, 0.5961058103676998, 0.5874925635077737, 0.5659701788064205, 0.564886010054386, 0.5882244579719774, 0.5929158492521807, 0.5484590277527318, 0.5218012260668206, 0.5840944557478933, 0.5252132777011755, 0.5700895930781509, 0.5372044642766317, 0.5578971920591412]",COMPLETE
1,0.7567567567567568,2026-07-19 13:06:22.920660,2026-07-19 13:06:28.080661,0 days 00:00:05.160001,0.015702970884055395,6.251373574521755e-05,"{'overall': {'n': 33, 'accuracy': 0.7272727272727273, 'precision': 0.6086956521739131, 'recall': 1.0, 'f1': 0.7567567567567568, 'confusion_matrix': [[10, 9], [0, 14]], 'auc': 0.8045112781954886, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 0.3684210526315789, 0.3684210526315789, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.2857142857142857, 0.2857142857142857, 0.35714285714285715, 0.35714285714285715, 0.5714285714285714, 0.5714285714285714, 0.6428571428571429, 0.6428571428571429, 0.7857142857142857, 0.7857142857142857, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7857142857142857, 'precision': 0.7692307692307693, 'recall': 1.0, 'f1': 0.8695652173913043, 'confusion_matrix': [[1, 3], [0, 10]], 'auc': 0.55, 'roc_curve': {'fpr': [0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.1, 0.1, 0.4, 0.4, 0.7, 0.7, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.6842105263157895, 'precision': 0.4, 'recall': 1.0, 'f1': 0.5714285714285714, 'confusion_matrix': [[9, 6], [0, 4]], 'auc': 1.0, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 1.0], 'tpr': [0.0, 0.25, 1.0, 1.0]}}}",resnet18_palpebral,"[1.2002825397529349, 0.5251499497337847, 0.8658685621046862, 0.7657702904663338, 0.6608832099579818, 0.5407628645960069, 0.5691154508401226, 0.6640511143286496, 0.7642925709288642]","[0.807690031600721, 0.7447671095530192, 0.7883396184805668, 0.6001428546327533, 0.6615469961455374, 0.6674011259367971, 0.6126333149996671, 0.6933310104138923, 0.6602104577151212]",COMPLETE
2,0.7878787878787878,2026-07-19 13:06:28.081053,2026-07-19 13:06:45.353894,0 days 00:00:17.272841,0.00029380279387035364,2.9375384576328313e-06,"{'overall': {'n': 33, 'accuracy': 0.7878787878787878, 'precision': 0.6842105263157895, 'recall': 0.9285714285714286, 'f1': 0.7878787878787878, 'confusion_matrix': [[13, 6], [1, 13]], 'auc': 0.793233082706767, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 0.47368421052631576, 0.47368421052631576, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.21428571428571427, 0.21428571428571427, 0.2857142857142857, 0.2857142857142857, 0.5714285714285714, 0.5714285714285714, 0.7142857142857143, 0.7142857142857143, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7857142857142857, 'precision': 0.8181818181818182, 'recall': 0.9, 'f1': 0.8571428571428571, 'confusion_matrix': [[2, 2], [1, 9]], 'auc': 0.575, 'roc_curve': {'fpr': [0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.0, 0.4, 0.4, 0.9, 0.9, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.7894736842105263, 'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'confusion_matrix': [[11, 4], [0, 4]], 'auc': 0.9666666666666667, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.13333333333333333, 0.13333333333333333, 1.0], 'tpr': [0.0, 0.25, 0.75, 0.75, 1.0, 1.0]}}}",resnet18_palpebral,"[0.8244752299706668, 0.8162686603748246, 0.7961182831138964, 0.7750480182912965, 0.7683004804004897, 0.7447326822786142, 0.7346443727316446, 0.7238420405924715, 0.7009602177222043, 0.7142631356289845, 0.7004834776682569, 0.7078131662299302, 0.6797287997031054, 0.7079228932494359, 0.674443725323835, 0.6698047408204995, 0.6490925810984428, 0.6507248558745479, 0.6350550793654082, 0.632384438388395, 0.612339438586835, 0.6400104386127548, 0.6188142023339177, 0.6337650765646372, 0.6369601519692023, 0.6128407681225151, 0.6402894813098655, 0.6297527291127388, 0.6044493019580841, 0.5942298912054655]","[0.7787073236523252, 0.7744693087809014, 0.7992737600297639, 0.7828049840349139, 0.7737774794751947, 0.7655328313509623, 0.7516483899318811, 0.7442018516135939, 0.7453287189657037, 0.7271283070246378, 0.7241749980232932, 0.7130479848746097, 0.7093262618238275, 0.700920025507609, 0.6906174963170831, 0.691778527064757, 0.6874366908362417, 0.6817363319974957, 0.6759268641471863, 0.6667476242238825, 0.6693740487098694, 0.6670160546447291, 0.6573585633075598, 0.6416422489917639, 0.6420938878348379, 0.6509510314825809, 0.647152608091181, 0.639328122138977, 0.6427828705672062, 0.6346229621858308]",COMPLETE
3,0.6896551724137931,2026-07-19 13:06:45.354262,2026-07-19 13:07:02.529891,0 days 00:00:17.175629,0.00014936568554617635,0.0003967605077052988,"{'overall': {'n': 33, 'accuracy': 0.7272727272727273, 'precision': 0.6666666666666666, 'recall': 0.7142857142857143, 'f1': 0.6896551724137931, 'confusion_matrix': [[14, 5], [4, 10]], 'auc': 0.7556390977443609, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.10526315789473684, 0.10526315789473684, 0.2631578947368421, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 0.3684210526315789, 0.3684210526315789, 0.6842105263157895, 0.6842105263157895, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.14285714285714285, 0.14285714285714285, 0.21428571428571427, 0.21428571428571427, 0.2857142857142857, 0.2857142857142857, 0.7142857142857143, 0.7142857142857143, 0.8571428571428571, 0.8571428571428571, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.5714285714285714, 'precision': 0.75, 'recall': 0.6, 'f1': 0.6666666666666666, 'confusion_matrix': [[2, 2], [4, 6]], 'auc': 0.475, 'roc_curve': {'fpr': [0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.0, 0.0, 0.9, 0.9, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.8421052631578947, 'precision': 0.5714285714285714, 'recall': 1.0, 'f1': 0.7272727272727273, 'confusion_matrix': [[12, 3], [0, 4]], 'auc': 0.9500000000000001, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 1.0], 'tpr': [0.0, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0, 1.0]}}}",resnet18_palpebral,"[0.8368620256714473, 0.8360776624932195, 0.7952371034401142, 0.8064704170290208, 0.7861863157607072, 0.7946740195451193, 0.7741392724561376, 0.7878338544574005, 0.7755253607074156, 0.7533530458709262, 0.7556681936939821, 0.7542164045453861, 0.7560284489037975, 0.7485066115461438, 0.7425828303722356, 0.7361440011207631, 0.7359198927879333, 0.7234053390705033, 0.7270883917808533, 0.7099265771985843, 0.7076977566378007, 0.7077154754013415, 0.714270382527484, 0.7042503072726016, 0.6831421125803562, 0.7098214424998555, 0.6923923500326296, 0.6819083153806775, 0.6730406442225374, 0.6692816255897875]","[0.8065688899069121, 0.8051177046515725, 0.8047682064952273, 0.8088802279848041, 0.8061120004364939, 0.7975352821928082, 0.7957395586100492, 0.7922242988239635, 0.797951492396268, 0.7877707734252467, 0.785159251906655, 0.7974239696155895, 0.7876517158566099, 0.7606954719081069, 0.7694162329037985, 0.7524281695033564, 0.7637003804698135, 0.7611901832349373, 0.7509565199866439, 0.7513331174850464, 0.7522856665380073, 0.7506917967940822, 0.742088642987338, 0.7380418795527834, 0.7349011049126134, 0.7318569746884432, 0.7263762589656946, 0.7230156497521834, 0.72113565603892, 0.7208866422826593]",COMPLETE
4,0.8125,2026-07-19 13:07:02.530210,2026-07-19 13:07:10.596022,0 days 00:00:08.065812,0.006358358856676255,0.000133112160807369,"{'overall': {'n': 33, 'accuracy': 0.8181818181818182, 'precision': 0.7222222222222222, 'recall': 0.9285714285714286, 'f1': 0.8125, 'confusion_matrix': [[14, 5], [1, 13]], 'auc': 0.8421052631578948, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.2857142857142857, 0.2857142857142857, 0.35714285714285715, 0.35714285714285715, 0.6428571428571429, 0.6428571428571429, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7857142857142857, 'precision': 0.8181818181818182, 'recall': 0.9, 'f1': 0.8571428571428571, 'confusion_matrix': [[2, 2], [1, 9]], 'auc': 0.65, 'roc_curve': {'fpr': [0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 1.0], 'tpr': [0.0, 0.1, 0.1, 0.5, 0.5, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.8421052631578947, 'precision': 0.5714285714285714, 'recall': 1.0, 'f1': 0.7272727272727273, 'confusion_matrix': [[12, 3], [0, 4]], 'auc': 0.9833333333333334, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 1.0], 'tpr': [0.0, 0.25, 0.75, 0.75, 1.0, 1.0]}}}",resnet18_palpebral,"[0.9491759112339146, 0.6355674779967756, 0.6456864290679527, 0.6371501621031603, 0.7407165067085367, 0.7499226071187203, 0.5914613045998757, 0.5501246499699473, 0.530130860426568, 0.5288441106183639, 0.5323856425601126, 0.5029832677335928, 0.5685248112441689, 0.48876777824187123]","[0.7856156338344921, 0.725020377924948, 0.7421014923037905, 0.8376635493654193, 0.7087389844836611, 0.7832186330448497, 0.5903010657339385, 0.5149521321961374, 0.5130413590055524, 0.614342931545142, 0.525025057070183, 0.5384690255829783, 0.5138603340495717, 0.5919568719285907]",COMPLETE
5,0.5909090909090909,2026-07-19 13:07:10.596386,2026-07-19 13:07:14.686656,0 days 00:00:04.090270,0.00011527987128232407,0.0008123245085588687,"{'overall': {'n': 33, 'accuracy': 0.45454545454545453, 'precision': 0.43333333333333335, 'recall': 0.9285714285714286, 'f1': 0.5909090909090909, 'confusion_matrix': [[2, 17], [1, 13]], 'auc': 0.5225563909774437, 'roc_curve': {'fpr': [0.0, 0.0, 0.15789473684210525, 0.15789473684210525, 0.2631578947368421, 0.2631578947368421, 0.3684210526315789, 0.3684210526315789, 0.5263157894736842, 0.5263157894736842, 0.631578947368421, 0.631578947368421, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.9473684210526315, 0.9473684210526315, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.07142857142857142, 0.2857142857142857, 0.2857142857142857, 0.35714285714285715, 0.35714285714285715, 0.5, 0.5, 0.5714285714285714, 0.5714285714285714, 0.6428571428571429, 0.6428571428571429, 0.7142857142857143, 0.7142857142857143, 0.9285714285714286, 0.9285714285714286, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7857142857142857, 'precision': 0.8181818181818182, 'recall': 0.9, 'f1': 0.8571428571428571, 'confusion_matrix': [[2, 2], [1, 9]], 'auc': 0.725, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.1, 0.4, 0.4, 0.6, 0.6, 0.9, 0.9, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.21052631578947367, 'precision': 0.21052631578947367, 'recall': 1.0, 'f1': 0.34782608695652173, 'confusion_matrix': [[0, 15], [0, 4]], 'auc': 0.6333333333333333, 'roc_curve': {'fpr': [0.0, 0.06666666666666667, 0.2, 0.2, 0.8666666666666667, 0.8666666666666667, 1.0], 'tpr': [0.0, 0.0, 0.0, 0.75, 0.75, 1.0, 1.0]}}}",resnet18_palpebral,"[0.8820141609141369, 0.8293377228130568, 0.8262487053871155, 0.8536060989297778, 0.8215965375995005, 0.8279812063602422, 0.7938200112999669]","[0.8212525049845377, 0.8200591892907114, 0.8493457075321313, 0.8612965074452487, 0.8499723419998632, 0.8515876603849006, 0.8364401658376058]",COMPLETE
6,0.7741935483870968,2026-07-19 13:07:14.687110,2026-07-19 13:07:19.495117,0 days 00:00:04.808007,0.03142880890840111,4.335281794951567e-06,"{'overall': {'n': 33, 'accuracy': 0.7878787878787878, 'precision': 0.7058823529411765, 'recall': 0.8571428571428571, 'f1': 0.7741935483870968, 'confusion_matrix': [[14, 5], [2, 12]], 'auc': 0.8421052631578947, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.05263157894736842, 0.05263157894736842, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.42857142857142855, 0.5714285714285714, 0.5714285714285714, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7142857142857143, 'precision': 0.8, 'recall': 0.8, 'f1': 0.8, 'confusion_matrix': [[2, 2], [2, 8]], 'auc': 0.65, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 1.0], 'tpr': [0.0, 0.1, 0.2, 0.2, 0.4, 0.4, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.8421052631578947, 'precision': 0.5714285714285714, 'recall': 1.0, 'f1': 0.7272727272727273, 'confusion_matrix': [[12, 3], [0, 4]], 'auc': 0.9666666666666667, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.06666666666666667, 0.06666666666666667, 1.0], 'tpr': [0.0, 0.25, 0.5, 0.5, 1.0, 1.0]}}}",resnet18_palpebral,"[2.2448583367644557, 0.8151700417727035, 0.5403190156481913, 1.0599951988813894, 0.9033857733998077, 1.0123939466792227, 0.8330666201793595, 0.7703920515957258]","[1.2857487562930945, 0.7449865557930686, 0.5408323678103361, 0.5888847654516046, 1.732572185270714, 0.9544283404494777, 0.6826295491420862, 0.9991454211148348]",COMPLETE
7,0.7741935483870968,2026-07-19 13:07:19.495445,2026-07-19 13:07:35.890951,0 days 00:00:16.395506,0.0003511356313970409,3.549878832196506e-06,"{'overall': {'n': 33, 'accuracy': 0.7878787878787878, 'precision': 0.7058823529411765, 'recall': 0.8571428571428571, 'f1': 0.7741935483870968, 'confusion_matrix': [[14, 5], [2, 12]], 'auc': 0.8233082706766918, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 0.47368421052631576, 0.47368421052631576, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.42857142857142855, 0.7857142857142857, 0.7857142857142857, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7142857142857143, 'precision': 0.8, 'recall': 0.8, 'f1': 0.8, 'confusion_matrix': [[2, 2], [2, 8]], 'auc': 0.675, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.1, 0.2, 0.2, 0.7, 0.7, 0.8, 0.8, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.8421052631578947, 'precision': 0.5714285714285714, 'recall': 1.0, 'f1': 0.7272727272727273, 'confusion_matrix': [[12, 3], [0, 4]], 'auc': 0.9666666666666667, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.13333333333333333, 0.13333333333333333, 1.0], 'tpr': [0.0, 0.25, 0.75, 0.75, 1.0, 1.0]}}}",resnet18_palpebral,"[0.8691422051151857, 0.8399705148690584, 0.778444865286745, 0.7798033407981823, 0.7642650355566416, 0.7090251757609134, 0.7319583332301766, 0.711538308503612, 0.6933827640994495, 0.6669928585456697, 0.6999364716327743, 0.6917437018937622, 0.6662036014708462, 0.6471882805919016, 0.6354408785207382, 0.6389241956717131, 0.6271634216340173, 0.6212728303789303, 0.6230679718863885, 0.6017451981045553, 0.6192384563534465, 0.587180420262924, 0.6120578646659851, 0.6039621419464516, 0.6022310312220592, 0.5660141493310992, 0.5880390401707579, 0.5650919918587666, 0.5800563874623633, 0.5681415800227235]","[0.8208776513735453, 0.8352070830085061, 0.81724265127471, 0.7812555053017356, 0.7505438887711727, 0.744382128571019, 0.7186644140518073, 0.7113137461922385, 0.697148758353609, 0.6899981697400411, 0.68114162755735, 0.6802547718539382, 0.6777751409646237, 0.6710679856213656, 0.6680934663974878, 0.6637209382924166, 0.6637381640347567, 0.6578701915162982, 0.6532347202301025, 0.6458730300267538, 0.6391367280122006, 0.6293930393276792, 0.6340960264205933, 0.6364672202052493, 0.6305027730537184, 0.6249791997851748, 0.6221428387092821, 0.619079665704207, 0.6204406348141757, 0.6112362652113943]",COMPLETE
8,0.75,2026-07-19 13:07:35.891288,2026-07-19 13:07:53.206891,0 days 00:00:17.315603,0.0008179499475211679,3.752055855124284e-05,"{'overall': {'n': 33, 'accuracy': 0.7575757575757576, 'precision': 0.6666666666666666, 'recall': 0.8571428571428571, 'f1': 0.75, 'confusion_matrix': [[13, 6], [2, 12]], 'auc': 0.8421052631578947, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 0.3157894736842105, 0.3157894736842105, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.35714285714285715, 0.35714285714285715, 0.5, 0.5, 0.5714285714285714, 0.5714285714285714, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7142857142857143, 'precision': 0.8, 'recall': 0.8, 'f1': 0.8, 'confusion_matrix': [[2, 2], [2, 8]], 'auc': 0.675, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 1.0], 'tpr': [0.0, 0.1, 0.3, 0.3, 0.4, 0.4, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.7894736842105263, 'precision': 0.5, 'recall': 1.0, 'f1': 0.6666666666666666, 'confusion_matrix': [[11, 4], [0, 4]], 'auc': 1.0, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 1.0], 'tpr': [0.0, 0.25, 1.0, 1.0]}}}",resnet18_palpebral,"[0.8019939507080229, 0.7819988782832165, 0.764895841775351, 0.7182119275560442, 0.6987921935043587, 0.678987320290496, 0.6726241048598132, 0.6861497116404653, 0.6409997687434519, 0.653798143200527, 0.624865526789861, 0.6333425573955308, 0.6309174630815619, 0.5770998964246535, 0.5904366170728443, 0.5579387857424503, 0.576463548552911, 0.5455164226475141, 0.5717450964529782, 0.5452351649075944, 0.5406890552959694, 0.5343451176258113, 0.524922289200966, 0.5803037459487157, 0.537188982529356, 0.5678951420531367, 0.5127335763135493, 0.5435166019477592, 0.553761646842325, 0.4964720725223718]","[0.8105544140844634, 0.7628487312432491, 0.7571805571064805, 0.7204209123597001, 0.7076394919193152, 0.7156331665588148, 0.689304915341464, 0.6818697000994827, 0.6702061710935651, 0.6610504695863435, 0.6616471933596062, 0.6517457022811427, 0.6464496670347272, 0.6347147226333618, 0.6336623213507913, 0.6328028765591708, 0.6270397034558383, 0.6156228636250352, 0.6044892903530237, 0.6107704386566625, 0.5977054834365845, 0.5992713552532773, 0.5931944196874445, 0.5679849205595074, 0.5823381272229281, 0.5899301153240781, 0.5878445596405955, 0.5679231954343391, 0.5695199243950121, 0.5667816147659764]",COMPLETE
9,0.7741935483870968,2026-07-19 13:07:53.207217,2026-07-19 13:08:04.898729,0 days 00:00:11.691512,0.0019762189340280074,7.4763120622522945e-06,"{'overall': {'n': 33, 'accuracy': 0.7878787878787878, 'precision': 0.7058823529411765, 'recall': 0.8571428571428571, 'f1': 0.7741935483870968, 'confusion_matrix': [[14, 5], [2, 12]], 'auc': 0.8195488721804511, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.10526315789473684, 0.10526315789473684, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367, 0.21052631578947367, 0.2631578947368421, 0.2631578947368421, 0.42105263157894735, 0.42105263157894735, 1.0], 'tpr': [0.0, 0.07142857142857142, 0.2857142857142857, 0.2857142857142857, 0.35714285714285715, 0.35714285714285715, 0.5, 0.5, 0.5714285714285714, 0.5714285714285714, 0.8571428571428571, 0.8571428571428571, 1.0, 1.0]}}, 'India': {'n': 14, 'accuracy': 0.7142857142857143, 'precision': 0.8, 'recall': 0.8, 'f1': 0.8, 'confusion_matrix': [[2, 2], [2, 8]], 'auc': 0.625, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 0.25, 0.25, 0.5, 0.5, 0.75, 0.75, 1.0], 'tpr': [0.0, 0.1, 0.3, 0.3, 0.4, 0.4, 0.8, 0.8, 1.0, 1.0]}}, 'Italy': {'n': 19, 'accuracy': 0.8421052631578947, 'precision': 0.5714285714285714, 'recall': 1.0, 'f1': 0.7272727272727273, 'confusion_matrix': [[12, 3], [0, 4]], 'auc': 1.0, 'roc_curve': {'fpr': [0.0, 0.0, 0.0, 1.0], 'tpr': [0.0, 0.25, 1.0, 1.0]}}}",resnet18_palpebral,"[0.7599508221575756, 0.7188471488605271, 0.7776914665241115, 0.720504850346521, 0.5855849513549678, 0.6295149723030874, 0.5714712940304485, 0.5667635739244372, 0.5888095877028459, 0.5950602737088867, 0.6108798791241172, 0.7031666857517318, 0.5583828873192238, 0.5264049391478103, 0.5375558114209712, 0.5415665203372374, 0.5564780180027943, 0.6084929341512011, 0.5672087566742045, 0.5816666195724184]","[0.7379080201640273, 0.7089713089393846, 0.6615037954214847, 0.644142438064922, 0.6459132505185676, 0.6270433032151425, 0.6060413880781694, 0.64649959044023, 0.5995494091149532, 0.5979009288730044, 0.5917292002475623, 0.5527269912488533, 0.5481915040449663, 0.5778179168701172, 0.544502778486772, 0.5626502398288611, 0.5646349155541622, 0.576001499638413, 0.5486197182626436, 0.582209131934426]",COMPLETE
