combo,arch,tissue,india_auc,india_ci_low,india_ci_high,india_ci_half_width,india_sd_across_repeats,italy_auc,italy_ci_low,italy_ci_high,overall_auc,overall_ci_low,overall_ci_high,gap,gap_ci_low,gap_ci_high,gap_ci_excludes_zero,india_pairs,italy_pairs,n_repeats,n_splits,seed,learning_rate,weight_decay,dropout_rate,runtime_seconds,
vit_b_16_palpebral_v2_clean,vit_b_16,palpebral,0.739893211,0.6048627,0.855091533,0.125114416,0.018885459,0.846071429,0.722008929,0.94110119,0.874062386,0.820973419,0.91759012,-0.106178217,-0.281677802,0.069360834,FALSE,1311,1680,5,5,42,0.000293803,2.94E-06,0.5,6719.7,
convnext_tiny_palpebral_v2_clean,convnext_tiny,palpebral,0.718993135,0.583524027,0.839816934,0.128146453,0.022372899,0.842619048,0.718422619,0.936919643,0.8579682,0.800336813,0.907764899,-0.123625913,-0.295738769,0.050559994,FALSE,1311,1680,5,5,42,0.000585494,2.01E-05,0.2,1994.8,
vit_l_16_forniceal_palpebral_v2_clean,vit_l_16,forniceal_palpebral,0.698550725,0.562147216,0.820747521,0.129300153,0.029396104,0.912458361,0.835426382,0.970019987,0.86119711,0.802109133,0.911893705,-0.213907636,-0.361581409,-0.061964487,TRUE,1311,1501,5,5,42,0.004252633,2.01E-05,0.2,4611.7,
convnext_tiny_forniceal_palpebral_v2_clean,convnext_tiny,forniceal_palpebral,0.697482838,0.562166285,0.831445461,0.134639588,0.031341669,0.871285809,0.75814457,0.959377082,0.831011352,0.756433824,0.894236971,-0.173802972,-0.345330166,-0.009582742,TRUE,1311,1501,5,5,42,0.07734446,0.000479821,0.5,420.4,
vit_l_16_palpebral_v2_clean,vit_l_16,palpebral,0.683142639,0.537700229,0.811594203,0.136946987,0.021073901,0.857261905,0.729747024,0.958348214,0.853841486,0.792929967,0.908119917,-0.174119266,-0.354881463,0.02166619,FALSE,1311,1680,5,5,42,0.006358359,0.000133112,0.5,2867.8,
vit_b_16_forniceal_palpebral_v2_clean,vit_b_16,forniceal_palpebral,0.680244088,0.528604119,0.809305873,0.140350877,0.019827788,0.842238508,0.711492338,0.940706196,0.840712074,0.778121775,0.897965041,-0.161994419,-0.346864892,0.02692408,FALSE,1311,1501,5,5,42,0.008533716,1.22E-06,0.2,1214.3,
swin_t_forniceal_palpebral_v2_clean,swin_t,forniceal_palpebral,0.647597254,0.497311213,0.782608696,0.142648741,0.042705267,0.882744837,0.766155896,0.958694204,0.809339525,0.733355908,0.879647188,-0.235147583,-0.401627659,-0.071624714,TRUE,1311,1501,5,5,42,0.06264278,3.22E-05,0.2,413.3,
swin_t_palpebral_v2_clean,swin_t,palpebral,0.633714722,0.485888635,0.776506484,0.145308924,0.035880507,0.820238095,0.675565476,0.938705357,0.825051584,0.75857507,0.8833657,-0.186523374,-0.39714834,0.033804314,FALSE,1311,1680,5,5,42,0.031428809,4.34E-06,0.5,442.4,
efficientnet_b0_forniceal_palpebral_v2_clean,efficientnet_b0,forniceal_palpebral,0.632341724,0.473665141,0.77955759,0.152946224,0.028453711,0.861958694,0.741489007,0.957361759,0.866873065,0.818878999,0.911119711,-0.22961697,-0.402207466,-0.051428758,TRUE,1311,1501,5,5,42,0.001329292,0.000711448,0.2,439.7,
resnet18_forniceal_palpebral_v2_clean,resnet18,forniceal_palpebral,0.624866514,0.480549199,0.765102975,0.142276888,0.032251107,0.893804131,0.777465023,0.968704197,0.803199174,0.707043344,0.875902993,-0.268937616,-0.4336971,-0.095540413,TRUE,1311,1501,5,5,42,0.000293803,2.94E-06,0.5,1127.9,
