combo,italy_threshold,italy_precision,italy_recall,italy_f1,india_threshold,india_precision,india_recall,india_f1,overall_precision,overall_recall,overall_f1,italy_auc,india_auc,overall_auc
vit_l_16_palpebral_v2_clean,0.7690822184085846,0.782608695652174,0.72,0.75,0.5,0.7635782747603834,0.8385964912280702,0.7993311036789298,0.7679012345679013,0.8077922077922078,0.7873417721518987,0.8572619047619048,0.6831426392067124,0.8538414856171865
vit_l_16_forniceal_palpebral_v2_clean,0.48654055595397944,0.6302521008403361,0.7894736842105263,0.7009345794392523,0.5,0.7934782608695652,0.7684210526315789,0.7807486631016043,0.7443037974683544,0.7736842105263158,0.7587096774193548,0.9124583610926049,0.6985507246376812,0.8611971104231166
resnet18_palpebral_v2_clean,0.5388305485248566,0.6728971962616822,0.72,0.6956521739130435,0.5,0.7155963302752294,0.8210526315789474,0.7647058823529411,0.7050691244239631,0.7948051948051948,0.7472527472527473,0.8492857142857144,0.5919145690312739,0.8313387547032406
regnet_y_400mf_palpebral_v2_clean,0.48933714628219604,0.8026315789473685,0.61,0.6931818181818182,0.5,0.723342939481268,0.8807017543859649,0.7943037974683544,0.7375886524822695,0.8103896103896104,0.7722772277227723,0.9016666666666667,0.5748283752860412,0.8656875834445927
regnet_y_400mf_forniceal_palpebral_v2_clean,0.4058733284473419,0.6101694915254238,0.7578947368421053,0.676056338028169,0.5,0.7106017191977078,0.8701754385964913,0.7823343848580442,0.6852248394004282,0.8421052631578947,0.755608028335301,0.9197868087941373,0.4900076277650648,0.8444014447884417
resnet18_forniceal_palpebral_v2_clean,0.5849093198776245,0.7375,0.6210526315789474,0.6742857142857143,0.5,0.7689075630252101,0.6421052631578947,0.6998087954110899,0.7610062893081762,0.6368421052631579,0.6934097421203438,0.8938041305796137,0.6248665141113654,0.8031991744066047
densenet121_forniceal_palpebral_v2_clean,0.6607575714588165,0.6774193548387096,0.6631578947368421,0.6702127659574468,0.5,0.708904109589041,0.7263157894736842,0.7175043327556326,0.7012987012987013,0.7105263157894737,0.7058823529411765,0.853564290473018,0.5810831426392067,0.807688338493292
convnext_tiny_palpebral_v2_clean,0.5242007076740265,0.6206896551724138,0.72,0.6666666666666666,0.5,0.79,0.8315789473684211,0.8102564102564103,0.7427884615384616,0.8025974025974026,0.7715355805243446,0.8426190476190476,0.7189931350114416,0.8579682000242748
convnext_tiny_forniceal_palpebral_v2_clean,0.789825826883316,0.5882352941176471,0.7368421052631579,0.6542056074766355,0.5,0.7741935483870968,0.7578947368421053,0.7659574468085106,0.7185929648241206,0.7526315789473684,0.7352185089974294,0.8712858094603598,0.6974828375286042,0.8310113519091848
efficientnet_b0_forniceal_palpebral_v2_clean,0.4921358823776245,0.6741573033707865,0.631578947368421,0.6521739130434783,0.5,0.7520661157024794,0.9578947368421052,0.8425925925925926,0.7367256637168141,0.8763157894736842,0.8004807692307693,0.8619586942038641,0.6323417238749046,0.8668730650154799
swin_t_forniceal_palpebral_v2_clean,0.8083520233631134,0.6382978723404256,0.631578947368421,0.6349206349206349,0.5,0.7799227799227799,0.7087719298245614,0.7426470588235294,0.7422096317280453,0.6894736842105263,0.7148703956343793,0.882744836775483,0.6475972540045767,0.8093395252837977
vit_b_16_palpebral_v2_clean,0.4450607597827911,0.5357142857142857,0.75,0.625,0.5,0.7857142857142857,0.887719298245614,0.8336079077429983,0.70995670995671,0.8519480519480519,0.7744982290436836,0.8460714285714286,0.7398932112890924,0.874062386211919
swin_t_palpebral_v2_clean,0.46089671552181244,0.5419847328244275,0.71,0.6147186147186147,0.5,0.7583892617449665,0.7929824561403509,0.7753001715265866,0.6923076923076923,0.7714285714285715,0.7297297297297297,0.8202380952380952,0.633714721586575,0.8250515839300887
vit_b_16_forniceal_palpebral_v2_clean,0.441484659910202,0.5238095238095238,0.6947368421052632,0.5972850678733032,0.5,0.7929824561403509,0.7929824561403509,0.7929824561403509,0.7104622871046229,0.7684210526315789,0.7383059418457648,0.8422385076615588,0.6802440884820747,0.8407120743034057
densenet121_palpebral_v2_clean,0.5786409676074982,0.6385542168674698,0.53,0.5792349726775956,0.5,0.7492163009404389,0.8385964912280702,0.7913907284768212,0.7263681592039801,0.7584415584415585,0.7420584498094028,0.8194047619047617,0.586880244088482,0.8059473237043331
mobilenet_v3_small_forniceal_palpebral_v2_clean,0.5604141354560852,0.4117647058823529,0.6631578947368421,0.5080645161290323,0.5,0.7428571428571429,0.8210526315789474,0.78,0.6346153846153846,0.781578947368421,0.7004716981132075,0.7534976682211859,0.5876430205949656,0.736764705882353
efficientnet_b0_palpebral_v2_clean,0.34486497938632965,0.27734375,0.71,0.398876404494382,0.5,0.7083333333333334,0.47719298245614034,0.570230607966457,0.46205357142857145,0.5376623376623376,0.4969987995198079,0.6599999999999999,0.4959572845156369,0.6538900351984465
mobilenet_v3_small_palpebral_v2_clean,0.18263536691665644,0.22551928783382788,0.76,0.34782608695652173,0.5,0.7121951219512195,0.512280701754386,0.5959183673469388,0.4095940959409594,0.5766233766233766,0.47896440129449835,0.6042857142857143,0.5221967963386728,0.5785896346644009
