repeat,fold,n,accuracy,precision,recall,specificity,balanced_accuracy,f1,auc
0,0,36,0.75,0.6521739130434783,0.9375,0.6,0.76875,0.7692307692307693,0.85
0,1,36,0.75,0.6842105263157895,0.8125,0.7,0.75625,0.7428571428571429,0.828125
0,2,36,0.7777777777777778,0.8181818181818182,0.6,0.9047619047619048,0.7523809523809524,0.6923076923076923,0.9142857142857144
0,3,35,0.6,0.5294117647058824,0.6,0.6,0.6,0.5625,0.7
0,4,35,0.8285714285714286,0.9,0.6428571428571429,0.9523809523809523,0.7976190476190477,0.75,0.8843537414965987
1,0,36,0.75,0.7333333333333333,0.6875,0.8,0.74375,0.7096774193548387,0.75
1,1,36,0.7777777777777778,0.7222222222222222,0.8125,0.75,0.78125,0.7647058823529411,0.859375
1,2,36,0.75,0.75,0.6,0.8571428571428571,0.7285714285714285,0.6666666666666666,0.8285714285714285
1,3,35,0.6857142857142857,0.5909090909090909,0.8666666666666667,0.55,0.7083333333333334,0.7027027027027027,0.7733333333333333
1,4,35,0.7428571428571429,0.6666666666666666,0.7142857142857143,0.7619047619047619,0.7380952380952381,0.6896551724137931,0.8605442176870748
2,0,36,0.5833333333333334,0.5238095238095238,0.6875,0.5,0.59375,0.5945945945945946,0.7375
2,1,36,0.8055555555555556,0.7368421052631579,0.875,0.75,0.8125,0.8,0.8749999999999999
2,2,36,0.6666666666666666,0.5882352941176471,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.625,0.7841269841269842
2,3,35,0.6857142857142857,0.6428571428571429,0.6,0.75,0.675,0.6206896551724138,0.7733333333333334
2,4,35,0.7428571428571429,0.6470588235294118,0.7857142857142857,0.7142857142857143,0.75,0.7096774193548387,0.8367346938775511
3,0,36,0.8611111111111112,0.7894736842105263,0.9375,0.8,0.86875,0.8571428571428571,0.9750000000000001
3,1,36,0.7222222222222222,0.6666666666666666,0.75,0.7,0.725,0.7058823529411765,0.790625
3,2,36,0.7777777777777778,0.7333333333333333,0.7333333333333333,0.8095238095238095,0.7714285714285714,0.7333333333333333,0.8444444444444444
3,3,35,0.4857142857142857,0.42857142857142855,0.6,0.4,0.5,0.5,0.65
3,4,35,0.6285714285714286,0.5238095238095238,0.7857142857142857,0.5238095238095238,0.6547619047619048,0.6285714285714286,0.7619047619047619
4,0,36,0.6944444444444444,0.6923076923076923,0.5625,0.8,0.68125,0.6206896551724138,0.8437499999999999
4,1,36,0.8333333333333334,0.75,0.9375,0.75,0.84375,0.8333333333333334,0.859375
4,2,36,0.5833333333333334,0.5,1.0,0.2857142857142857,0.6428571428571428,0.6666666666666666,0.8317460317460318
4,3,35,0.7142857142857143,0.6470588235294118,0.7333333333333333,0.7,0.7166666666666666,0.6875,0.7833333333333333
4,4,35,0.7428571428571429,0.7272727272727273,0.5714285714285714,0.8571428571428571,0.7142857142857142,0.64,0.8095238095238095
