repeat,fold,n,accuracy,precision,recall,specificity,balanced_accuracy,f1,auc
0,0,36,0.8055555555555556,0.7142857142857143,0.9375,0.7,0.81875,0.8108108108108109,0.846875
0,1,36,0.8611111111111112,0.7894736842105263,0.9375,0.8,0.86875,0.8571428571428571,0.9156249999999999
0,2,36,0.7777777777777778,0.8181818181818182,0.6,0.9047619047619048,0.7523809523809524,0.6923076923076923,0.8634920634920635
0,3,35,0.8,0.7,0.9333333333333333,0.7,0.8166666666666667,0.8,0.8466666666666667
0,4,35,0.7714285714285715,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7857142857142857,0.75,0.870748299319728
1,0,36,0.7777777777777778,0.7222222222222222,0.8125,0.75,0.78125,0.7647058823529411,0.84375
1,1,36,0.8888888888888888,0.8,1.0,0.8,0.9,0.8888888888888888,0.9249999999999999
1,2,36,0.6944444444444444,0.6428571428571429,0.6,0.7619047619047619,0.680952380952381,0.6206896551724138,0.8634920634920635
1,3,35,0.7428571428571429,0.65,0.8666666666666667,0.65,0.7583333333333333,0.7428571428571429,0.8266666666666667
1,4,35,0.8571428571428571,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8275862068965517,0.9047619047619048
2,0,36,0.8055555555555556,0.7647058823529411,0.8125,0.8,0.80625,0.7878787878787878,0.865625
2,1,36,0.8888888888888888,0.875,0.875,0.9,0.8875,0.875,0.90625
2,2,36,0.8333333333333334,0.7142857142857143,1.0,0.7142857142857143,0.8571428571428572,0.8333333333333334,0.8095238095238095
2,3,35,0.7428571428571429,0.65,0.8666666666666667,0.65,0.7583333333333333,0.7428571428571429,0.76
2,4,35,0.7714285714285715,0.6875,0.7857142857142857,0.7619047619047619,0.7738095238095237,0.7333333333333333,0.8911564625850341
3,0,36,0.8611111111111112,0.8235294117647058,0.875,0.85,0.8625,0.8484848484848485,0.8875
3,1,36,0.8055555555555556,0.7142857142857143,0.9375,0.7,0.81875,0.8108108108108109,0.859375
3,2,36,0.8333333333333334,0.7647058823529411,0.8666666666666667,0.8095238095238095,0.8380952380952381,0.8125,0.9111111111111111
3,3,35,0.8,0.7222222222222222,0.8666666666666667,0.75,0.8083333333333333,0.7878787878787878,0.8566666666666667
3,4,35,0.8,0.6842105263157895,0.9285714285714286,0.7142857142857143,0.8214285714285714,0.7878787878787878,0.8639455782312925
4,0,36,0.8333333333333334,0.7777777777777778,0.875,0.8,0.8375,0.8235294117647058,0.8624999999999999
4,1,36,0.8611111111111112,0.7894736842105263,0.9375,0.8,0.86875,0.8571428571428571,0.8781249999999999
4,2,36,0.8611111111111112,0.7777777777777778,0.9333333333333333,0.8095238095238095,0.8714285714285714,0.8484848484848485,0.9492063492063492
4,3,35,0.7428571428571429,0.65,0.8666666666666667,0.65,0.7583333333333333,0.7428571428571429,0.8866666666666667
4,4,35,0.8285714285714286,0.75,0.8571428571428571,0.8095238095238095,0.8333333333333333,0.8,0.8571428571428572
