repeat,fold,n,accuracy,precision,recall,specificity,balanced_accuracy,f1,auc
0,0,37,0.7567567567567568,0.7333333333333333,0.6875,0.8095238095238095,0.7485119047619048,0.7096774193548387,0.8333333333333333
0,1,37,0.5675675675675675,0.5,0.5,0.6190476190476191,0.5595238095238095,0.5,0.5982142857142857
0,2,37,0.7027027027027027,0.6,0.8,0.6363636363636364,0.7181818181818183,0.6857142857142857,0.8151515151515152
0,3,37,0.5675675675675675,0.0,0.0,0.9545454545454546,0.4772727272727273,0.0,0.5878787878787879
0,4,36,0.4166666666666667,0.375,0.6,0.2857142857142857,0.44285714285714284,0.46153846153846156,0.5206349206349206
1,0,37,0.7027027027027027,0.631578947368421,0.75,0.6666666666666666,0.7083333333333333,0.6857142857142857,0.818452380952381
1,1,37,0.6756756756756757,0.6666666666666666,0.5,0.8095238095238095,0.6547619047619048,0.5714285714285714,0.8005952380952381
1,2,37,0.5945945945945946,0.5,0.26666666666666666,0.8181818181818182,0.5424242424242425,0.34782608695652173,0.46060606060606063
1,3,37,0.7027027027027027,0.6,0.8,0.6363636363636364,0.7181818181818183,0.6857142857142857,0.6727272727272726
1,4,36,0.5555555555555556,0.46153846153846156,0.4,0.6666666666666666,0.5333333333333333,0.42857142857142855,0.5142857142857143
2,0,37,0.6486486486486487,0.6666666666666666,0.375,0.8571428571428571,0.6160714285714286,0.48,0.7321428571428572
2,1,37,0.5945945945945946,0.5172413793103449,0.9375,0.3333333333333333,0.6354166666666666,0.6666666666666666,0.7321428571428571
2,2,37,0.4594594594594595,0.4074074074074074,0.7333333333333333,0.2727272727272727,0.5030303030303029,0.5238095238095238,0.609090909090909
2,3,37,0.6756756756756757,0.5882352941176471,0.6666666666666666,0.6818181818181818,0.6742424242424242,0.625,0.7212121212121212
2,4,36,0.5833333333333334,0.5,0.3333333333333333,0.7619047619047619,0.5476190476190476,0.4,0.580952380952381
3,0,37,0.4594594594594595,0.375,0.375,0.5238095238095238,0.4494047619047619,0.375,0.5148809523809523
3,1,37,0.6486486486486487,0.8,0.25,0.9523809523809523,0.6011904761904762,0.38095238095238093,0.8541666666666667
3,2,37,0.6756756756756757,0.8,0.26666666666666666,0.9545454545454546,0.6106060606060606,0.4,0.703030303030303
3,3,37,0.5945945945945946,0.0,0.0,1.0,0.5,0.0,0.7242424242424242
3,4,36,0.6944444444444444,0.6666666666666666,0.5333333333333333,0.8095238095238095,0.6714285714285715,0.5925925925925926,0.7936507936507937
4,0,37,0.35135135135135137,0.16666666666666666,0.125,0.5238095238095238,0.3244047619047619,0.14285714285714285,0.2261904761904762
4,1,37,0.5405405405405406,0.0,0.0,0.9523809523809523,0.47619047619047616,0.0,0.4642857142857143
4,2,37,0.5945945945945946,0.5,0.6666666666666666,0.5454545454545454,0.606060606060606,0.5714285714285714,0.6454545454545454
4,3,37,0.6216216216216216,0.6666666666666666,0.13333333333333333,0.9545454545454546,0.543939393939394,0.2222222222222222,0.7606060606060607
4,4,36,0.6944444444444444,0.6428571428571429,0.6,0.7619047619047619,0.680952380952381,0.6206896551724138,0.7206349206349206
