repeat,fold,n,accuracy,precision,recall,specificity,balanced_accuracy,f1,auc
0,0,36,0.5277777777777778,0.48484848484848486,1.0,0.15,0.575,0.6530612244897959,0.825
0,1,36,0.75,0.6666666666666666,0.875,0.65,0.7625,0.7567567567567568,0.803125
0,2,36,0.6111111111111112,0.5185185185185185,0.9333333333333333,0.38095238095238093,0.6571428571428571,0.6666666666666666,0.7365079365079366
0,3,35,0.6571428571428571,0.5714285714285714,0.8,0.55,0.675,0.6666666666666666,0.6933333333333334
0,4,35,0.7714285714285715,0.7142857142857143,0.7142857142857143,0.8095238095238095,0.7619047619047619,0.7142857142857143,0.8163265306122449
1,0,36,0.6388888888888888,0.5789473684210527,0.6875,0.6,0.64375,0.6285714285714286,0.6781250000000001
1,1,36,0.75,0.7333333333333333,0.6875,0.8,0.74375,0.7096774193548387,0.85625
1,2,36,0.6388888888888888,0.55,0.7333333333333333,0.5714285714285714,0.6523809523809523,0.6285714285714286,0.6285714285714286
1,3,35,0.7142857142857143,0.6190476190476191,0.8666666666666667,0.6,0.7333333333333334,0.7222222222222222,0.8366666666666667
1,4,35,0.6857142857142857,0.5882352941176471,0.7142857142857143,0.6666666666666666,0.6904761904761905,0.6451612903225806,0.7789115646258503
2,0,36,0.6666666666666666,0.6,0.75,0.6,0.675,0.6666666666666666,0.753125
2,1,36,0.8055555555555556,0.6956521739130435,1.0,0.65,0.825,0.8205128205128205,0.95625
2,2,36,0.7222222222222222,0.6666666666666666,0.6666666666666666,0.7619047619047619,0.7142857142857142,0.6666666666666666,0.7238095238095239
2,3,35,0.7428571428571429,0.6363636363636364,0.9333333333333333,0.6,0.7666666666666666,0.7567567567567568,0.8999999999999999
2,4,35,0.4,0.4,1.0,0.0,0.5,0.5714285714285714,0.5578231292517007
3,0,36,0.7222222222222222,0.6666666666666666,0.75,0.7,0.725,0.7058823529411765,0.75
3,1,36,0.75,0.6842105263157895,0.8125,0.7,0.75625,0.7428571428571429,0.765625
3,2,36,0.5833333333333334,0.5,0.7333333333333333,0.47619047619047616,0.6047619047619047,0.5945945945945946,0.6
3,3,35,0.8,0.7,0.9333333333333333,0.7,0.8166666666666667,0.8,0.8533333333333333
3,4,35,0.6,0.5,0.5714285714285714,0.6190476190476191,0.5952380952380952,0.5333333333333333,0.619047619047619
4,0,36,0.7222222222222222,0.75,0.5625,0.85,0.70625,0.6428571428571429,0.66875
4,1,36,0.7777777777777778,0.7222222222222222,0.8125,0.75,0.78125,0.7647058823529411,0.825
4,2,36,0.6388888888888888,0.5384615384615384,0.9333333333333333,0.42857142857142855,0.680952380952381,0.6829268292682927,0.7492063492063492
4,3,35,0.6857142857142857,0.6111111111111112,0.7333333333333333,0.65,0.6916666666666667,0.6666666666666666,0.7100000000000001
4,4,35,0.4,0.4,1.0,0.0,0.5,0.5714285714285714,0.7959183673469388
