repeat,fold,n,accuracy,precision,recall,specificity,balanced_accuracy,f1,auc
0,0,37,0.7027027027027027,0.7777777777777778,0.4375,0.9047619047619048,0.6711309523809523,0.56,0.7113095238095238
0,1,37,0.35135135135135137,0.38235294117647056,0.8125,0.0,0.40625,0.52,0.4017857142857143
0,2,37,0.6756756756756757,1.0,0.2,1.0,0.6,0.3333333333333333,0.5151515151515151
0,3,37,0.6216216216216216,1.0,0.06666666666666667,1.0,0.5333333333333333,0.125,0.7636363636363636
0,4,36,0.4722222222222222,0.43333333333333335,0.8666666666666667,0.19047619047619047,0.5285714285714286,0.5777777777777777,0.6698412698412698
1,0,37,0.5675675675675675,0.5,0.8125,0.38095238095238093,0.5967261904761905,0.6190476190476191,0.6726190476190477
1,1,37,0.7837837837837838,0.7,0.875,0.7142857142857143,0.7946428571428572,0.7777777777777778,0.8214285714285715
1,2,37,0.5945945945945946,0.0,0.0,1.0,0.5,0.0,0.5818181818181818
1,3,37,0.4594594594594595,0.41379310344827586,0.8,0.22727272727272727,0.5136363636363637,0.5454545454545454,0.4818181818181818
1,4,36,0.6111111111111112,0.5454545454545454,0.4,0.7619047619047619,0.5809523809523809,0.46153846153846156,0.6698412698412699
2,0,37,0.5675675675675675,0.5,0.6875,0.47619047619047616,0.5818452380952381,0.5789473684210527,0.5327380952380952
2,1,37,0.6216216216216216,0.5833333333333334,0.4375,0.7619047619047619,0.5997023809523809,0.5,0.6934523809523809
2,2,37,0.7027027027027027,0.6428571428571429,0.6,0.7727272727272727,0.6863636363636363,0.6206896551724138,0.7363636363636363
2,3,37,0.43243243243243246,0.36363636363636365,0.5333333333333333,0.36363636363636365,0.4484848484848485,0.43243243243243246,0.4575757575757576
2,4,36,0.4166666666666667,0.4166666666666667,1.0,0.0,0.5,0.5882352941176471,0.6571428571428571
3,0,37,0.43243243243243246,0.43243243243243246,1.0,0.0,0.5,0.6037735849056604,0.625
3,1,37,0.5675675675675675,0.0,0.0,1.0,0.5,0.0,0.27976190476190477
3,2,37,0.6216216216216216,0.5555555555555556,0.3333333333333333,0.8181818181818182,0.5757575757575758,0.4166666666666667,0.5212121212121211
3,3,37,0.5405405405405406,0.4444444444444444,0.5333333333333333,0.5454545454545454,0.5393939393939393,0.48484848484848486,0.6424242424242425
3,4,36,0.5833333333333334,0.0,0.0,1.0,0.5,0.0,0.834920634920635
4,0,37,0.6756756756756757,0.5769230769230769,0.9375,0.47619047619047616,0.7068452380952381,0.7142857142857143,0.8511904761904762
4,1,37,0.2702702702702703,0.2962962962962963,0.5,0.09523809523809523,0.2976190476190476,0.37209302325581395,0.2767857142857143
4,2,37,0.5135135135135135,0.4117647058823529,0.4666666666666667,0.5454545454545454,0.5060606060606061,0.4375,0.5
4,3,37,0.5945945945945946,0.5,0.06666666666666667,0.9545454545454546,0.5106060606060606,0.11764705882352941,0.6333333333333333
4,4,36,0.5833333333333334,0.0,0.0,1.0,0.5,0.0,0.5333333333333333
