repeat,fold,n,accuracy,precision,recall,specificity,balanced_accuracy,f1,auc
0,0,36,0.8333333333333334,0.8125,0.8125,0.85,0.83125,0.8125,0.934375
0,1,36,0.3888888888888889,0.3333333333333333,0.375,0.4,0.3875,0.35294117647058826,0.38125000000000003
0,2,36,0.5833333333333334,0.5,0.06666666666666667,0.9523809523809523,0.5095238095238095,0.11764705882352941,0.6000000000000001
0,3,35,0.7428571428571429,0.6875,0.7333333333333333,0.75,0.7416666666666667,0.7096774193548387,0.76
0,4,35,0.7714285714285715,0.6875,0.7857142857142857,0.7619047619047619,0.7738095238095237,0.7333333333333333,0.8605442176870749
1,0,36,0.75,0.6842105263157895,0.8125,0.7,0.75625,0.7428571428571429,0.8093750000000001
1,1,36,0.6388888888888888,0.56,0.875,0.45,0.6625,0.6829268292682927,0.66875
1,2,36,0.6944444444444444,0.625,0.6666666666666666,0.7142857142857143,0.6904761904761905,0.6451612903225806,0.8222222222222222
1,3,35,0.7714285714285715,0.7333333333333333,0.7333333333333333,0.8,0.7666666666666666,0.7333333333333333,0.8566666666666667
1,4,35,0.8571428571428571,0.8461538461538461,0.7857142857142857,0.9047619047619048,0.8452380952380952,0.8148148148148148,0.9659863945578231
2,0,36,0.8055555555555556,0.8,0.75,0.85,0.8,0.7741935483870968,0.89375
2,1,36,0.8055555555555556,0.8461538461538461,0.6875,0.9,0.79375,0.7586206896551724,0.86875
2,2,36,0.75,0.6666666666666666,0.8,0.7142857142857143,0.7571428571428571,0.7272727272727273,0.7936507936507937
2,3,35,0.5714285714285714,0.0,0.0,1.0,0.5,0.0,0.5666666666666667
2,4,35,0.8571428571428571,0.8,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8275862068965517,0.9217687074829932
3,0,36,0.8055555555555556,0.8,0.75,0.85,0.8,0.7741935483870968,0.9249999999999999
3,1,36,0.7777777777777778,0.7,0.875,0.7,0.7875,0.7777777777777778,0.85
3,2,36,0.75,0.8,0.5333333333333333,0.9047619047619048,0.719047619047619,0.64,0.8063492063492064
3,3,35,0.45714285714285713,0.42857142857142855,0.8,0.2,0.5,0.5581395348837209,0.4666666666666667
3,4,35,0.5142857142857142,0.43478260869565216,0.7142857142857143,0.38095238095238093,0.5476190476190477,0.5405405405405406,0.7074829931972789
4,0,36,0.7222222222222222,0.8,0.5,0.9,0.7,0.6153846153846154,0.825
4,1,36,0.8055555555555556,0.7647058823529411,0.8125,0.8,0.80625,0.7878787878787878,0.89375
4,2,36,0.5277777777777778,0.4444444444444444,0.5333333333333333,0.5238095238095238,0.5285714285714286,0.48484848484848486,0.5650793650793651
4,3,35,0.8285714285714286,0.7647058823529411,0.8666666666666667,0.8,0.8333333333333334,0.8125,0.9133333333333333
4,4,35,0.8285714285714286,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.8214285714285714,0.7857142857142857,0.8979591836734695
