repeat,fold,n,accuracy,precision,recall,specificity,balanced_accuracy,f1,auc
0,0,37,0.8378378378378378,0.8125,0.8125,0.8571428571428571,0.8348214285714286,0.8125,0.8869047619047619
0,1,37,0.6756756756756757,0.6,0.75,0.6190476190476191,0.6845238095238095,0.6666666666666666,0.7708333333333333
0,2,37,0.7837837837837838,0.6666666666666666,0.9333333333333333,0.6818181818181818,0.8075757575757576,0.7777777777777778,0.9212121212121213
0,3,37,0.8378378378378378,0.7647058823529411,0.8666666666666667,0.8181818181818182,0.8424242424242425,0.8125,0.8787878787878787
0,4,36,0.6944444444444444,0.625,0.6666666666666666,0.7142857142857143,0.6904761904761905,0.6451612903225806,0.780952380952381
1,0,37,0.7297297297297297,0.625,0.9375,0.5714285714285714,0.7544642857142857,0.75,0.863095238095238
1,1,37,0.6216216216216216,0.6,0.375,0.8095238095238095,0.5922619047619048,0.46153846153846156,0.7410714285714286
1,2,37,0.7837837837837838,0.6842105263157895,0.8666666666666667,0.7272727272727273,0.796969696969697,0.7647058823529411,0.8484848484848484
1,3,37,0.7567567567567568,0.65,0.8666666666666667,0.6818181818181818,0.7742424242424242,0.7428571428571429,0.8696969696969697
1,4,36,0.8611111111111112,0.8125,0.8666666666666667,0.8571428571428571,0.861904761904762,0.8387096774193549,0.9079365079365079
2,0,37,0.7027027027027027,0.631578947368421,0.75,0.6666666666666666,0.7083333333333333,0.6857142857142857,0.7202380952380952
2,1,37,0.7027027027027027,0.631578947368421,0.75,0.6666666666666666,0.7083333333333333,0.6857142857142857,0.8035714285714286
2,2,37,0.7567567567567568,0.6666666666666666,0.8,0.7272727272727273,0.7636363636363637,0.7272727272727273,0.8878787878787878
2,3,37,0.8108108108108109,0.6818181818181818,1.0,0.6818181818181818,0.8409090909090908,0.8108108108108109,0.8606060606060606
2,4,36,0.75,0.6666666666666666,0.8,0.7142857142857143,0.7571428571428571,0.7272727272727273,0.8603174603174604
3,0,37,0.8378378378378378,0.75,0.9375,0.7619047619047619,0.8497023809523809,0.8333333333333334,0.8541666666666667
3,1,37,0.8108108108108109,0.7647058823529411,0.8125,0.8095238095238095,0.8110119047619048,0.7878787878787878,0.8541666666666666
3,2,37,0.7027027027027027,0.6428571428571429,0.6,0.7727272727272727,0.6863636363636363,0.6206896551724138,0.7727272727272727
3,3,37,0.8108108108108109,0.7222222222222222,0.8666666666666667,0.7727272727272727,0.8196969696969697,0.7878787878787878,0.9212121212121213
3,4,36,0.75,0.6875,0.7333333333333333,0.7619047619047619,0.7476190476190476,0.7096774193548387,0.7936507936507936
4,0,37,0.8378378378378378,0.7777777777777778,0.875,0.8095238095238095,0.8422619047619048,0.8235294117647058,0.8988095238095238
4,1,37,0.8378378378378378,0.75,0.9375,0.7619047619047619,0.8497023809523809,0.8333333333333334,0.8720238095238095
4,2,37,0.7027027027027027,0.6428571428571429,0.6,0.7727272727272727,0.6863636363636363,0.6206896551724138,0.7484848484848484
4,3,37,0.8108108108108109,0.75,0.8,0.8181818181818182,0.8090909090909091,0.7741935483870968,0.9090909090909092
4,4,36,0.75,0.6666666666666666,0.8,0.7142857142857143,0.7571428571428571,0.7272727272727273,0.8
