repeat,fold,n,accuracy,precision,recall,specificity,balanced_accuracy,f1,auc
0,0,37,0.8378378378378378,0.9166666666666666,0.6875,0.9523809523809523,0.8199404761904762,0.7857142857142857,0.8839285714285714
0,1,37,0.8378378378378378,0.7777777777777778,0.875,0.8095238095238095,0.8422619047619048,0.8235294117647058,0.8958333333333334
0,2,37,0.8378378378378378,0.7368421052631579,0.9333333333333333,0.7727272727272727,0.853030303030303,0.8235294117647058,0.9121212121212121
0,3,37,0.7297297297297297,0.631578947368421,0.8,0.6818181818181818,0.740909090909091,0.7058823529411765,0.8545454545454545
0,4,36,0.6944444444444444,0.625,0.6666666666666666,0.7142857142857143,0.6904761904761905,0.6451612903225806,0.7492063492063492
1,0,37,0.7837837837837838,0.7,0.875,0.7142857142857143,0.7946428571428572,0.7777777777777778,0.8541666666666666
1,1,37,0.7567567567567568,0.7058823529411765,0.75,0.7619047619047619,0.7559523809523809,0.7272727272727273,0.8333333333333334
1,2,37,0.7837837837837838,0.6842105263157895,0.8666666666666667,0.7272727272727273,0.796969696969697,0.7647058823529411,0.8606060606060606
1,3,37,0.7837837837837838,0.7058823529411765,0.8,0.7727272727272727,0.7863636363636364,0.75,0.8848484848484848
1,4,36,0.75,0.7142857142857143,0.6666666666666666,0.8095238095238095,0.7380952380952381,0.6896551724137931,0.8793650793650793
2,0,37,0.8108108108108109,0.7647058823529411,0.8125,0.8095238095238095,0.8110119047619048,0.7878787878787878,0.8482142857142857
2,1,37,0.7297297297297297,0.6875,0.6875,0.7619047619047619,0.7247023809523809,0.6875,0.8095238095238095
2,2,37,0.7837837837837838,0.7058823529411765,0.8,0.7727272727272727,0.7863636363636364,0.75,0.8454545454545455
2,3,37,0.8648648648648649,0.8125,0.8666666666666667,0.8636363636363636,0.8651515151515152,0.8387096774193549,0.9333333333333333
2,4,36,0.8333333333333334,0.7647058823529411,0.8666666666666667,0.8095238095238095,0.8380952380952381,0.8125,0.8888888888888888
3,0,37,0.8108108108108109,0.7368421052631579,0.875,0.7619047619047619,0.8184523809523809,0.8,0.9226190476190477
3,1,37,0.8378378378378378,0.8125,0.8125,0.8571428571428571,0.8348214285714286,0.8125,0.9107142857142856
3,2,37,0.7297297297297297,0.6923076923076923,0.6,0.8181818181818182,0.7090909090909091,0.6428571428571429,0.8121212121212121
3,3,37,0.8648648648648649,0.7777777777777778,0.9333333333333333,0.8181818181818182,0.8757575757575757,0.8484848484848485,0.9363636363636363
3,4,36,0.6944444444444444,0.6,0.8,0.6190476190476191,0.7095238095238096,0.6857142857142857,0.8
4,0,37,0.8648648648648649,0.8235294117647058,0.875,0.8571428571428571,0.8660714285714286,0.8484848484848485,0.9464285714285714
4,1,37,0.7567567567567568,0.7333333333333333,0.6875,0.8095238095238095,0.7485119047619048,0.7096774193548387,0.8511904761904763
4,2,37,0.8108108108108109,0.7857142857142857,0.7333333333333333,0.8636363636363636,0.7984848484848485,0.7586206896551724,0.8636363636363636
4,3,37,0.8108108108108109,0.7,0.9333333333333333,0.7272727272727273,0.8303030303030303,0.8,0.9121212121212121
4,4,36,0.75,0.65,0.8666666666666667,0.6666666666666666,0.7666666666666666,0.7428571428571429,0.7428571428571429
