repeat,fold,n,accuracy,precision,recall,specificity,balanced_accuracy,f1,auc
0,0,37,0.7837837837837838,0.7857142857142857,0.6875,0.8571428571428571,0.7723214285714286,0.7333333333333333,0.8601190476190477
0,1,37,0.7567567567567568,0.6842105263157895,0.8125,0.7142857142857143,0.7633928571428572,0.7428571428571429,0.8392857142857143
0,2,37,0.7837837837837838,0.6666666666666666,0.9333333333333333,0.6818181818181818,0.8075757575757576,0.7777777777777778,0.8787878787878788
0,3,37,0.6486486486486487,0.5555555555555556,0.6666666666666666,0.6363636363636364,0.6515151515151515,0.6060606060606061,0.6
0,4,36,0.6666666666666666,0.5882352941176471,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.625,0.7904761904761906
1,0,37,0.3783783783783784,0.34782608695652173,0.5,0.2857142857142857,0.39285714285714285,0.41025641025641024,0.3630952380952381
1,1,37,0.7297297297297297,0.6875,0.6875,0.7619047619047619,0.7247023809523809,0.6875,0.8214285714285714
1,2,37,0.40540540540540543,0.40540540540540543,1.0,0.0,0.5,0.5769230769230769,0.5333333333333333
1,3,37,0.7567567567567568,0.6666666666666666,0.8,0.7272727272727273,0.7636363636363637,0.7272727272727273,0.8212121212121212
1,4,36,0.8611111111111112,0.8125,0.8666666666666667,0.8571428571428571,0.861904761904762,0.8387096774193549,0.9111111111111111
2,0,37,0.6486486486486487,0.6,0.5625,0.7142857142857143,0.6383928571428572,0.5806451612903226,0.8214285714285714
2,1,37,0.7027027027027027,0.6470588235294118,0.6875,0.7142857142857143,0.7008928571428572,0.6666666666666666,0.7321428571428572
2,2,37,0.8918918918918919,0.8235294117647058,0.9333333333333333,0.8636363636363636,0.8984848484848484,0.875,0.906060606060606
2,3,37,0.8648648648648649,0.8125,0.8666666666666667,0.8636363636363636,0.8651515151515152,0.8387096774193549,0.8818181818181818
2,4,36,0.8611111111111112,0.8125,0.8666666666666667,0.8571428571428571,0.861904761904762,0.8387096774193549,0.8444444444444444
3,0,37,0.7297297297297297,0.65,0.8125,0.6666666666666666,0.7395833333333333,0.7222222222222222,0.8244047619047619
3,1,37,0.7297297297297297,0.625,0.9375,0.5714285714285714,0.7544642857142857,0.75,0.755952380952381
3,2,37,0.5135135135135135,0.45161290322580644,0.9333333333333333,0.22727272727272727,0.5803030303030303,0.6086956521739131,0.7484848484848485
3,3,37,0.8918918918918919,0.8235294117647058,0.9333333333333333,0.8636363636363636,0.8984848484848484,0.875,0.9363636363636363
3,4,36,0.7777777777777778,0.6842105263157895,0.8666666666666667,0.7142857142857143,0.7904761904761906,0.7647058823529411,0.8380952380952381
4,0,37,0.7837837837837838,0.7222222222222222,0.8125,0.7619047619047619,0.7872023809523809,0.7647058823529411,0.8809523809523809
4,1,37,0.7837837837837838,0.6818181818181818,0.9375,0.6666666666666666,0.8020833333333333,0.7894736842105263,0.8035714285714286
4,2,37,0.7567567567567568,0.6875,0.7333333333333333,0.7727272727272727,0.7530303030303029,0.7096774193548387,0.8272727272727273
4,3,37,0.8378378378378378,0.8,0.8,0.8636363636363636,0.8318181818181818,0.8,0.8909090909090909
4,4,36,0.75,0.6666666666666666,0.8,0.7142857142857143,0.7571428571428571,0.7272727272727273,0.834920634920635
