repeat,fold,n,accuracy,precision,recall,specificity,balanced_accuracy,f1,auc
0,0,37,0.4864864864864865,0.35714285714285715,0.3333333333333333,0.5909090909090909,0.46212121212121215,0.3448275862068966,0.4333333333333333
0,1,37,0.4594594594594595,0.35294117647058826,0.4,0.5,0.45,0.375,0.5212121212121212
0,2,37,0.43243243243243246,0.3333333333333333,0.3125,0.5238095238095238,0.4181547619047619,0.3225806451612903,0.42559523809523814
0,3,37,0.5675675675675675,0.0,0.0,1.0,0.5,0.0,0.5
0,4,36,0.5,0.42857142857142855,0.6,0.42857142857142855,0.5142857142857142,0.5,0.4793650793650793
1,0,37,0.5135135135135135,0.3333333333333333,0.2,0.7272727272727273,0.4636363636363636,0.25,0.49999999999999994
1,1,37,0.4594594594594595,0.3076923076923077,0.26666666666666666,0.5909090909090909,0.42878787878787883,0.2857142857142857,0.4484848484848485
1,2,37,0.5675675675675675,0.0,0.0,1.0,0.5,0.0,0.6220238095238095
1,3,37,0.4864864864864865,0.4117647058823529,0.4375,0.5238095238095238,0.4806547619047619,0.42424242424242425,0.4821428571428572
1,4,36,0.5555555555555556,0.47368421052631576,0.6,0.5238095238095238,0.5619047619047619,0.5294117647058824,0.5714285714285715
2,0,37,0.5945945945945946,0.0,0.0,1.0,0.5,0.0,0.5424242424242425
2,1,37,0.5945945945945946,0.0,0.0,1.0,0.5,0.0,0.5848484848484848
2,2,37,0.5675675675675675,0.0,0.0,1.0,0.5,0.0,0.5119047619047619
2,3,37,0.5135135135135135,0.45454545454545453,0.625,0.42857142857142855,0.5267857142857143,0.5263157894736842,0.5476190476190477
2,4,36,0.4722222222222222,0.16666666666666666,0.06666666666666667,0.7619047619047619,0.41428571428571426,0.09523809523809523,0.46031746031746035
3,0,37,0.5945945945945946,0.5,0.26666666666666666,0.8181818181818182,0.5424242424242425,0.34782608695652173,0.5909090909090909
3,1,37,0.5945945945945946,0.0,0.0,1.0,0.5,0.0,0.5727272727272728
3,2,37,0.5135135135135135,0.4642857142857143,0.8125,0.2857142857142857,0.5491071428571428,0.5909090909090909,0.6071428571428572
3,3,37,0.5675675675675675,0.0,0.0,1.0,0.5,0.0,0.6190476190476191
3,4,36,0.4722222222222222,0.35714285714285715,0.3333333333333333,0.5714285714285714,0.45238095238095233,0.3448275862068966,0.48571428571428577
4,0,37,0.5945945945945946,0.0,0.0,1.0,0.5,0.0,0.7151515151515151
4,1,37,0.5675675675675675,0.47368421052631576,0.6,0.5454545454545454,0.5727272727272728,0.5294117647058824,0.5606060606060607
4,2,37,0.5675675675675675,0.0,0.0,1.0,0.5,0.0,0.6160714285714286
4,3,37,0.4594594594594595,0.3888888888888889,0.4375,0.47619047619047616,0.4568452380952381,0.4117647058823529,0.44047619047619047
4,4,36,0.5555555555555556,0.4,0.13333333333333333,0.8571428571428571,0.4952380952380952,0.2,0.3777777777777778
