repeat,fold,n,accuracy,precision,recall,specificity,balanced_accuracy,f1,auc
0,0,37,0.40540540540540543,0.38461538461538464,0.625,0.23809523809523808,0.43154761904761907,0.47619047619047616,0.34523809523809523
0,1,37,0.6756756756756757,0.6666666666666666,0.5,0.8095238095238095,0.6547619047619048,0.5714285714285714,0.7797619047619048
0,2,37,0.40540540540540543,0.3157894736842105,0.4,0.4090909090909091,0.40454545454545454,0.35294117647058826,0.44242424242424244
0,3,37,0.7027027027027027,0.6666666666666666,0.5333333333333333,0.8181818181818182,0.6757575757575758,0.5925925925925926,0.6696969696969697
0,4,36,0.6388888888888888,0.6666666666666666,0.26666666666666666,0.9047619047619048,0.5857142857142857,0.38095238095238093,0.6825396825396826
1,0,37,0.4594594594594595,0.4375,0.875,0.14285714285714285,0.5089285714285714,0.5833333333333334,0.43154761904761907
1,1,37,0.6486486486486487,0.5882352941176471,0.625,0.6666666666666666,0.6458333333333333,0.6060606060606061,0.7470238095238095
1,2,37,0.21621621621621623,0.18181818181818182,0.26666666666666666,0.18181818181818182,0.22424242424242424,0.21621621621621623,0.2545454545454545
1,3,37,0.4864864864864865,0.43333333333333335,0.8666666666666667,0.22727272727272727,0.546969696969697,0.5777777777777777,0.5060606060606061
1,4,36,0.5277777777777778,0.4642857142857143,0.8666666666666667,0.2857142857142857,0.5761904761904761,0.6046511627906976,0.580952380952381
2,0,37,0.43243243243243246,0.43243243243243246,1.0,0.0,0.5,0.6037735849056604,0.5208333333333334
2,1,37,0.5405405405405406,0.47368421052631576,0.5625,0.5238095238095238,0.5431547619047619,0.5142857142857142,0.6190476190476191
2,2,37,0.5945945945945946,0.0,0.0,1.0,0.5,0.0,0.7424242424242424
2,3,37,0.5405405405405406,0.0,0.0,0.9090909090909091,0.45454545454545453,0.0,0.6787878787878787
2,4,36,0.4722222222222222,0.3888888888888889,0.4666666666666667,0.47619047619047616,0.4714285714285714,0.42424242424242425,0.48888888888888893
3,0,37,0.6216216216216216,0.5416666666666666,0.8125,0.47619047619047616,0.6443452380952381,0.65,0.6398809523809523
3,1,37,0.5135135135135135,0.4,0.25,0.7142857142857143,0.48214285714285715,0.3076923076923077,0.5267857142857143
3,2,37,0.5945945945945946,0.0,0.0,1.0,0.5,0.0,0.7181818181818183
3,3,37,0.7297297297297297,0.7777777777777778,0.4666666666666667,0.9090909090909091,0.6878787878787879,0.5833333333333334,0.7424242424242424
3,4,36,0.5555555555555556,0.0,0.0,0.9523809523809523,0.47619047619047616,0.0,0.5428571428571429
4,0,37,0.6486486486486487,0.5789473684210527,0.6875,0.6190476190476191,0.6532738095238095,0.6285714285714286,0.6696428571428572
4,1,37,0.5405405405405406,0.48484848484848486,1.0,0.19047619047619047,0.5952380952380952,0.6530612244897959,0.5476190476190477
4,2,37,0.43243243243243246,0.4166666666666667,1.0,0.045454545454545456,0.5227272727272727,0.5882352941176471,0.5969696969696969
4,3,37,0.6756756756756757,0.6363636363636364,0.4666666666666667,0.8181818181818182,0.6424242424242425,0.5384615384615384,0.7030303030303031
4,4,36,0.5833333333333334,0.0,0.0,1.0,0.5,0.0,0.5142857142857143
