repeat,fold,n,accuracy,precision,recall,specificity,balanced_accuracy,f1,auc
0,0,36,0.8055555555555556,0.7647058823529411,0.8125,0.8,0.80625,0.7878787878787878,0.828125
0,1,36,0.8055555555555556,0.7368421052631579,0.875,0.75,0.8125,0.8,0.859375
0,2,36,0.7777777777777778,0.7333333333333333,0.7333333333333333,0.8095238095238095,0.7714285714285714,0.7333333333333333,0.9111111111111111
0,3,35,0.6857142857142857,0.6,0.8,0.6,0.7,0.6857142857142857,0.7733333333333333
0,4,35,0.7428571428571429,0.6666666666666666,0.7142857142857143,0.7619047619047619,0.7380952380952381,0.6896551724137931,0.8605442176870749
1,0,36,0.6666666666666666,0.625,0.625,0.7,0.6625,0.625,0.784375
1,1,36,0.8611111111111112,0.7894736842105263,0.9375,0.8,0.86875,0.8571428571428571,0.853125
1,2,36,0.6944444444444444,0.6666666666666666,0.5333333333333333,0.8095238095238095,0.6714285714285715,0.5925925925925926,0.8158730158730159
1,3,35,0.8,0.7222222222222222,0.8666666666666667,0.75,0.8083333333333333,0.7878787878787878,0.8533333333333333
1,4,35,0.7714285714285715,0.6666666666666666,0.8571428571428571,0.7142857142857143,0.7857142857142857,0.75,0.8503401360544218
2,0,36,0.8055555555555556,0.7647058823529411,0.8125,0.8,0.80625,0.7878787878787878,0.84375
2,1,36,0.8055555555555556,0.8,0.75,0.85,0.8,0.7741935483870968,0.9
2,2,36,0.8055555555555556,0.7,0.9333333333333333,0.7142857142857143,0.8238095238095238,0.8,0.853968253968254
2,3,35,0.7428571428571429,0.6875,0.7333333333333333,0.75,0.7416666666666667,0.7096774193548387,0.81
2,4,35,0.7428571428571429,0.6666666666666666,0.7142857142857143,0.7619047619047619,0.7380952380952381,0.6896551724137931,0.8639455782312926
3,0,36,0.8055555555555556,0.8,0.75,0.85,0.8,0.7741935483870968,0.9375
3,1,36,0.7777777777777778,0.7,0.875,0.7,0.7875,0.7777777777777778,0.83125
3,2,36,0.8055555555555556,0.7857142857142857,0.7333333333333333,0.8571428571428571,0.7952380952380952,0.7586206896551724,0.8793650793650793
3,3,35,0.7714285714285715,0.6842105263157895,0.8666666666666667,0.7,0.7833333333333333,0.7647058823529411,0.8166666666666667
3,4,35,0.7428571428571429,0.6470588235294118,0.7857142857142857,0.7142857142857143,0.75,0.7096774193548387,0.8537414965986394
4,0,36,0.7777777777777778,0.7222222222222222,0.8125,0.75,0.78125,0.7647058823529411,0.8156249999999999
4,1,36,0.8333333333333334,0.7777777777777778,0.875,0.8,0.8375,0.8235294117647058,0.875
4,2,36,0.7777777777777778,0.7058823529411765,0.8,0.7619047619047619,0.780952380952381,0.75,0.8539682539682539
4,3,35,0.8,0.75,0.8,0.8,0.8,0.7741935483870968,0.8466666666666667
4,4,35,0.7714285714285715,0.7142857142857143,0.7142857142857143,0.8095238095238095,0.7619047619047619,0.7142857142857143,0.8129251700680273
