repeat,fold,n,accuracy,precision,recall,specificity,balanced_accuracy,f1,auc
0,0,37,0.8378378378378378,0.8125,0.8125,0.8571428571428571,0.8348214285714286,0.8125,0.9196428571428572
0,1,37,0.8108108108108109,0.7142857142857143,0.9375,0.7142857142857143,0.8258928571428572,0.8108108108108109,0.880952380952381
0,2,37,0.8378378378378378,0.7647058823529411,0.8666666666666667,0.8181818181818182,0.8424242424242425,0.8125,0.9030303030303031
0,3,37,0.8378378378378378,0.8,0.8,0.8636363636363636,0.8318181818181818,0.8,0.8484848484848485
0,4,36,0.7777777777777778,0.6842105263157895,0.8666666666666667,0.7142857142857143,0.7904761904761906,0.7647058823529411,0.8190476190476191
1,0,37,0.8108108108108109,0.8,0.75,0.8571428571428571,0.8035714285714286,0.7741935483870968,0.8898809523809523
1,1,37,0.7837837837837838,0.75,0.75,0.8095238095238095,0.7797619047619048,0.75,0.8720238095238095
1,2,37,0.7837837837837838,0.7058823529411765,0.8,0.7727272727272727,0.7863636363636364,0.75,0.8545454545454546
1,3,37,0.8108108108108109,0.7,0.9333333333333333,0.7272727272727273,0.8303030303030303,0.8,0.9
1,4,36,0.75,0.7142857142857143,0.6666666666666666,0.8095238095238095,0.7380952380952381,0.6896551724137931,0.8285714285714286
2,0,37,0.7567567567567568,0.7333333333333333,0.6875,0.8095238095238095,0.7485119047619048,0.7096774193548387,0.8125
2,1,37,0.7567567567567568,0.6842105263157895,0.8125,0.7142857142857143,0.7633928571428572,0.7428571428571429,0.8660714285714286
2,2,37,0.8108108108108109,0.7857142857142857,0.7333333333333333,0.8636363636363636,0.7984848484848485,0.7586206896551724,0.9181818181818182
2,3,37,0.7567567567567568,0.6666666666666666,0.8,0.7272727272727273,0.7636363636363637,0.7272727272727273,0.8454545454545455
2,4,36,0.8333333333333334,0.7647058823529411,0.8666666666666667,0.8095238095238095,0.8380952380952381,0.8125,0.873015873015873
3,0,37,0.7837837837837838,0.7222222222222222,0.8125,0.7619047619047619,0.7872023809523809,0.7647058823529411,0.8482142857142857
3,1,37,0.8108108108108109,0.7647058823529411,0.8125,0.8095238095238095,0.8110119047619048,0.7878787878787878,0.9166666666666666
3,2,37,0.7567567567567568,0.7142857142857143,0.6666666666666666,0.8181818181818182,0.7424242424242424,0.6896551724137931,0.8606060606060606
3,3,37,0.8378378378378378,0.7368421052631579,0.9333333333333333,0.7727272727272727,0.853030303030303,0.8235294117647058,0.9181818181818182
3,4,36,0.8333333333333334,0.7647058823529411,0.8666666666666667,0.8095238095238095,0.8380952380952381,0.8125,0.8761904761904762
4,0,37,0.8108108108108109,0.7647058823529411,0.8125,0.8095238095238095,0.8110119047619048,0.7878787878787878,0.8839285714285714
4,1,37,0.8108108108108109,0.7647058823529411,0.8125,0.8095238095238095,0.8110119047619048,0.7878787878787878,0.8869047619047619
4,2,37,0.7837837837837838,0.7333333333333333,0.7333333333333333,0.8181818181818182,0.7757575757575758,0.7333333333333333,0.8151515151515152
4,3,37,0.8108108108108109,0.75,0.8,0.8181818181818182,0.8090909090909091,0.7741935483870968,0.8757575757575758
4,4,36,0.75,0.6666666666666666,0.8,0.7142857142857143,0.7571428571428571,0.7272727272727273,0.8444444444444444
