repeat,fold,n,accuracy,precision,recall,specificity,balanced_accuracy,f1,auc
0,0,36,0.6666666666666666,0.6111111111111112,0.6875,0.65,0.66875,0.6470588235294118,0.76875
0,1,36,0.6666666666666666,0.6428571428571429,0.5625,0.75,0.65625,0.6,0.825
0,2,36,0.8888888888888888,0.9230769230769231,0.8,0.9523809523809523,0.8761904761904762,0.8571428571428571,0.980952380952381
0,3,35,0.6571428571428571,0.5789473684210527,0.7333333333333333,0.6,0.6666666666666666,0.6470588235294118,0.8333333333333333
0,4,35,0.8,0.7058823529411765,0.8571428571428571,0.7619047619047619,0.8095238095238095,0.7741935483870968,0.8401360544217688
1,0,36,0.6944444444444444,0.6923076923076923,0.5625,0.8,0.68125,0.6206896551724138,0.753125
1,1,36,0.7777777777777778,0.7222222222222222,0.8125,0.75,0.78125,0.7647058823529411,0.871875
1,2,36,0.7777777777777778,0.8888888888888888,0.5333333333333333,0.9523809523809523,0.7428571428571429,0.6666666666666666,0.8317460317460318
1,3,35,0.7428571428571429,0.6363636363636364,0.9333333333333333,0.6,0.7666666666666666,0.7567567567567568,0.78
1,4,35,0.8,0.8888888888888888,0.5714285714285714,0.9523809523809523,0.7619047619047619,0.6956521739130435,0.9081632653061225
2,0,36,0.8055555555555556,0.7647058823529411,0.8125,0.8,0.80625,0.7878787878787878,0.890625
2,1,36,0.8055555555555556,0.7647058823529411,0.8125,0.8,0.80625,0.7878787878787878,0.86875
2,2,36,0.7222222222222222,0.631578947368421,0.8,0.6666666666666666,0.7333333333333334,0.7058823529411765,0.7968253968253969
2,3,35,0.6857142857142857,0.6428571428571429,0.6,0.75,0.675,0.6206896551724138,0.7666666666666666
2,4,35,0.9142857142857143,0.8666666666666667,0.9285714285714286,0.9047619047619048,0.9166666666666667,0.896551724137931,0.9591836734693877
3,0,36,0.8333333333333334,0.8125,0.8125,0.85,0.83125,0.8125,0.90625
3,1,36,0.7222222222222222,0.6363636363636364,0.875,0.6,0.7375,0.7368421052631579,0.790625
3,2,36,0.8333333333333334,0.8,0.8,0.8571428571428571,0.8285714285714285,0.8,0.8666666666666667
3,3,35,0.6285714285714286,0.5833333333333334,0.4666666666666667,0.75,0.6083333333333334,0.5185185185185185,0.72
3,4,35,0.9428571428571428,0.875,1.0,0.9047619047619048,0.9523809523809523,0.9333333333333333,0.9489795918367347
4,0,36,0.6944444444444444,0.7272727272727273,0.5,0.85,0.675,0.5925925925925926,0.79375
4,1,36,0.8611111111111112,0.8235294117647058,0.875,0.85,0.8625,0.8484848484848485,0.8875
4,2,36,0.8055555555555556,0.7222222222222222,0.8666666666666667,0.7619047619047619,0.8142857142857143,0.7878787878787878,0.9015873015873016
4,3,35,0.7714285714285715,0.6666666666666666,0.9333333333333333,0.65,0.7916666666666667,0.7777777777777778,0.7933333333333333
4,4,35,0.8,0.8181818181818182,0.6428571428571429,0.9047619047619048,0.7738095238095238,0.72,0.9285714285714285
