repeat,fold,n,accuracy,precision,recall,specificity,balanced_accuracy,f1,auc
0,0,36,0.8611111111111112,0.8235294117647058,0.875,0.85,0.8625,0.8484848484848485,0.9249999999999999
0,1,36,0.7777777777777778,0.7222222222222222,0.8125,0.75,0.78125,0.7647058823529411,0.828125
0,2,36,0.8888888888888888,0.8666666666666667,0.8666666666666667,0.9047619047619048,0.8857142857142857,0.8666666666666667,0.9555555555555557
0,3,35,0.7714285714285715,0.7058823529411765,0.8,0.75,0.775,0.75,0.75
0,4,35,0.8285714285714286,0.8333333333333334,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.7692307692307693,0.8571428571428571
1,0,36,0.6944444444444444,0.6923076923076923,0.5625,0.8,0.68125,0.6206896551724138,0.815625
1,1,36,0.8611111111111112,0.7619047619047619,1.0,0.75,0.875,0.8648648648648649,0.9281250000000001
1,2,36,0.75,0.6875,0.7333333333333333,0.7619047619047619,0.7476190476190476,0.7096774193548387,0.8380952380952381
1,3,35,0.8285714285714286,0.7368421052631579,0.9333333333333333,0.75,0.8416666666666667,0.8235294117647058,0.8533333333333333
1,4,35,0.8571428571428571,0.9090909090909091,0.7142857142857143,0.9523809523809523,0.8333333333333333,0.8,0.9319727891156463
2,0,36,0.7222222222222222,0.7142857142857143,0.625,0.8,0.7125,0.6666666666666666,0.84375
2,1,36,0.7222222222222222,0.6666666666666666,0.75,0.7,0.725,0.7058823529411765,0.8343749999999999
2,2,36,0.7222222222222222,0.6470588235294118,0.7333333333333333,0.7142857142857143,0.7238095238095238,0.6875,0.819047619047619
2,3,35,0.8,0.7857142857142857,0.7333333333333333,0.85,0.7916666666666666,0.7586206896551724,0.8366666666666667
2,4,35,0.8285714285714286,0.8333333333333334,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.7692307692307693,0.8979591836734694
3,0,36,0.9166666666666666,0.8823529411764706,0.9375,0.9,0.91875,0.9090909090909091,0.96875
3,1,36,0.7777777777777778,0.6818181818181818,0.9375,0.65,0.79375,0.7894736842105263,0.8625
3,2,36,0.6944444444444444,0.6666666666666666,0.5333333333333333,0.8095238095238095,0.6714285714285715,0.5925925925925926,0.8412698412698413
3,3,35,0.6571428571428571,0.6153846153846154,0.5333333333333333,0.75,0.6416666666666666,0.5714285714285714,0.7733333333333334
3,4,35,0.8,0.7333333333333333,0.7857142857142857,0.8095238095238095,0.7976190476190477,0.7586206896551724,0.8503401360544218
4,0,36,0.6944444444444444,0.6923076923076923,0.5625,0.8,0.68125,0.6206896551724138,0.821875
4,1,36,0.8333333333333334,0.7777777777777778,0.875,0.8,0.8375,0.8235294117647058,0.9187500000000001
4,2,36,0.7222222222222222,0.6470588235294118,0.7333333333333333,0.7142857142857143,0.7238095238095238,0.6875,0.8317460317460318
4,3,35,0.9142857142857143,0.8333333333333334,1.0,0.85,0.925,0.9090909090909091,0.9066666666666666
4,4,35,0.8285714285714286,0.8333333333333334,0.7142857142857143,0.9047619047619048,0.8095238095238095,0.7692307692307693,0.8979591836734695
