repeat,fold,n,accuracy,precision,recall,specificity,balanced_accuracy,f1,auc
0,0,37,0.7297297297297297,0.6875,0.6875,0.7619047619047619,0.7247023809523809,0.6875,0.8928571428571429
0,1,37,0.7297297297297297,0.6363636363636364,0.875,0.6190476190476191,0.7470238095238095,0.7368421052631579,0.8482142857142857
0,2,37,0.8378378378378378,0.7647058823529411,0.8666666666666667,0.8181818181818182,0.8424242424242425,0.8125,0.8878787878787878
0,3,37,0.8108108108108109,0.7857142857142857,0.7333333333333333,0.8636363636363636,0.7984848484848485,0.7586206896551724,0.8606060606060606
0,4,36,0.6944444444444444,0.6111111111111112,0.7333333333333333,0.6666666666666666,0.7,0.6666666666666666,0.8317460317460317
1,0,37,0.7837837837837838,0.7222222222222222,0.8125,0.7619047619047619,0.7872023809523809,0.7647058823529411,0.7678571428571428
1,1,37,0.7027027027027027,0.7272727272727273,0.5,0.8571428571428571,0.6785714285714286,0.5925925925925926,0.7232142857142857
1,2,37,0.7567567567567568,0.6666666666666666,0.8,0.7272727272727273,0.7636363636363637,0.7272727272727273,0.8333333333333333
1,3,37,0.8108108108108109,0.7,0.9333333333333333,0.7272727272727273,0.8303030303030303,0.8,0.8909090909090909
1,4,36,0.8611111111111112,0.9166666666666666,0.7333333333333333,0.9523809523809523,0.8428571428571427,0.8148148148148148,0.8857142857142858
2,0,37,0.7567567567567568,0.6842105263157895,0.8125,0.7142857142857143,0.7633928571428572,0.7428571428571429,0.7648809523809524
2,1,37,0.6216216216216216,0.5555555555555556,0.625,0.6190476190476191,0.6220238095238095,0.5882352941176471,0.7589285714285714
2,2,37,0.7837837837837838,0.7333333333333333,0.7333333333333333,0.8181818181818182,0.7757575757575758,0.7333333333333333,0.8303030303030303
2,3,37,0.8378378378378378,0.8,0.8,0.8636363636363636,0.8318181818181818,0.8,0.9242424242424243
2,4,36,0.7222222222222222,0.6086956521739131,0.9333333333333333,0.5714285714285714,0.7523809523809524,0.7368421052631579,0.8634920634920635
3,0,37,0.8108108108108109,0.7142857142857143,0.9375,0.7142857142857143,0.8258928571428572,0.8108108108108109,0.8363095238095238
3,1,37,0.7837837837837838,0.7,0.875,0.7142857142857143,0.7946428571428572,0.7777777777777778,0.8779761904761905
3,2,37,0.7297297297297297,0.6666666666666666,0.6666666666666666,0.7727272727272727,0.7196969696969697,0.6666666666666666,0.8212121212121213
3,3,37,0.6756756756756757,0.5789473684210527,0.7333333333333333,0.6363636363636364,0.6848484848484848,0.6470588235294118,0.706060606060606
3,4,36,0.75,0.7142857142857143,0.6666666666666666,0.8095238095238095,0.7380952380952381,0.6896551724137931,0.8317460317460317
4,0,37,0.8378378378378378,0.9166666666666666,0.6875,0.9523809523809523,0.8199404761904762,0.7857142857142857,0.886904761904762
4,1,37,0.7837837837837838,0.75,0.75,0.8095238095238095,0.7797619047619048,0.75,0.863095238095238
4,2,37,0.7567567567567568,0.7142857142857143,0.6666666666666666,0.8181818181818182,0.7424242424242424,0.6896551724137931,0.8606060606060606
4,3,37,0.7297297297297297,0.6470588235294118,0.7333333333333333,0.7272727272727273,0.7303030303030302,0.6875,0.8696969696969697
4,4,36,0.6388888888888888,0.55,0.7333333333333333,0.5714285714285714,0.6523809523809523,0.6285714285714286,0.7968253968253968
