combo,baseline_italy_precision,baseline_italy_recall,baseline_italy_f1,recal_italy_precision,recal_italy_recall,recal_italy_f1,delta_italy_precision,delta_italy_recall,delta_italy_f1,italy_threshold_mean,italy_threshold_median,italy_threshold_std,italy_threshold_min,italy_threshold_max,italy_deployment_threshold,naive_leaky_italy_precision,naive_leaky_italy_recall,naive_leaky_italy_f1,baseline_overall_precision,baseline_overall_recall,baseline_overall_f1,mixed_overall_precision,mixed_overall_recall,mixed_overall_f1,delta_mixed_overall_f1
mobilenet_v3_small_palpebral_v2_clean,0.2256057490727302,0.45999999999999996,0.30093735302697455,0.30424864901476045,0.6,0.3548431329530496,0.07864289994203025,0.14,0.05390577992607504,0.4398,0.51,0.3327207287400852,0.02,0.935,0.18,0.22418879056047197,0.76,0.3462414578587699,0.4718307926472143,0.4987012987012987,0.481313941499162,0.4877032571947826,0.535064935064935,0.4988903715228675,0.017576430023705514
vit_l_16_palpebral_v2_clean,0.610246694834401,0.77,0.6782955516244553,0.7557556994089503,0.69,0.7196119196119196,0.1455090045745493,-0.08000000000000007,0.0413163679874643,0.7542,0.77,0.07974804072828373,0.43,0.825,0.77,0.782608695652174,0.72,0.75,0.7178161580973023,0.8207792207792208,0.7652107604547227,0.7617854923889407,0.8,0.7798549730111348,0.014644212556412128
resnet18_forniceal_palpebral_v2_clean,0.5105811465130173,0.7789473684210526,0.6071683463979095,0.6405082559339526,0.6210526315789473,0.6288773215089005,0.12992710942093522,-0.1578947368421053,0.021708975110991013,0.5844,0.58,0.040448526961229796,0.52,0.675,0.57,0.6888888888888889,0.6526315789473685,0.6702702702702703,0.6678590323885457,0.6763157894736842,0.6675016254133809,0.7338913603921817,0.6368421052631579,0.6796280758102696,0.012126450396888755
densenet121_palpebral_v2_clean,0.47685507246376807,0.7,0.5552323232323232,0.6164815576580283,0.54,0.5719950983108877,0.13962648519426019,-0.15999999999999992,0.016762775078564496,0.5488000000000001,0.54,0.055906916685981994,0.415,0.625,0.58,0.6419753086419753,0.52,0.574585635359116,0.6516553121047503,0.8025974025974026,0.7164767184319039,0.7199164181314556,0.7610389610389611,0.7389073967098384,0.022430678277934546
efficientnet_b0_forniceal_palpebral_v2_clean,0.662002063983488,0.6,0.6285945388112572,0.6269323308270677,0.6631578947368422,0.635916580619828,-0.03506973315642037,0.06315789473684219,0.007322041808570878,0.44959999999999994,0.48,0.09106911294908573,0.33,0.645,0.48,0.6559139784946236,0.6421052631578947,0.648936170212766,0.7348383050109716,0.868421052631579,0.7959921425497039,0.7209088224437062,0.8842105263157893,0.7935373239566058,-0.0024548185930980404
resnet18_palpebral_v2_clean,0.6303846153846153,0.74,0.6781398823869662,0.6930492898913952,0.6699999999999999,0.6808643560119811,0.06266467450677993,-0.07000000000000006,0.0027244736250149337,0.6002000000000001,0.59,0.08925011671327569,0.47,0.715,0.54,0.6728971962616822,0.72,0.6956521739130435,0.6915746967282689,0.8,0.7415105703638021,0.7102888558297307,0.7818181818181819,0.7441504278267758,0.0026398574629736826
densenet121_forniceal_palpebral_v2_clean,0.5295659229208926,0.7894736842105263,0.6318400602093325,0.6014677206851119,0.6736842105263159,0.6309038361902797,0.07190179776421934,-0.11578947368421044,-0.0009362240190528004,0.5988,0.6,0.08254140375189493,0.46,0.73,0.66,0.6702127659574468,0.6631578947368421,0.6666666666666666,0.649962148645335,0.7421052631578947,0.6923368783117068,0.6752589965441371,0.7131578947368421,0.6934594886706836,0.0011226103589768721
convnext_tiny_forniceal_palpebral_v2_clean,0.49916538658474147,0.8,0.611926642309621,0.5502478632478632,0.6736842105263159,0.6031942301709743,0.05108247666312177,-0.12631578947368416,-0.008732412138646728,0.7356,0.82,0.24365840159261218,0.215,0.99,0.79,0.5882352941176471,0.7368421052631579,0.6542056074766355,0.6741179146452739,0.7684210526315789,0.7174497168258311,0.7071886856008226,0.736842105263158,0.7205939751381546,0.0031442583123234558
efficientnet_b0_palpebral_v2_clean,0.2898422824738614,0.38,0.32447581960714755,0.23481152993348114,0.45999999999999996,0.3072919117839308,-0.05503075254038026,0.07999999999999996,-0.01718390782321677,0.4221999999999999,0.37,0.13973993702589105,0.16,0.66,0.34,0.2751937984496124,0.71,0.39664804469273746,0.5318932112890924,0.4519480519480519,0.4775321288136622,0.45972459546070565,0.47272727272727266,0.4617183377420012,-0.015813791071660976
regnet_y_400mf_forniceal_palpebral_v2_clean,0.7425366300366301,0.5473684210526315,0.628147605083089,0.5714621848739496,0.6631578947368422,0.6104157857646231,-0.17107444516268044,0.11578947368421066,-0.017731819318465902,0.4236000000000001,0.415,0.06260857236300262,0.3,0.64,0.4,0.6,0.7578947368421053,0.6697674418604651,0.7143895966904555,0.7894736842105263,0.7500154085880091,0.6749043633711826,0.8184210526315789,0.7396129008563959,-0.01040250773161322
swin_t_forniceal_palpebral_v2_clean,0.5132406947890819,0.7578947368421053,0.6108661078873845,0.5856706699098003,0.6105263157894736,0.591142993782879,0.07242997512071847,-0.1473684210526317,-0.019723114104505446,0.7046000000000001,0.75,0.24645368057033898,0.28,0.975,0.83,0.651685393258427,0.6105263157894737,0.6304347826086957,0.6866436942262208,0.7210526315789474,0.7019153235204818,0.7216339959718955,0.6842105263157896,0.7013396131801006,-0.0005757103403811747
convnext_tiny_palpebral_v2_clean,0.5717435897435899,0.72,0.6372244180939833,0.5867385855944208,0.6399999999999999,0.6111139758332045,0.014994995850830972,-0.08000000000000007,-0.026110442260778854,0.5242,0.52,0.07370662566327851,0.37,0.645,0.52,0.6153846153846154,0.72,0.663594470046083,0.7255632450756169,0.8025974025974026,0.7620817490936027,0.7349274255156608,0.7818181818181819,0.7574280508379496,-0.004653698255653094
vit_b_16_forniceal_palpebral_v2_clean,0.5489298245614036,0.6210526315789474,0.5810153127166591,0.5044249084249084,0.6105263157894736,0.5515028332101504,-0.04450491613649521,-0.010526315789473828,-0.029512479506508704,0.49339999999999995,0.505,0.10490789611209761,0.27,0.66,0.44,0.515625,0.6947368421052632,0.5919282511210763,0.7254889026559701,0.7500000000000001,0.73703831403927,0.7089831258505956,0.7473684210526315,0.7272844890958099,-0.00975382494346011
vit_b_16_palpebral_v2_clean,0.5546573426573427,0.6700000000000002,0.6060179434092479,0.5683532650923955,0.5900000000000001,0.5745533364925627,0.013695922435052799,-0.08000000000000007,-0.03146460691668518,0.5331999999999999,0.54,0.08021949056598818,0.43,0.65,0.44,0.5319148936170213,0.75,0.6224066390041494,0.7225261471489416,0.8311688311688311,0.7729062389631935,0.7309266346001702,0.8103896103896104,0.768412632307071,-0.0044936066561225285
swin_t_palpebral_v2_clean,0.5346031746031746,0.6700000000000002,0.5925918762088974,0.5475776942355889,0.58,0.5562059620596206,0.01297451963241425,-0.09000000000000019,-0.03638591414927683,0.5328,0.46,0.16722664261414805,0.2,0.86,0.44,0.5294117647058824,0.72,0.6101694915254238,0.6921717778573379,0.7610389610389611,0.7243759412615354,0.6946481035230697,0.7376623376623377,0.7141482340327633,-0.010227707228772087
mobilenet_v3_small_forniceal_palpebral_v2_clean,0.34711671902803676,0.7684210526315789,0.4752889773712409,0.3536604044559981,0.6,0.4377745438865982,0.006543685427961354,-0.16842105263157892,-0.03751443348464267,0.5594,0.56,0.05196793883411834,0.46,0.635,0.56,0.4090909090909091,0.6631578947368421,0.5060240963855421,0.5843467112411925,0.8078947368421053,0.6766176351330663,0.6084210131938816,0.7657894736842105,0.6766949073082992,7.727217523290086e-05
vit_l_16_forniceal_palpebral_v2_clean,0.6347193675889328,0.7684210526315789,0.6948157533523387,0.5757026666282565,0.7263157894736841,0.637996440376303,-0.05901670096067624,-0.04210526315789476,-0.05681931297603571,0.49339999999999995,0.48,0.0968430861411042,0.375,0.725,0.47,0.616,0.8105263157894737,0.7,0.7465478740668614,0.7684210526315789,0.7572360389023496,0.7247102046713552,0.7578947368421053,0.7405948681807989,-0.01664117072155069
