repeat,fold,n,accuracy,precision,recall,specificity,balanced_accuracy,f1,auc
0,0,37,0.8378378378378378,0.8125,0.8125,0.8571428571428571,0.8348214285714286,0.8125,0.9345238095238095
0,1,37,0.7567567567567568,0.7058823529411765,0.75,0.7619047619047619,0.7559523809523809,0.7272727272727273,0.8184523809523809
0,2,37,0.7567567567567568,0.65,0.8666666666666667,0.6818181818181818,0.7742424242424242,0.7428571428571429,0.9272727272727272
0,3,37,0.8378378378378378,0.7368421052631579,0.9333333333333333,0.7727272727272727,0.853030303030303,0.8235294117647058,0.9272727272727272
0,4,36,0.7777777777777778,0.7333333333333333,0.7333333333333333,0.8095238095238095,0.7714285714285714,0.7333333333333333,0.8095238095238095
1,0,37,0.8378378378378378,0.75,0.9375,0.7619047619047619,0.8497023809523809,0.8333333333333334,0.8482142857142858
1,1,37,0.7567567567567568,0.7333333333333333,0.6875,0.8095238095238095,0.7485119047619048,0.7096774193548387,0.8779761904761905
1,2,37,0.7567567567567568,0.65,0.8666666666666667,0.6818181818181818,0.7742424242424242,0.7428571428571429,0.8757575757575757
1,3,37,0.8108108108108109,0.7222222222222222,0.8666666666666667,0.7727272727272727,0.8196969696969697,0.7878787878787878,0.9333333333333333
1,4,36,0.7777777777777778,0.6842105263157895,0.8666666666666667,0.7142857142857143,0.7904761904761906,0.7647058823529411,0.907936507936508
2,0,37,0.7297297297297297,0.65,0.8125,0.6666666666666666,0.7395833333333333,0.7222222222222222,0.7857142857142857
2,1,37,0.7567567567567568,0.7333333333333333,0.6875,0.8095238095238095,0.7485119047619048,0.7096774193548387,0.7946428571428572
2,2,37,0.7297297297297297,0.6666666666666666,0.6666666666666666,0.7727272727272727,0.7196969696969697,0.6666666666666666,0.8636363636363636
2,3,37,0.918918918918919,0.8333333333333334,1.0,0.8636363636363636,0.9318181818181819,0.9090909090909091,0.9696969696969697
2,4,36,0.8333333333333334,0.7647058823529411,0.8666666666666667,0.8095238095238095,0.8380952380952381,0.8125,0.8984126984126984
3,0,37,0.8108108108108109,0.7142857142857143,0.9375,0.7142857142857143,0.8258928571428572,0.8108108108108109,0.9047619047619048
3,1,37,0.8648648648648649,0.8235294117647058,0.875,0.8571428571428571,0.8660714285714286,0.8484848484848485,0.8988095238095238
3,2,37,0.7837837837837838,0.7692307692307693,0.6666666666666666,0.8636363636363636,0.7651515151515151,0.7142857142857143,0.8090909090909091
3,3,37,0.7837837837837838,0.6842105263157895,0.8666666666666667,0.7272727272727273,0.796969696969697,0.7647058823529411,0.9272727272727274
3,4,36,0.75,0.65,0.8666666666666667,0.6666666666666666,0.7666666666666666,0.7428571428571429,0.8507936507936509
4,0,37,0.7837837837837838,0.7857142857142857,0.6875,0.8571428571428571,0.7723214285714286,0.7333333333333333,0.8958333333333333
4,1,37,0.918918918918919,0.8823529411764706,0.9375,0.9047619047619048,0.9211309523809523,0.9090909090909091,0.9285714285714286
4,2,37,0.8108108108108109,0.7,0.9333333333333333,0.7272727272727273,0.8303030303030303,0.8,0.896969696969697
4,3,37,0.8108108108108109,0.7222222222222222,0.8666666666666667,0.7727272727272727,0.8196969696969697,0.7878787878787878,0.9090909090909091
4,4,36,0.6944444444444444,0.6,0.8,0.6190476190476191,0.7095238095238096,0.6857142857142857,0.7396825396825397
