repeat,fold,n,accuracy,precision,recall,specificity,balanced_accuracy,f1,auc
0,0,37,0.8378378378378378,0.8571428571428571,0.75,0.9047619047619048,0.8273809523809523,0.8,0.9196428571428572
0,1,37,0.8378378378378378,0.7777777777777778,0.875,0.8095238095238095,0.8422619047619048,0.8235294117647058,0.8839285714285714
0,2,37,0.7297297297297297,0.6,1.0,0.5454545454545454,0.7727272727272727,0.75,0.8727272727272726
0,3,37,0.8378378378378378,0.8,0.8,0.8636363636363636,0.8318181818181818,0.8,0.8666666666666666
0,4,36,0.7222222222222222,0.6470588235294118,0.7333333333333333,0.7142857142857143,0.7238095238095238,0.6875,0.8476190476190476
1,0,37,0.7567567567567568,0.7058823529411765,0.75,0.7619047619047619,0.7559523809523809,0.7272727272727273,0.8303571428571428
1,1,37,0.7297297297297297,0.625,0.9375,0.5714285714285714,0.7544642857142857,0.75,0.9345238095238095
1,2,37,0.7837837837837838,0.6666666666666666,0.9333333333333333,0.6818181818181818,0.8075757575757576,0.7777777777777778,0.8515151515151516
1,3,37,0.8108108108108109,0.7857142857142857,0.7333333333333333,0.8636363636363636,0.7984848484848485,0.7586206896551724,0.9030303030303031
1,4,36,0.8055555555555556,0.75,0.8,0.8095238095238095,0.8047619047619048,0.7741935483870968,0.8285714285714286
2,0,37,0.7297297297297297,0.6666666666666666,0.75,0.7142857142857143,0.7321428571428572,0.7058823529411765,0.7261904761904763
2,1,37,0.7027027027027027,0.6470588235294118,0.6875,0.7142857142857143,0.7008928571428572,0.6666666666666666,0.7886904761904762
2,2,37,0.8918918918918919,0.8235294117647058,0.9333333333333333,0.8636363636363636,0.8984848484848484,0.875,0.9515151515151514
2,3,37,0.918918918918919,0.875,0.9333333333333333,0.9090909090909091,0.9212121212121211,0.9032258064516129,0.9818181818181817
2,4,36,0.6666666666666666,0.56,0.9333333333333333,0.47619047619047616,0.7047619047619047,0.7,0.8476190476190476
3,0,37,0.8108108108108109,0.7142857142857143,0.9375,0.7142857142857143,0.8258928571428572,0.8108108108108109,0.8869047619047619
3,1,37,0.8378378378378378,0.8125,0.8125,0.8571428571428571,0.8348214285714286,0.8125,0.9315476190476191
3,2,37,0.7837837837837838,0.7058823529411765,0.8,0.7727272727272727,0.7863636363636364,0.75,0.8545454545454546
3,3,37,0.8108108108108109,0.75,0.8,0.8181818181818182,0.8090909090909091,0.7741935483870968,0.8818181818181818
3,4,36,0.6944444444444444,0.6111111111111112,0.7333333333333333,0.6666666666666666,0.7,0.6666666666666666,0.7523809523809524
4,0,37,0.8378378378378378,0.9166666666666666,0.6875,0.9523809523809523,0.8199404761904762,0.7857142857142857,0.9017857142857143
4,1,37,0.7837837837837838,0.7222222222222222,0.8125,0.7619047619047619,0.7872023809523809,0.7647058823529411,0.8869047619047619
4,2,37,0.7297297297297297,0.6666666666666666,0.6666666666666666,0.7727272727272727,0.7196969696969697,0.6666666666666666,0.7424242424242423
4,3,37,0.918918918918919,0.875,0.9333333333333333,0.9090909090909091,0.9212121212121211,0.9032258064516129,0.9575757575757575
4,4,36,0.75,0.6666666666666666,0.8,0.7142857142857143,0.7571428571428571,0.7272727272727273,0.7968253968253968
