rank,model_name,n_trials_run,best_trial_number,f1,accuracy,recall,precision,specificity,balanced_accuracy,auc_overall,auc_india,auc_italy,india_italy_auc_gap,timestamp_utc,
1,convnext_tiny_palpebral_v2_clean,12,9,0.933333333,0.939393939,1,0.875,0.894736842,0.947368421,0.939849624,1,0.9,0.1,2026-08-02T16:41:52.030651+00:00,
2,vit_b_16_palpebral_v2_clean,12,1,0.933333333,0.939393939,1,0.875,0.894736842,0.947368421,0.909774436,1,0.866666667,0.133333333,2026-08-02T17:08:58.038432+00:00,
3,efficientnet_b0_forniceal_palpebral_v2_clean,12,0,0.903225806,0.903225806,1,0.823529412,0.823529412,0.911764706,0.882352941,0.625,0.961538462,0.336538462,2026-08-02T15:58:08.851312+00:00,
4,vit_l_16_palpebral_v2_clean,12,2,0.896551724,0.909090909,0.928571429,0.866666667,0.894736842,0.911654135,0.917293233,0.875,0.933333333,0.058333333,2026-08-02T19:05:51.375525+00:00,
5,regnet_y_400mf_forniceal_palpebral_v2_clean,12,0,0.896551724,0.903225806,0.928571429,0.866666667,0.882352941,0.905462185,0.87394958,0.55,1,0.45,2026-08-02T15:43:09.834787+00:00,
6,regnet_y_400mf_palpebral_v2_clean,12,9,0.875,0.878787879,1,0.777777778,0.789473684,0.894736842,0.917293233,0.725,0.966666667,0.241666667,2026-08-02T15:37:04.842401+00:00,
7,efficientnet_b0_palpebral_v2_clean,12,3,0.866666667,0.878787879,0.928571429,0.8125,0.842105263,0.885338346,0.932330827,0.75,0.966666667,0.216666667,2026-08-02T15:52:28.107962+00:00,
8,densenet121_forniceal_palpebral_v2_clean,12,10,0.848484848,0.838709677,1,0.736842105,0.705882353,0.852941176,0.878151261,0.675,0.980769231,0.305769231,2026-08-02T16:26:24.967756+00:00,
9,swin_t_palpebral_v2_clean,12,3,0.848484848,0.848484848,1,0.736842105,0.736842105,0.868421053,0.890977444,0.85,0.9,0.05,2026-08-02T16:01:00.651552+00:00,
10,densenet121_palpebral_v2_clean,12,1,0.838709677,0.848484848,0.928571429,0.764705882,0.789473684,0.859022556,0.887218045,0.625,0.983333333,0.358333333,2026-08-02T16:18:00.112281+00:00,
11,resnet18_palpebral_v2_clean,12,10,0.838709677,0.848484848,0.928571429,0.764705882,0.789473684,0.859022556,0.890977444,0.75,0.966666667,0.216666667,2026-08-02T16:01:59.982552+00:00,
12,vit_b_16_forniceal_palpebral_v2_clean,12,8,0.833333333,0.870967742,0.714285714,1,1,0.857142857,0.894957983,0.8,1,0.2,2026-08-02T17:37:25.738896+00:00,
13,vit_l_16_forniceal_palpebral_v2_clean,12,9,0.827586207,0.838709677,0.857142857,0.8,0.823529412,0.840336134,0.81092437,0.7,0.923076923,0.223076923,2026-08-02T20:14:26.957092+00:00,
14,swin_t_forniceal_palpebral_v2_clean,12,6,0.827586207,0.838709677,0.857142857,0.8,0.823529412,0.840336134,0.819327731,0.65,0.961538462,0.311538462,2026-08-02T16:13:05.760578+00:00,
15,convnext_tiny_forniceal_palpebral_v2_clean,12,5,0.777777778,0.741935484,1,0.636363636,0.529411765,0.764705882,0.743697479,0.575,0.865384615,0.290384615,2026-08-02T16:55:04.575391+00:00,
16,mobilenet_v3_small_palpebral_v2_clean,12,5,0.774193548,0.787878788,0.857142857,0.705882353,0.736842105,0.796992481,0.87593985,0.775,0.883333333,0.108333333,2026-08-02T15:44:45.876829+00:00,
17,resnet18_forniceal_palpebral_v2_clean,12,1,0.769230769,0.806451613,0.714285714,0.833333333,0.882352941,0.798319328,0.773109244,0.725,1,0.275,2026-08-02T16:06:55.437623+00:00,
18,mobilenet_v3_small_forniceal_palpebral_v2_clean,12,11,0.756756757,0.709677419,1,0.608695652,0.470588235,0.735294118,0.794117647,0.75,0.769230769,0.019230769,2026-08-02T15:46:10.164192+00:00,
