rank,combo_name,architecture,architecture_family,tissue_type,n_trials_run,best_trial_number,overall_f1,overall_accuracy,overall_balanced_accuracy,overall_auc,overall_sensitivity,overall_specificity,india_auc,italy_auc,india_italy_auc_gap,india_f1,italy_f1
1,efficientnet_b0_forniceal_palpebral_v2,EfficientNet-B0,CNN,forniceal_palpebral,12,9,0.9333333333333333,0.9354838709677419,0.9411764705882353,0.8865546218487395,1.0,0.8823529411764706,0.75,0.9423076923076924,0.1923076923076924,0.9523809523809523,0.8888888888888888
2,convnext_tiny_palpebral_v2,ConvNeXt-Tiny,CNN,palpebral,12,0,0.9032258064516129,0.9090909090909091,0.9210526315789473,0.8609022556390977,1.0,0.8421052631578947,1.0,0.8833333333333334,0.11666666666666659,1.0,0.7272727272727273
3,vit_l_16_palpebral_v2,ViT-L/16,Transformer,palpebral,12,6,0.9032258064516129,0.9090909090909091,0.9210526315789473,0.9436090225563909,1.0,0.8421052631578947,0.825,0.9833333333333334,0.15833333333333344,0.9090909090909091,0.8888888888888888
4,efficientnet_b0_palpebral_v2,EfficientNet-B0,CNN,palpebral,12,2,0.896551724137931,0.9090909090909091,0.9116541353383458,0.9135338345864662,0.9285714285714286,0.8947368421052632,0.625,1.0,0.375,0.9090909090909091,0.8571428571428571
5,vit_b_16_palpebral_v2,ViT-B/16,Transformer,palpebral,12,5,0.875,0.8787878787878788,0.8947368421052632,0.8571428571428572,1.0,0.7894736842105263,0.9,0.8,0.09999999999999998,0.9523809523809523,0.7272727272727273
6,regnet_y_400mf_forniceal_palpebral_v2,RegNetY-400MF,CNN,forniceal_palpebral,12,6,0.875,0.8709677419354839,0.8823529411764706,0.8739495798319328,1.0,0.7647058823529411,0.7,0.9230769230769231,0.22307692307692317,0.9090909090909091,0.8
7,regnet_y_400mf_palpebral_v2,RegNetY-400MF,CNN,palpebral,12,8,0.875,0.8787878787878788,0.8947368421052632,0.8909774436090225,1.0,0.7894736842105263,0.675,0.9166666666666667,0.2416666666666667,0.9090909090909091,0.8
8,mobilenet_v3_small_palpebral_v2,MobileNetV3-Small,CNN,palpebral,12,8,0.8387096774193549,0.8484848484848485,0.8590225563909775,0.8571428571428572,0.9285714285714286,0.7894736842105263,0.95,0.9666666666666667,0.01666666666666672,0.9,0.7272727272727273
9,vit_l_16_forniceal_palpebral_v2,ViT-L/16,Transformer,forniceal_palpebral,12,6,0.8387096774193549,0.8387096774193549,0.8466386554621849,0.8697478991596639,0.9285714285714286,0.7647058823529411,0.7,0.9615384615384616,0.2615384615384616,0.9,0.7272727272727273
10,densenet121_forniceal_palpebral_v2,DenseNet121,CNN,forniceal_palpebral,12,10,0.8148148148148148,0.8387096774193549,0.8340336134453781,0.8571428571428571,0.7857142857142857,0.8823529411764706,0.75,0.9807692307692308,0.23076923076923084,0.7777777777777778,0.8888888888888888
11,swin_t_palpebral_v2,Swin-Tiny,Transformer,palpebral,12,0,0.8125,0.8181818181818182,0.8327067669172932,0.8233082706766918,0.9285714285714286,0.7368421052631579,0.9,0.8500000000000001,0.04999999999999993,0.9,0.6666666666666666
12,densenet121_palpebral_v2,DenseNet121,CNN,palpebral,12,6,0.8125,0.8181818181818182,0.8327067669172932,0.7969924812030076,0.9285714285714286,0.7368421052631579,0.525,1.0,0.475,0.8571428571428571,0.7272727272727273
13,resnet18_palpebral_v2,ResNet18,CNN,palpebral,12,7,0.8125,0.8181818181818182,0.8327067669172932,0.8383458646616542,0.9285714285714286,0.7368421052631579,0.65,0.9666666666666667,0.31666666666666665,0.8571428571428571,0.7272727272727273
14,vit_b_16_forniceal_palpebral_v2,ViT-B/16,Transformer,forniceal_palpebral,12,5,0.8,0.8387096774193549,0.8277310924369747,0.8613445378151261,0.7142857142857143,0.9411764705882353,0.675,1.0,0.32499999999999996,0.7058823529411765,1.0
15,swin_t_forniceal_palpebral_v2,Swin-Tiny,Transformer,forniceal_palpebral,12,7,0.8,0.8064516129032258,0.8109243697478992,0.8109243697478992,0.8571428571428571,0.7647058823529411,0.6000000000000001,0.9807692307692308,0.38076923076923075,0.8,0.8
16,convnext_tiny_forniceal_palpebral_v2,ConvNeXt-Tiny,CNN,forniceal_palpebral,12,0,0.7878787878787878,0.7741935483870968,0.7878151260504203,0.7857142857142857,0.9285714285714286,0.6470588235294118,0.6,0.9230769230769231,0.32307692307692315,0.8571428571428571,0.6666666666666666
17,mobilenet_v3_small_forniceal_palpebral_v2,MobileNetV3-Small,CNN,forniceal_palpebral,12,6,0.7777777777777778,0.7419354838709677,0.7647058823529411,0.8151260504201681,1.0,0.5294117647058824,0.7,0.8653846153846154,0.16538461538461546,0.8333333333333334,0.6666666666666666
18,resnet18_forniceal_palpebral_v2,ResNet18,CNN,forniceal_palpebral,12,9,0.7647058823529411,0.7419354838709677,0.7584033613445378,0.7142857142857143,0.9285714285714286,0.5882352941176471,0.375,0.9423076923076923,0.5673076923076923,0.8181818181818182,0.6666666666666666
